institution,elective,overview,title,summary,content,ilo
Kennesaw_USA,CGDD2012L,"<h2>Kennesaw_USA CGDD2012L</h2><h2>title</h2>Fundamentals of Game Design Lab<h2>summary</h2>This course is the lab component of CGDD-2012. Students will learn to develop computer based video games using a modern game engine and a programming language. Students are required to develop a computer based prototype of an original game.<h2>ilo</h2>1. Develop a basic prototype of video games
2. Demonstrate advanced skills in programming utilizing a high level game engine",Fundamentals of Game Design Lab,This course is the lab component of CGDD-2012. Students will learn to develop computer based video games using a modern game engine and a programming language. Students are required to develop a computer based prototype of an original game.,,"1. Develop a basic prototype of video games
2. Demonstrate advanced skills in programming utilizing a high level game engine"
Kennesaw_USA,IT4123,"<h2>Kennesaw_USA IT4123</h2><h2>title</h2>Electronic Commerce<h2>summary</h2>This course will examine the aspects of electronic commerce. Topics include internet development, EDS, security, network connectivity and privacy. Basic business practices using electronic commerce will also be covered.<h2>ilo</h2>1. Analyze the needs of a business in relation to what requirements are needed to support the functions of the company for an e-commerce business plan.
2. Describe the business models of e-commerce, including the process of e-commerce payment systems, e-commerce marketing concepts and e-commerce site preparation.
3. Design and build a working e-commerce web-site prototype.
4. Describe the basic parts of security for an e-commerce site, including how encryption works.
5. Discuss and debate the pros and cons of the supply chain management model, and how new digital media support e-commerce.
6. Understand the e-commerce concepts of auctions, portals and on-line communities, and describe the ethical, social and political issues of e-commerce.",Electronic Commerce,"This course will examine the aspects of electronic commerce. Topics include internet development, EDS, security, network connectivity and privacy. Basic business practices using electronic commerce will also be covered.",,"1. Analyze the needs of a business in relation to what requirements are needed to support the functions of the company for an e-commerce business plan.
2. Describe the business models of e-commerce, including the process of e-commerce payment systems, e-commerce marketing concepts and e-commerce site preparation.
3. Design and build a working e-commerce web-site prototype.
4. Describe the basic parts of security for an e-commerce site, including how encryption works.
5. Discuss and debate the pros and cons of the supply chain management model, and how new digital media support e-commerce.
6. Understand the e-commerce concepts of auctions, portals and on-line communities, and describe the ethical, social and political issues of e-commerce."
Kennesaw_USA,IT4213,"<h2>Kennesaw_USA IT4213</h2><h2>title</h2>Mobile Web Development<h2>summary</h2>This course introduces the concepts, practices, and technologies to design, develop, and manage cross-platform web sites and applications running on modern mobile devices.<h2>ilo</h2>1. Compare and contrast user interactions with web sites and applications delivered as desktop web, mobile web, and mobile application.
2. Apply appropriate mobile user interface design principles and techniques to create responsive and touch friendly web user interfaces.
3. Use latest web technologies and programming languages to create cross platform web sites and applications.
4. Identify and use the appropriate development technologies, tools, and frameworks for mobile web development.",Mobile Web Development,"This course introduces the concepts, practices, and technologies to design, develop, and manage cross-platform web sites and applications running on modern mobile devices.",,"1. Compare and contrast user interactions with web sites and applications delivered as desktop web, mobile web, and mobile application.
2. Apply appropriate mobile user interface design principles and techniques to create responsive and touch friendly web user interfaces.
3. Use latest web technologies and programming languages to create cross platform web sites and applications.
4. Identify and use the appropriate development technologies, tools, and frameworks for mobile web development."
Kennesaw_USA,IT4203,"<h2>Kennesaw_USA IT4203</h2><h2>title</h2>Advanced Web Development<h2>summary</h2>This course covers more advanced topics on web site design and development including server pages, programming, database integration, and web server systems and security administration.<h2>ilo</h2>1. Demonstrate use of advanced JavaScript features, including anonymous functions and closures
2. Demonstrate use of advanced CSS features, including CSS 3 and responsive web pages
3. Use Ajax to update pages with server data without reloading
4. Use the features of HTML 5
5. Demonstrate effective use of the jQuery framework.",Advanced Web Development,"This course covers more advanced topics on web site design and development including server pages, programming, database integration, and web server systems and security administration.",,"1. Demonstrate use of advanced JavaScript features, including anonymous functions and closures
2. Demonstrate use of advanced CSS features, including CSS 3 and responsive web pages
3. Use Ajax to update pages with server data without reloading
4. Use the features of HTML 5
5. Demonstrate effective use of the jQuery framework."
Kennesaw_USA,CGDD4113,"<h2>Kennesaw_USA CGDD4113</h2><h2>title</h2>3D Modeling and Animation<h2>summary</h2>This course explores the theory and application of 3D geometric model generation and animation. Topics include mesh and Non-uniform Rational B-Spline (NURB) modeling, textures, subdivision and levels of model detail, rigid/constrained body dynamics, and non-rigid/fluid dynamics. Students will be required to develop and animate a complex model, and a significant project is required <h2>ilo</h2>1. Describe the mathematics of 3D modeling and animation
2. Apply 3D modeling animation in generating a complex rendered scene
3. Utilize modern applications that streamline the modeling and animation process
4. Discuss the complexity of modeling and animation and trade-offs between fidelity and performance",3D Modeling and Animation,"This course explores the theory and application of 3D geometric model generation and animation. Topics include mesh and Non-uniform Rational B-Spline (NURB) modeling, textures, subdivision and levels of model detail, rigid/constrained body dynamics, and non-rigid/fluid dynamics. Students will be required to develop and animate a complex model, and a significant project is required ",,"1. Describe the mathematics of 3D modeling and animation
2. Apply 3D modeling animation in generating a complex rendered scene
3. Utilize modern applications that streamline the modeling and animation process
4. Discuss the complexity of modeling and animation and trade-offs between fidelity and performance"
Kennesaw_USA,CGDD4603,"<h2>Kennesaw_USA CGDD4603</h2><h2>title</h2>Production Pipeline and Asset Management<h2>summary</h2>This course provides an in-depth exploration of the production of media content. This course covers elements of the production pipeline from concept to content generation to post production and quality assurance. Topics include asset creation and management, cost-quality tradeoffs, and phases of production. Current and emerging models of the production pipeline such as user-generated content and participation will also be discussed. A significant, team-based project is required. <h2>ilo</h2>1. Describe the phases of game and media production
2. Apply quality-assurance concepts in a game and media setting
3. Work within a team environment to produce game media content
4. Describe current and emerging models of game production and user-generated content",Production Pipeline and Asset Management,"This course provides an in-depth exploration of the production of media content. This course covers elements of the production pipeline from concept to content generation to post production and quality assurance. Topics include asset creation and management, cost-quality tradeoffs, and phases of production. Current and emerging models of the production pipeline such as user-generated content and participation will also be discussed. A significant, team-based project is required. ",,"1. Describe the phases of game and media production
2. Apply quality-assurance concepts in a game and media setting
3. Work within a team environment to produce game media content
4. Describe current and emerging models of game production and user-generated content"
Kennesaw_USA,CS3626,"<h2>Kennesaw_USA CS3626</h2><h2>title</h2>Cryptography<h2>summary</h2>The course covers both mathematical and practical foundations of cryptography. Topics include basic number theory for cryptography, conversion of text, and implementation using a programming language. The course includes historical cryptography, symmetric cryptography, asymmetric cryptography, hash functions, and well-known attack strategies with countermeasures. Exercises cover programming of simple cryptography in a programming language. <h2>ilo</h2>1. Explain the concepts, components, methodology, and architecture of cryptography;
2. Discuss different foundations of cryptosystems;
3. Compare and contrast symmetric, asymmetric cryptographies and their pros/cons;
4. Explain vulnerability analysis and different layers of attacks;
5. Implement text conversion for a cryptographic foundation;
6. Implement a basic cryptography",Cryptography,"The course covers both mathematical and practical foundations of cryptography. Topics include basic number theory for cryptography, conversion of text, and implementation using a programming language. The course includes historical cryptography, symmetric cryptography, asymmetric cryptography, hash functions, and well-known attack strategies with countermeasures. Exercises cover programming of simple cryptography in a programming language. ",,"1. Explain the concepts, components, methodology, and architecture of cryptography;
2. Discuss different foundations of cryptosystems;
3. Compare and contrast symmetric, asymmetric cryptographies and their pros/cons;
4. Explain vulnerability analysis and different layers of attacks;
5. Implement text conversion for a cryptographic foundation;
6. Implement a basic cryptography"
Kennesaw_USA,CS3642,"<h2>Kennesaw_USA CS3642</h2><h2>title</h2>Artificial Intelligence<h2>summary</h2>The primary objective of this course is to provide a introduction to the basic principles and applications of Artificial Intelligence. It covers the basic areas of artificial intelligence including problem solving, knowledge representation, reasoning, decision making, planning, perception and action, and learning -- and their applications. Students will design and implement key components of intelligent agents of modern complexity and evaluate their performance. Students are expected to develop familiarity with current research problems, research methods, and the research literature in AI. <h2>ilo</h2>1. Demonstrate understanding knowledge of AI knowledge representation
2. Demonstrate understanding of advanced search and reasoning algorithms
3. Design an AI system with Lisp or Prolog for problem solving",Artificial Intelligence,"The primary objective of this course is to provide a introduction to the basic principles and applications of Artificial Intelligence. It covers the basic areas of artificial intelligence including problem solving, knowledge representation, reasoning, decision making, planning, perception and action, and learning -- and their applications. Students will design and implement key components of intelligent agents of modern complexity and evaluate their performance. Students are expected to develop familiarity with current research problems, research methods, and the research literature in AI. ",,"1. Demonstrate understanding knowledge of AI knowledge representation
2. Demonstrate understanding of advanced search and reasoning algorithms
3. Design an AI system with Lisp or Prolog for problem solving"
Kennesaw_USA,CS4265,"<h2>Kennesaw_USA CS4265</h2><h2>title</h2>Big Data Analytics<h2>summary</h2>This course covers algorithms and tools that are needed to build MapReduce applications with Hadoop or Spark for processing gigabyte, terabyte, or petabyte-sized datasets on clusters of commodity hardware. A wide range of data algorithms will be discussed in this course. <h2>ilo</h2>1. Explain MapReduce framework for big data analytics
2. Use Hadoop and Spark for big data analytics
3. Design and implement a wide range of data algorithms",Big Data Analytics,"This course covers algorithms and tools that are needed to build MapReduce applications with Hadoop or Spark for processing gigabyte, terabyte, or petabyte-sized datasets on clusters of commodity hardware. A wide range of data algorithms will be discussed in this course. ",,"1. Explain MapReduce framework for big data analytics
2. Use Hadoop and Spark for big data analytics
3. Design and implement a wide range of data algorithms"
Kennesaw_USA,CS4267,"<h2>Kennesaw_USA CS4267</h2><h2>title</h2>Machine Learning<h2>summary</h2>This course provides a broad introduction to machine learning and statistical pattern recognition including supervised, unsupervised, and ensemble learning. Topics include K-NN, Naïve Bayes Classifier, parametric and non-parametric methods, support vector machines, kernel machines, neural networks, clustering, dimensionality reduction, and model evaluation. The learning theory including bias/variance tradeoffs and large margins will be introduced. This course will also discuss recent applications of machine learning such as data mining, autonomous navigation, speech recognition, and text and web data processing. <h2>ilo</h2>1. Explain how supervised learning methods work
2. Explain how unsupervised learning methods work
3. Explain how ensemble methods work
4. Apply proper machine learning techniques to solve challenging problems",Machine Learning,"This course provides a broad introduction to machine learning and statistical pattern recognition including supervised, unsupervised, and ensemble learning. Topics include K-NN, Naïve Bayes Classifier, parametric and non-parametric methods, support vector machines, kernel machines, neural networks, clustering, dimensionality reduction, and model evaluation. The learning theory including bias/variance tradeoffs and large margins will be introduced. This course will also discuss recent applications of machine learning such as data mining, autonomous navigation, speech recognition, and text and web data processing. ",,"1. Explain how supervised learning methods work
2. Explain how unsupervised learning methods work
3. Explain how ensemble methods work
4. Apply proper machine learning techniques to solve challenging problems"
