institution,elective,overview,title,summary,content,ilo
Uppsala_Sweden,1DL301,<h2>title</h2>Database Design I<h2>summary</h2>,Database Design I,,,
Uppsala_Sweden,1DL311,<h2>title</h2>Semantics of Programming Languages<h2>summary</h2>,Semantics of Programming Languages,,,
Uppsala_Sweden,1DT052,<h2>title</h2>Computer Networks I<h2>summary</h2>,Computer Networks I,,,
Uppsala_Sweden,1TD403,<h2>title</h2>Numerical Methods and Simulation<h2>summary</h2><h2>content</h2><h2>ilo</h2>,Numerical Methods and Simulation,,,
Uppsala_Sweden,1DL231,<h2>title</h2>Algorithms and Data Structures II<h2>summary</h2>,Algorithms and Data Structures II,,,
Uppsala_Sweden,1DL321,<h2>title</h2>Compiler Design I<h2>summary</h2>,Compiler Design I,,,
Uppsala_Sweden,1DT072,<h2>title</h2>Secure Computer Systems I<h2>summary</h2>,Secure Computer Systems I,,,
Uppsala_Sweden,1DL481,<h2>title</h2>Algorithms and Data Structures III<h2>summary</h2>,Algorithms and Data Structures III,,,
Uppsala_Sweden,1MD001,<h2>title</h2>Advanced Interaction Design<h2>summary</h2><h2>content</h2><h2>ilo</h2>,Advanced Interaction Design,,,
Uppsala_Sweden,1TD169,<h2>title</h2>Data Engineering I<h2>summary</h2>,Data Engineering I,,,
Uppsala_Sweden,1TD388,<h2>title</h2>Computer Graphics<h2>summary</h2>,Computer Graphics,,,
Uppsala_Sweden,1TD062,<h2>title</h2>High Performance Programming<h2>summary</h2>,High Performance Programming,,,
Uppsala_Sweden,1DL034,<h2>title</h2>Introduction to Machine Learning<h2>summary</h2>,Introduction to Machine Learning,,,
Uppsala_Sweden,1MD004,"<h2>title</h2>IT, Ethics and Organisation<h2>summary</h2>","IT, Ethics and Organisation",,,
Uppsala_Sweden,1DT075,<h2>title</h2>Cryptology<h2>summary</h2>,Cryptology,,,
Uppsala_Sweden,1DL550,<h2>title</h2>Low-Level Parallel Programming<h2>summary</h2>,Low-Level Parallel Programming,,,
Uppsala_Sweden,1DL251,<h2>title</h2>Software Engineering and Project Management<h2>summary</h2>,Software Engineering and Project Management,,,
Uppsala_Sweden,1MD300,<h2>title</h2>Social Robotics and Human-Robot Interaction<h2>summary</h2>,Social Robotics and Human-Robot Interaction,,,
