institution,elective,overview,title,summary,content,ilo
Durham_England,COMP3421,"<h2>title</h2>COMP3421: 
COMPUTER SCIENCE INTO SCHOOLS<h2>summary</h2>
			<li>To develop a range of key skills in the student and to offer an early taste of teaching to those interested in pursuing it as a career or for other career pathways where public understanding of science is required.</li>
			<li>To help students gain confidence in communicating Computer Science, develop strong organisational and interpersonal skills, and understand how to address the needs of individuals.</li>
			<li>To learn to devise and develop Computer Science projects and teaching methods appropriate to engage the relevant age group they are working with.</li>
			<li>To help inspire a new generation of Computer Scientists as prospective undergraduates by providing role models for school pupils.</li>
			<li>To help teachers convey the excitement of their subject to pupils by showing them the long-term applications of school studies, especially the cross disciplinary relationships of Computer Science.</li>
			<li>To help teachers by providing an assistant who can work with and support pupils at any point on the ability spectrum.</li>
		<h2>content</h2>
			<li>A competitive interview system will be used to match students with appropriate schools and a specific teacher in the local area, and each student selected will be given a chance to visit the school they will be working in before commencement of the placement.  </li>
			<li>One day training course on working in schools and with pupils.  </li>
			<li>Series of lectures on key transferable skills.  </li>
			<li>The student will be required to spend half a day (approx 4hrs) a week in the school every week for at least 10 weeks.  </li>
			<li>Tutorials which will provide an opportunity for students to share their experiences.  </li>
			<li>The students will be involved in the following activities in support of their learning and teaching:  </li>
			<li>Classroom observation and assistance: Initial contact with the teacher and pupils will be as a classroom assistant, watching how the teacher handles the class, observing the level being taught and the structure of the lesson, and offering practical support to the teacher.  </li>
			<li>Teaching assistance: The teacher will assign the student with actual teaching tasks, which will vary dependent on specific needs and the student's own ability as it develops over the term. This could include for example offering problem-solving coaching to a smaller group of higher ability pupils, or taking the last ten minutes of the lesson for the whole class. The student will have to demonstrate an understanding of how the level of the knowledge of the pupils they are teaching fits in to their overall learning context in other subjects.  </li>
			<li>Whole class teaching: Students will typically be offered, in collaboration with their teachers, at least one opportunity to undertake whole class teaching, albeit that it may be only for a small part of the lesson.  </li>
			<li>University awareness: Students will represent and promote their academic discipline as a potential university choice to pupils across the social and academic range represented at their partner schools.  </li>
			<li>Special projects: The student will devise a special Computer Science project on the basis of discussion with the teacher and module co-ordinator and their own assessment of what will interest the particular pupils they are working with. The student will implement the special project and evaluate it. The student will be required to show that they can analyse a specific teaching problem and devise and prepare appropriately targeted teaching materials, practical demonstrations and basis 'tests' where appropriate.  </li>
			<li>Extra-curricular projects: The student may be supervised by the teacher in helping to run an out-of-timetable activity, such as a lunchtime club or special coaching periods for higher ability pupils. The student will have to demonstrate an ability to think laterally in order to formulate interesting ways to illustrate more difficult scientific concepts.  </li>
			<li>Written reports: The student will keep a journal of their own progress in working in the classroom environment, and they will be asked to prepare a written report on the special project.  </li>
			<li>The teachers will act as the main source of guidance in the schools but, in addition, the students will also be able to discuss progress with the module co-ordinator or a member of the Science Outreach and Engagement Team whenever necessary.</li>
			<li>Solutional methods for computational problems.</li>
		<h2>ilo</h2>
				<li>On successful completion of this module students: </li>
				<li>Will be able to assess and devise appropriate ways to communicate a difficult principle or concept.</li>
				<li>Will have gained a broad understanding of many of the key aspects of teaching in schools.</li>
				<li>Will have an advanced understanding of Computer Science through having to explain to others.</li>
				<li>Will have an advanced understanding of the problems of public perception of science.  </li>
			","COMP3421: 
COMPUTER SCIENCE INTO SCHOOLS","
			<li>To develop a range of key skills in the student and to offer an early taste of teaching to those interested in pursuing it as a career or for other career pathways where public understanding of science is required.</li>
			<li>To help students gain confidence in communicating Computer Science, develop strong organisational and interpersonal skills, and understand how to address the needs of individuals.</li>
			<li>To learn to devise and develop Computer Science projects and teaching methods appropriate to engage the relevant age group they are working with.</li>
			<li>To help inspire a new generation of Computer Scientists as prospective undergraduates by providing role models for school pupils.</li>
			<li>To help teachers convey the excitement of their subject to pupils by showing them the long-term applications of school studies, especially the cross disciplinary relationships of Computer Science.</li>
			<li>To help teachers by providing an assistant who can work with and support pupils at any point on the ability spectrum.</li>
		","
			<li>A competitive interview system will be used to match students with appropriate schools and a specific teacher in the local area, and each student selected will be given a chance to visit the school they will be working in before commencement of the placement.  </li>
			<li>One day training course on working in schools and with pupils.  </li>
			<li>Series of lectures on key transferable skills.  </li>
			<li>The student will be required to spend half a day (approx 4hrs) a week in the school every week for at least 10 weeks.  </li>
			<li>Tutorials which will provide an opportunity for students to share their experiences.  </li>
			<li>The students will be involved in the following activities in support of their learning and teaching:  </li>
			<li>Classroom observation and assistance: Initial contact with the teacher and pupils will be as a classroom assistant, watching how the teacher handles the class, observing the level being taught and the structure of the lesson, and offering practical support to the teacher.  </li>
			<li>Teaching assistance: The teacher will assign the student with actual teaching tasks, which will vary dependent on specific needs and the student's own ability as it develops over the term. This could include for example offering problem-solving coaching to a smaller group of higher ability pupils, or taking the last ten minutes of the lesson for the whole class. The student will have to demonstrate an understanding of how the level of the knowledge of the pupils they are teaching fits in to their overall learning context in other subjects.  </li>
			<li>Whole class teaching: Students will typically be offered, in collaboration with their teachers, at least one opportunity to undertake whole class teaching, albeit that it may be only for a small part of the lesson.  </li>
			<li>University awareness: Students will represent and promote their academic discipline as a potential university choice to pupils across the social and academic range represented at their partner schools.  </li>
			<li>Special projects: The student will devise a special Computer Science project on the basis of discussion with the teacher and module co-ordinator and their own assessment of what will interest the particular pupils they are working with. The student will implement the special project and evaluate it. The student will be required to show that they can analyse a specific teaching problem and devise and prepare appropriately targeted teaching materials, practical demonstrations and basis 'tests' where appropriate.  </li>
			<li>Extra-curricular projects: The student may be supervised by the teacher in helping to run an out-of-timetable activity, such as a lunchtime club or special coaching periods for higher ability pupils. The student will have to demonstrate an ability to think laterally in order to formulate interesting ways to illustrate more difficult scientific concepts.  </li>
			<li>Written reports: The student will keep a journal of their own progress in working in the classroom environment, and they will be asked to prepare a written report on the special project.  </li>
			<li>The teachers will act as the main source of guidance in the schools but, in addition, the students will also be able to discuss progress with the module co-ordinator or a member of the Science Outreach and Engagement Team whenever necessary.</li>
			<li>Solutional methods for computational problems.</li>
		","
				<li>On successful completion of this module students: </li>
				<li>Will be able to assess and devise appropriate ways to communicate a difficult principle or concept.</li>
				<li>Will have gained a broad understanding of many of the key aspects of teaching in schools.</li>
				<li>Will have an advanced understanding of Computer Science through having to explain to others.</li>
				<li>Will have an advanced understanding of the problems of public perception of science.  </li>
			"
Durham_England,COMP3477,"<h2>title</h2>COMP3477: 
ALGORITHMIC GAME THEORY<h2>summary</h2>
			<li> The aim of the module is to introduce the student to the notion of a game, relevant concepts, and other basic notions and tools of game theory, as well as the main applications where such concepts are used and applied. </li>
		<h2>content</h2>
			<li>Introduction to Game Theory: what is a game? Strategy, preferences, payoffs. </li>
			<li>Bimatrix games: strategies and payoffs; Nash equilibria.  </li>
			<li>Extensive games with Perfect Information.  </li>
			<li>Mathematical and algorithmic foundations of market equilibria.  </li>
			<li>Routing Games on Networks; Congestion Games.  </li>
			<li>Mechanism design and Combinatorial Auctions.  </li>
		<h2>ilo</h2>
				<li>On completion of the module, students will be able to demonstrate: </li>
				<li>An understanding of key game theoretic notions and ideas, and their connections to computer science and economics. </li>
				<li>An understanding of the impact of game theory and mechanism design on contemporary applications.  </li>
			","COMP3477: 
ALGORITHMIC GAME THEORY","
			<li> The aim of the module is to introduce the student to the notion of a game, relevant concepts, and other basic notions and tools of game theory, as well as the main applications where such concepts are used and applied. </li>
		","
			<li>Introduction to Game Theory: what is a game? Strategy, preferences, payoffs. </li>
			<li>Bimatrix games: strategies and payoffs; Nash equilibria.  </li>
			<li>Extensive games with Perfect Information.  </li>
			<li>Mathematical and algorithmic foundations of market equilibria.  </li>
			<li>Routing Games on Networks; Congestion Games.  </li>
			<li>Mechanism design and Combinatorial Auctions.  </li>
		","
				<li>On completion of the module, students will be able to demonstrate: </li>
				<li>An understanding of key game theoretic notions and ideas, and their connections to computer science and economics. </li>
				<li>An understanding of the impact of game theory and mechanism design on contemporary applications.  </li>
			"
Durham_England,COMP3487,"<h2>title</h2>COMP3487: 
BIOINFORMATICS<h2>summary</h2>
			<li>To introduce students to applications of Computer Science in Biology.</li>
			<li>To introduce students to some important Statistical methods and algorithms.</li>
		<h2>content</h2>
			<li>Dynamic programming algorithms for sequence alignment.</li>
			<li>Efficient heuristic algorithms for sequence alignment.</li>
			<li>Markov Chains and Hidden Markov Models (HMM). </li>
			<li>Expectation-Maximisation algorithm with an application to parameter-estimation in HMM. </li>
			<li>Phylogenetic Trees as a model of Evolution.  </li>
			<li>Maximum parsimony and character-based techniques for tree reconstruction.  </li>
			<li>Distance-based tree reconstruction via neighbour-joining techniques.  </li>
		<h2>ilo</h2>
				<li>On completion of the module, students will be able to demonstrate: </li>
				<li>an understanding of the basic computational problems in Biology. </li>
				<li>an understanding of some fundamental statistical techniques.  </li>
				<li>an understanding of basic tree-reconstruction algorithms.  </li>
			","COMP3487: 
BIOINFORMATICS","
			<li>To introduce students to applications of Computer Science in Biology.</li>
			<li>To introduce students to some important Statistical methods and algorithms.</li>
		","
			<li>Dynamic programming algorithms for sequence alignment.</li>
			<li>Efficient heuristic algorithms for sequence alignment.</li>
			<li>Markov Chains and Hidden Markov Models (HMM). </li>
			<li>Expectation-Maximisation algorithm with an application to parameter-estimation in HMM. </li>
			<li>Phylogenetic Trees as a model of Evolution.  </li>
			<li>Maximum parsimony and character-based techniques for tree reconstruction.  </li>
			<li>Distance-based tree reconstruction via neighbour-joining techniques.  </li>
		","
				<li>On completion of the module, students will be able to demonstrate: </li>
				<li>an understanding of the basic computational problems in Biology. </li>
				<li>an understanding of some fundamental statistical techniques.  </li>
				<li>an understanding of basic tree-reconstruction algorithms.  </li>
			"
Durham_England,COMP3491,"<h2>title</h2>COMP3491: 
CODES AND CRYPTOGRAPHY<h2>summary</h2>
			<li>To give an introduction to the fundamental steps of a digital communication system: compression/decompression, encryption/decryption, error control coding/decoding </li>
			<li>To give an introduction to the theoretical limitations of those steps via information theory understand the information theoretic limitations of the three domains above  </li>
		<h2>content</h2>
			<li>Data compression: lossless compression such as Huffman and Lempel-Ziv, lossy compression such as transform coding and wavelet compression </li>
			<li>Cryptography: block ciphers, hash functions, public key cryptography, signature schemes, lattice-based cryptography  </li>
			<li>Error-correcting codes: linear codes including Hamming codes, BCH and Reed-Solomon codes, code-based cryptography</li>
			<li>Information Theory: Entropy, channel capacity, data compression, information-theoretic cryptography </li>
		<h2>ilo</h2>
				<li>On completion of the module, students will be able to demonstrate: </li>
				<li>an understanding of the theory and practice of data compression, cryptography, and error-correcting codes </li>
				<li>an understanding of the main results of information theory  </li>
			","COMP3491: 
CODES AND CRYPTOGRAPHY","
			<li>To give an introduction to the fundamental steps of a digital communication system: compression/decompression, encryption/decryption, error control coding/decoding </li>
			<li>To give an introduction to the theoretical limitations of those steps via information theory understand the information theoretic limitations of the three domains above  </li>
		","
			<li>Data compression: lossless compression such as Huffman and Lempel-Ziv, lossy compression such as transform coding and wavelet compression </li>
			<li>Cryptography: block ciphers, hash functions, public key cryptography, signature schemes, lattice-based cryptography  </li>
			<li>Error-correcting codes: linear codes including Hamming codes, BCH and Reed-Solomon codes, code-based cryptography</li>
			<li>Information Theory: Entropy, channel capacity, data compression, information-theoretic cryptography </li>
		","
				<li>On completion of the module, students will be able to demonstrate: </li>
				<li>an understanding of the theory and practice of data compression, cryptography, and error-correcting codes </li>
				<li>an understanding of the main results of information theory  </li>
			"
Durham_England,COMP3507,"<h2>title</h2>COMP3507: 
COMPUTATIONAL COMPLEXITY<h2>summary</h2>
			<li>The aim of the module is to equip students with the ability to ability to formalise and reason about the complexity of computational problems as well as to identify barriers to efficient computations.</li>
		<h2>content</h2>
			<li>The content will be chosen from the following topics:</li>
			<li>Time complexity and space complexity of computational problems</li>
			<li>Complexity of optimisation and approximation</li>
			<li>Parameterised complexity</li>
			<li>Circuit complexity</li>
			<li>Complexity and cryptography</li>
			<li>Complexity of randomised computation</li>
			<li>Descriptive complexity</li>
		<h2>ilo</h2>
				<li>On completion of this module, students will be able to demonstrate:</li>
				<li>an understanding of the inherent limitations of computation through appreciation of the topic areas;</li>
				<li>an appreciation of different ways to measure and reason about the complexity of computation;</li>
				<li>a knowledge about various important problem solving paradigms in the broad area of algorithms and complexity.</li>
			","COMP3507: 
COMPUTATIONAL COMPLEXITY","
			<li>The aim of the module is to equip students with the ability to ability to formalise and reason about the complexity of computational problems as well as to identify barriers to efficient computations.</li>
		","
			<li>The content will be chosen from the following topics:</li>
			<li>Time complexity and space complexity of computational problems</li>
			<li>Complexity of optimisation and approximation</li>
			<li>Parameterised complexity</li>
			<li>Circuit complexity</li>
			<li>Complexity and cryptography</li>
			<li>Complexity of randomised computation</li>
			<li>Descriptive complexity</li>
		","
				<li>On completion of this module, students will be able to demonstrate:</li>
				<li>an understanding of the inherent limitations of computation through appreciation of the topic areas;</li>
				<li>an appreciation of different ways to measure and reason about the complexity of computation;</li>
				<li>a knowledge about various important problem solving paradigms in the broad area of algorithms and complexity.</li>
			"
Durham_England,COMP3517,"<h2>title</h2>COMP3517: 
COMPUTATIONAL MODELLING IN THE HUMANITIES AND SOCIAL SCIENCES<h2>summary</h2>
			<li>To enable students to understand and critically evaluate the application of computational modelling&nbsp;to problems in the humanities and social sciences.</li>
			<li>To introduce students to algorithms and approaches relevant to the modelling of humanities and social science data.</li>
		<h2>content</h2>
			<li>Computational models of text and language</li>
			<li>Text and data mining</li>
			<li>Critical evaluation of computational models</li>
		<h2>ilo</h2>
				<li>On completion of the module, students will be able to demonstrate: </li>
				<li>an understanding of how computational modelling can be applied to humanities and social science research</li>
				<li>an understanding of computational approaches to modelling text</li>
				<li>an understanding of data mining techniques.</li>
			","COMP3517: 
COMPUTATIONAL MODELLING IN THE HUMANITIES AND SOCIAL SCIENCES","
			<li>To enable students to understand and critically evaluate the application of computational modelling&nbsp;to problems in the humanities and social sciences.</li>
			<li>To introduce students to algorithms and approaches relevant to the modelling of humanities and social science data.</li>
		","
			<li>Computational models of text and language</li>
			<li>Text and data mining</li>
			<li>Critical evaluation of computational models</li>
		","
				<li>On completion of the module, students will be able to demonstrate: </li>
				<li>an understanding of how computational modelling can be applied to humanities and social science research</li>
				<li>an understanding of computational approaches to modelling text</li>
				<li>an understanding of data mining techniques.</li>
			"
Durham_England,COMP3527,"<h2>title</h2>COMP3527: 
COMPUTER VISION<h2>summary</h2>
			<li>To enable students to critically evaluate the development of computer vision solutions across existing and emerging technology areas. </li>
			<li>To enable students to understand and evaluate general image and video understanding themes across relevant application areas, focusing on relevant case studies.</li>
			<li>To understand and apply the fundamental principles of applied computer vision solutions to a range of real world problems.</li>
		<h2>content</h2>
			<li>Themes will be chosen from contemporary areas of computer vision including the following:</li>
			<li>edge features, contours and shape fitting. </li>
			<li>feature points for object detection and classification. </li>
			<li>stereo vision (3D point clouds and depth images). </li>
			<li>object classification using distributions of gradient information. </li>
			<li>background modelling and object tracking. </li>
			<li>end-to-end image classification and real-time object detection via deep machine learning. </li>
			<li>image and video mosaicking and 3D scene reconstruction. </li>
			<li>visual odometry for autonomous navigation. </li>
		<h2>ilo</h2>
				<li>On completion of this module, students will be able to demonstrate an in-depth knowledge of the contemporary computer vision topics presented,
					how these are applicable to relevant industrial problems and have future potential for emerging needs in both a research and industrial setting.
				</li>
			","COMP3527: 
COMPUTER VISION","
			<li>To enable students to critically evaluate the development of computer vision solutions across existing and emerging technology areas. </li>
			<li>To enable students to understand and evaluate general image and video understanding themes across relevant application areas, focusing on relevant case studies.</li>
			<li>To understand and apply the fundamental principles of applied computer vision solutions to a range of real world problems.</li>
		","
			<li>Themes will be chosen from contemporary areas of computer vision including the following:</li>
			<li>edge features, contours and shape fitting. </li>
			<li>feature points for object detection and classification. </li>
			<li>stereo vision (3D point clouds and depth images). </li>
			<li>object classification using distributions of gradient information. </li>
			<li>background modelling and object tracking. </li>
			<li>end-to-end image classification and real-time object detection via deep machine learning. </li>
			<li>image and video mosaicking and 3D scene reconstruction. </li>
			<li>visual odometry for autonomous navigation. </li>
		","
				<li>On completion of this module, students will be able to demonstrate an in-depth knowledge of the contemporary computer vision topics presented,
					how these are applicable to relevant industrial problems and have future potential for emerging needs in both a research and industrial setting.
				</li>
			"
Durham_England,COMP3547,"<h2>title</h2>COMP3547: 
DEEP LEARNING<h2>summary</h2>
			<li>To enable students to be able to approach complex ill-defined problems that require deep layers of learning, and understand how this relates to learning in nature.</li>
			<li>To equip students with the ability to use modern deep learning libraries in order to effectively design, train, and test neural networks in different applications.</li>
		<h2>content</h2>
			<li>Foundations of deep learning and learning in nature</li>
			<li>PyTorch programming</li>
			<li>Designing deep neural network architectures</li>
			<li>Adversarial models</li>
			<li>Energy-based models and Flow models</li>
			<li>Sequential models and Transformers</li>
			<li>Implicit representations</li>
			<li>Generalisation theory</li>
			<li>Meta and manifold learning</li>
		<h2>ilo</h2>
				<li>On completion of the module, students will be able to demonstrate:</li>
				<li>an understanding of state-of-the-art deep neural network architectures and neural network architecture components.</li>
				<li>an understanding of statistical learning theory with deep learning approaches.</li>
				<li>an understanding of the algorithms and approaches to design and evaluate deep neural networks.</li>
			","COMP3547: 
DEEP LEARNING","
			<li>To enable students to be able to approach complex ill-defined problems that require deep layers of learning, and understand how this relates to learning in nature.</li>
			<li>To equip students with the ability to use modern deep learning libraries in order to effectively design, train, and test neural networks in different applications.</li>
		","
			<li>Foundations of deep learning and learning in nature</li>
			<li>PyTorch programming</li>
			<li>Designing deep neural network architectures</li>
			<li>Adversarial models</li>
			<li>Energy-based models and Flow models</li>
			<li>Sequential models and Transformers</li>
			<li>Implicit representations</li>
			<li>Generalisation theory</li>
			<li>Meta and manifold learning</li>
		","
				<li>On completion of the module, students will be able to demonstrate:</li>
				<li>an understanding of state-of-the-art deep neural network architectures and neural network architecture components.</li>
				<li>an understanding of statistical learning theory with deep learning approaches.</li>
				<li>an understanding of the algorithms and approaches to design and evaluate deep neural networks.</li>
			"
Durham_England,COMP3557,"<h2>title</h2>COMP3557: 
DESIGN OF ALGORITHMS AND DATA STRUCTURES<h2>summary</h2>
			<li>The aim of the module is to equip students with the ability to design and analyse efficient algorithms and data structures.</li>
		<h2>content</h2>
			<li> To be chosen from the following: </li>
			<li> hashing (universal, perfect, Cuckoo, Bloom filters) </li>
			<li> treaps </li>
			<li> skip lists </li>
			<li> splay trees </li>
			<li> basic models and algorithms for sub-linear space (streaming) </li>
			<li> basic models and algorithms for sub-linear time (e.g., property testing) </li>
			<li> basic PRAM (shared-memory parallel) algorithms and techniques </li>
		<h2>ilo</h2>
				<li> On completion of the module, students will be able to demonstrate: </li>
				<li> a knowledge about various important problem solving paradigms in the broad area of algorithmic design. </li>
				<li> an understanding of how to measure, transfer and handle data </li>
				<li> an ability to apply techniques and methods from the relevant topics to tackle fundamental algorithmic problems; </li>
				<li> an ability to conduct review and self-study to further their knowledge beyond the taught material. </li>
			","COMP3557: 
DESIGN OF ALGORITHMS AND DATA STRUCTURES","
			<li>The aim of the module is to equip students with the ability to design and analyse efficient algorithms and data structures.</li>
		","
			<li> To be chosen from the following: </li>
			<li> hashing (universal, perfect, Cuckoo, Bloom filters) </li>
			<li> treaps </li>
			<li> skip lists </li>
			<li> splay trees </li>
			<li> basic models and algorithms for sub-linear space (streaming) </li>
			<li> basic models and algorithms for sub-linear time (e.g., property testing) </li>
			<li> basic PRAM (shared-memory parallel) algorithms and techniques </li>
		","
				<li> On completion of the module, students will be able to demonstrate: </li>
				<li> a knowledge about various important problem solving paradigms in the broad area of algorithmic design. </li>
				<li> an understanding of how to measure, transfer and handle data </li>
				<li> an ability to apply techniques and methods from the relevant topics to tackle fundamental algorithmic problems; </li>
				<li> an ability to conduct review and self-study to further their knowledge beyond the taught material. </li>
			"
Durham_England,COMP3567,"<h2>title</h2>COMP3567: 
MULTIMEDIA AND GAME DEVELOPMENT<h2>summary</h2>
			<li>To introduce students to the methods and techniques of effective game development and the principles and practices of modern multimedia technologies.</li>
		<h2>content</h2>
			<li>Game design and mechanics.</li>
			<li>Game engine and programming.</li>
			<li>Game physics and autonomous object motions.</li>
			<li>Visual and audial media representations.</li>
			<li>Media compression, quality optimisation and assessment.</li>
		<h2>ilo</h2>
				<li>On completion of the module, students will be able to demonstrate: </li>
				<li>an understanding of the technologies used in developing different types of games.</li>
				<li>an understanding of using suitable programming tools to implement games.</li>
				<li>an understanding of the technologies used in representing, processing and optimizing multimedia contents.</li>
			","COMP3567: 
MULTIMEDIA AND GAME DEVELOPMENT","
			<li>To introduce students to the methods and techniques of effective game development and the principles and practices of modern multimedia technologies.</li>
		","
			<li>Game design and mechanics.</li>
			<li>Game engine and programming.</li>
			<li>Game physics and autonomous object motions.</li>
			<li>Visual and audial media representations.</li>
			<li>Media compression, quality optimisation and assessment.</li>
		","
				<li>On completion of the module, students will be able to demonstrate: </li>
				<li>an understanding of the technologies used in developing different types of games.</li>
				<li>an understanding of using suitable programming tools to implement games.</li>
				<li>an understanding of the technologies used in representing, processing and optimizing multimedia contents.</li>
			"
