"Title","Text","UnitId","[M] elective: ","[M] institution: ","[M] title: ","[C] Altin, Rukiye (rukiye)","[C] Barker, Lecia","[C] Bradley, Steven","[C] Hooshangi, Sara","[C] Kunkeler, Thom","[C] McNeill, Fiona","[C] Minguillón, Julià (Julià Minguillón)","[C] Parker, Miranda","[C] Parkinson, Jack","[C] Peltsverger, Svetlana"
"COMP4157: LEARNING ANALYTICS","<h2>title</h2>COMP4157: LEARNING ANALYTICS<h2>summary</h2>   <li>To give students a fundamental understanding of some of the core approaches and problem-solving principles for Learning Analytics (LA) and the role of LA in current and future learning settings and environments.</li>  <h2>content</h2>   <li>Statistical Learning Analytics and visualisation: data pre-processing; methods for tackling learning analytics based on statistical approaches; the types of LA that can be done with such approaches - e.g. descriptive and beyond. Visualisation of LA data for different stakeholders - e.g. learner, teacher, administrator, etc. </li>   <li>Ethics of Learner Data Usage: discussions on ethical considerations of using learner data, starting from societal view, laws involved, (common) practice, future practice. Algorithmic perspectives, such as (expanded) sensitivity analysis.</li>   <li>Machine Learning based Learning Analytics: shallow and deep Machine Learning methods for LA; numerical versus textual data analytical methods for LA; combined methods; sentiment analysis for LA; the types of LA that can be done with such approaches - e.g. descriptive, diagnostic, predictive, prescriptive.</li>  <h2>ilo</h2>    <li>The key principles and methodologies of data pre-processing for learning analytics, as well as the ability to evaluate and interpret where and how to apply such methods, including in the absence of complete data.</li>    <li>The key principles and methodologies for statistical learning analytics and visualisation, as well as the ability to evaluate and interpret where and how to apply such methods, including in the absence of complete data.</li>    <li>The key principles of machine learning based learning analytics, as well as the ability to evaluate and interpret where and how to apply such methods, including in the absence of complete data.</li> ",,"COMP4157","Durham_England","COMP4157: LEARNING ANALYTICS",,"AI; 22","AI; 24","MSF",,,"AI; MSF",,"AI",
"COMP4167: NATURAL LANGUAGE PROCESSING","<h2>title</h2>COMP4167: NATURAL LANGUAGE PROCESSING<h2>summary</h2>   <li>Introduce the students to computational linguistics</li>   <li>Introduce the students to Language models</li>   <li>Gain experience in working with various textual data</li>   <li>Gain experience in using advanced techniques to solve natural language tasks such as text parsing, understanding, classification, translation, and generation</li>  <h2>content</h2>   <li>Text Pre-processing</li>   <li>Features Extraction</li>   <li>Language Modelling and Neural Language Modelling </li>   <li>Neural Word Embedding and their interpretation </li>   <li>Recurrent Neural Networks (RNN) for Language Models</li>   <li>Advanced variations of RNNs</li>   <li>Sequence to Sequence Architectures</li>   <li>Convolutional Neural Networks for Text Classification </li>   <li>Transformers and Attention based Models</li>   <li>Multitask Learning</li>   <li>Natural Language Generation</li>   <li>NLP Ethics and Fairness</li>  <h2>ilo</h2>    <li>On completion of the module, students will be able to demonstrate: </li>    <li>Understanding of the fundamental concepts of Language Models</li>    <li>Understanding of the mathematical basis of various deep-learning based language models</li>    <li>Understanding of the learning algorithms behind major NLP use cases e.g. Machine Translation, Multi-task Learning, Language Generation, ...</li>    <li>Understanding of the embedded bias in popular language models</li> ",,"COMP4167","Durham_England","COMP4167: NATURAL LANGUAGE PROCESSING","FPL","AI","AI; SEP","SEP; AI",,,"AI",,,
"COMP4187: PARALLEL SCIENTIFIC COMPUTING II","<h2>title</h2>COMP4187: PARALLEL SCIENTIFIC COMPUTING II<h2>summary</h2>   <li>Introduce advanced scientific computing techniques</li>   <li>Familiarise student with distributed memory programming and MPI</li>  <h2>content</h2>   <li>Basic spatial discretisation techniques for partial differential equations</li>   <li>Implicit time discretisation techniques for ordinary differential equations.</li>   <li>Advanced algorithms of scientific computing</li>   <li>Distributed memory programming paradigms.</li>   <li>Advanced parallel data structures.</li>  <h2>ilo</h2>    <li>On completion of the module, students will be able to demonstrate: </li>    <li>an in-depth knowledge of the state-of-the-art in scientific computing and accelerator programming</li>    <li>a critical awareness of the main open problems of current interest related to these areas</li>    <li>a comprehensive understanding of the research issues that relate to these problems, including recent developments and research trends, breaking technologies and opportunities for industrial innovation. </li> ",,"COMP4187","Durham_England","COMP4187: PARALLEL SCIENTIFIC COMPUTING II","AL","PDC; AL; 07","PDC","PDC",,,"PDC; 09",,,
"COMP4197: RANDOMISED ALGORITHMS AND PROBABILISTIC METHODS","<h2>title</h2>COMP4197: RANDOMISED ALGORITHMS AND PROBABILISTIC METHODS<h2>summary</h2>   <li>The aim of the module is to equip students with the ability to design and analyse efficient probabilistic algorithms.</li>  <h2>content</h2>   <li> To be chosen from the following: </li>   <li> basic bounds and inequalities (Markov, Chebyshev, Chernoff) </li>   <li> Martingales </li>   <li> Markov chains and random walks </li>   <li> the probabilistic method </li>   <li> approximate counting </li>   <li> parallel and distributed probabilistic algorithms </li>  <h2>ilo</h2>    <li> On completion of the module, students will be able to demonstrate: </li>    <li> a knowledge about various important problem solving paradigms in the broad area of probabilistic methods and algorithms </li>    <li> an ability to apply techniques and methods from the relevant topics to tackle fundamental algorithmic problems </li>    <li> an ability to conduct review and self-study to further their knowledge beyond the taught material </li> ",,"COMP4197","Durham_England","COMP4197: RANDOMISED ALGORITHMS AND PROBABILISTIC METHODS","AL","AI","AL","AL; MSF",,,,,"AL; MSF",
"Data Fundamentals (H) COMPSCI4073","<h2>title</h2>Data Fundamentals (H) COMPSCI4073<h2>summary</h2><p id=""_COMPSCI40730""><span id=""_COMPSCI40731"">This course will cover computational approaches to </span><span id=""_COMPSCI40732"">working with </span><span id=""_COMPSCI40733"">numerical data </span><span id=""_COMPSCI40734"">on a large scale. Computation on arrays of continuous variables underpins machine learning, information retrieval, data analytics, computer</span><span id=""_COMPSCI40735"">&nbsp;vision and signal processing. This course will cover vectorised operations on numerical arrays, fundamental stochastic and probabilist</span><span id=""_COMPSCI40736"">ic methods and scientific visualisation.</span></p><h2>content</h2><p id=""_COMPSCI407334""><span id=""_COMPSCI407335"">This course will give students skills in manipulating continuous data, specifying problems in a forms </span><span id=""_COMPSCI407336"">that can be solved</span><span id=""_COMPSCI407337"">&nbsp;numerically</span><span id=""_COMPSCI407338"">, dealing with unreliable and uncertain information, and communicating these results. DF</span><span id=""_COMPSCI407339"">(H)</span><span id=""_COMPSCI407340"">&nbsp;will introduce operations on vectors and matrices, </span><span id=""_COMPSCI407341"">specifying and solving problems via numerical optimisation, </span><span id=""_COMPSCI407342"">time series</span><span id=""_COMPSCI407343"">&nbsp;modelling</span><span id=""_COMPSCI407344"">, </span><span id=""_COMPSCI407345"">scientific visualisation and basic probabilistic computation. Students will learn how to bridge the continuous and discrete worlds; for example solving graph flow problems via matrix operations, or how to do robust A/B testing of websites The focus will be</span><span id=""_COMPSCI407346"">&nbsp;</span><span id=""_COMPSCI407347"">firmly</span><span id=""_COMPSCI407348"">&nbsp;</span><span id=""_COMPSCI407349"">on applying and solving these problems from a computer science perspective and not on theoretical background or formal proofs.</span></p><h2>ilo</h2><p id=""_COMPSCI407353""><span id=""_COMPSCI407354"">By the end of this course </span><span id=""_COMPSCI407355"">students will be able to:</span></p><p id=""_COMPSCI407356""><span id=""_COMPSCI407357"">1. </span><span id=""_COMPSCI407358"">formulate problems in tensor form and fluently manipulate tensors;</span></p><p id=""_COMPSCI407359""><span id=""_COMPSCI407360"">2. </span><span id=""_COMPSCI407361"">efficiently run vectorized code;</span><span id=""_COMPSCI407362"">&nbsp;</span></p><p id=""_COMPSCI407363""><span id=""_COMPSCI407364"">3. </span><span id=""_COMPSCI407365"">apply matrix decomposition to practical problems;</span></p><p id=""_COMPSCI407366""><span id=""_COMPSCI407367"">4. </span><span id=""_COMPSCI407368"">represent problems as objective functions and apply optimisation to solve them;</span></p><p id=""_COMPSCI407369""><span id=""_COMPSCI407370"">5. </span><span id=""_COMPSCI407371"">formulate and understand problems with stochastic elements;</span></p><p id=""_COMPSCI407372""><span id=""_COMPSCI407373"">6. </span><span id=""_COMPSCI407374"">understand the principles of Bayesian inference and apply it to simple problems;</span></p><p id=""_COMPSCI407375""><span id=""_COMPSCI407376"">7. </span><span id=""_COMPSCI407377"">create effective, clear, and precise visualisations of scientific data;</span></p><p id=""_COMPSCI407378""><span id=""_COMPSCI407379"">8. </span><span id=""_COMPSCI407380"">understand the effects of sampling and noi</span><span id=""_COMPSCI407381"">se on time series;</span></p><p id=""_COMPSCI407382""><span id=""_COMPSCI407383"">9. </span><span id=""_COMPSCI407384"">process, filter, summarise and plot time series and array data.</span></p> ",,"COMPSCI4073","Glasgow_Scotland","Data Fundamentals (H) COMPSCI4073","DM","AR; DM","PDC; MSF","DM; AI; MSF",,,,,"DM",
"Individual Project (H) (Combined) COMPSCI4024P","<h2>title</h2>Individual Project (H) (Combined) COMPSCI4024P<h2>summary</h2><p id=""_COMPSCI4024P0""><span id=""_COMPSCI4024P1"">The aim of the individual project is to allow students to undertake a substantial piece of individual work, involving planning, specification, design, execution, evaluation, presentation and report-writing.</span></p><h2>content</h2><p id=""_COMPSCI4024P19""><span id=""_COMPSCI4024P20"">The aim of the individual project is to allow students to undertake a substantial piece of individual work, involving planning, specification, design, execution, evaluation, presentation and report-writing.</span></p><h2>ilo</h2><p id=""_COMPSCI4024P30""><span id=""_COMPSCI4024P31"">By the end of the course students will be able to:</span></p><p id=""_COMPSCI4024P32"">&nbsp;</p><p id=""_COMPSCI4024P33""><span id=""_COMPSCI4024P34"">1. </span><span id=""_COMPSCI4024P35"">Manage and organise a large independent solo piece of work</span><span id=""_COMPSCI4024P36"">;</span></p><p id=""_COMPSCI4024P37""><span id=""_COMPSCI4024P38"">2. </span><span id=""_COMPSCI4024P39"">Choose among technologies, tools and approaches and apply them effectively</span><span id=""_COMPSCI4024P40"">;</span></p><p id=""_COMPSCI4024P41""><span id=""_COMPSCI4024P42"">3. </span><span id=""_COMPSCI4024P43"">Synthesise technical skills appropriately to address a single challenging problem</span><span id=""_COMPSCI4024P44"">;</span></p><p id=""_COMPSCI4024P45""><span id=""_COMPSCI4024P46"">4. </span><span id=""_COMPSCI4024P47"">Develop a substantial product which demonstrates technical </span><span id=""_COMPSCI4024P48"">achievement in computer science;</span></p><p id=""_COMPSCI4024P49""><span id=""_COMPSCI4024P50"">5. </span><span id=""_COMPSCI4024P51"">Appropriately evaluate the outcome of their work</span><span id=""_COMPSCI4024P52"">;</span></p><p id=""_COMPSCI4024P53""><span id=""_COMPSCI4024P54"">6. </span><span id=""_COMPSCI4024P55"">Conduct themselves in a professional manner, taking responsibility for the progress of the project, recording their time and effectively using their supervisor's input</span><span id=""_COMPSCI4024P56"">;</span></p><p id=""_COMPSCI4024P57""><span id=""_COMPSCI4024P58"">7. </span><span id=""_COMPSCI4024P59"">Write a coherent, literate dissertation that documents the project, justifies decisions made and sets their work in context</span><span id=""_COMPSCI4024P60"">;</span></p><p id=""_COMPSCI4024P61""><span id=""_COMPSCI4024P62"">8. </span><span id=""_COMPSCI4024P63"">Present their work orally to a technical audience, communicating their project precisely and fluently</span><span id=""_COMPSCI4024P64"">;</span></p><p id=""_COMPSCI4024P65""><span id=""_COMPSCI4024P66"">9. </span><span id=""_COMPSCI4024P67"">Produce concise, informative video summaries of their work</span><span id=""_COMPSCI4024P68"">.</span></p> ",,"COMPSCI4024P","Glasgow_Scotland","Individual Project (H) (Combined) COMPSCI4024P",,"SEP",,17,,,,,,
"Interactive Systems (H) COMPSCI4014","<h2>title</h2>Interactive Systems (H) COMPSCI4014<h2>summary</h2><p id=""_COMPSCI40140""><span id=""_COMPSCI40141"">The aims of the course are</span><span id=""_COMPSCI40142"">:</span></p><p id=""_COMPSCI40143""><span id=""_COMPSCI40144"">to offer students the opportunity to become familiar with one of the most important interaction paradigms;</span></p><p id=""_COMPSCI40145""><span id=""_COMPSCI40146"">to enable students to become skilled in the use of techniques and tools for modelling, implementing and evaluating interactive systems;</span></p><p id=""_COMPSCI40147""><span id=""_COMPSCI40148"">to</span><span id=""_COMPSCI40149"">&nbsp;enable students to apply the theories, techniques and tools presented in the course via challenging exercises which combine design, implementation and evaluation.</span></p><h2>content</h2><p id=""_COMPSCI401439""><span id=""_COMPSCI401440"">The aims of the course are</span><span id=""_COMPSCI401441"">:</span></p><p id=""_COMPSCI401442""><span id=""_COMPSCI401443"">to offer students the opportunity to become familiar with one of the most important interaction paradigms;</span></p><p id=""_COMPSCI401444""><span id=""_COMPSCI401445"">to enable students to become skilled in the use of techniques and tools for modelling, implementing and evaluating interactive systems;</span></p><p id=""_COMPSCI401446""><span id=""_COMPSCI401447"">to</span><span id=""_COMPSCI401448"">&nbsp;enable students to apply the theories, techniques and tools presented in the course via challenging exercises which combine design, implementation and evaluation.</span></p><h2>ilo</h2><p id=""_COMPSCI401450""><span id=""_COMPSCI401451"">By the end of the course students will be able to:</span></p><p id=""_COMPSCI401452""><span id=""_COMPSCI401453"">1. </span><span id=""_COMPSCI401454"">Describe the key problems in interaction design; </span></p><p id=""_COMPSCI401455""><span id=""_COMPSCI401456"">2. </span><span id=""_COMPSCI401457"">Represent and reason about interaction designs;</span></p><p id=""_COMPSCI401458""><span id=""_COMPSCI401459"">3. </span><span id=""_COMPSCI401460"">Design, implement and evaluate </span><span id=""_COMPSCI401461"">a simple interactive system using appropriate technology</span><span id=""_COMPSCI401462"">;</span></p><p id=""_COMPSCI401463""><span id=""_COMPSCI401464"">4. </span><span id=""_COMPSCI401465"">Use formal, experimental and analytic techniques for evaluating interaction;</span></p><p id=""_COMPSCI401466""><span id=""_COMPSCI401467"">5. </span><span id=""_COMPSCI401468"">Discuss </span><span id=""_COMPSCI401469"">how </span><span id=""_COMPSCI401470"">the lecture material fits within the whole area of HCI research and practice.</span></p> ",,"COMPSCI4014","Glasgow_Scotland","Interactive Systems (H) COMPSCI4014",,"HCI","GIT; HCI","HCI",,,,,"HCI; 21; GIT",
"Professional Software Development (H) COMPSCI4015","<h2>title</h2>Professional Software Development (H) COMPSCI4015<h2>summary</h2><p id=""_COMPSCI40150""><span id=""_COMPSCI40151"">The aims of the course are to: </span></p><p id=""_COMPSCI40152""><span id=""_COMPSCI40153"">I</span><span id=""_COMPSCI40154"">ntroduce students to modern software development methods and techniques for building and maintaining large systems</span><span id=""_COMPSCI40155"">;</span></p><p id=""_COMPSCI40156""><span id=""_COMPSCI40157"">Prepare</span><span id=""_COMPSCI40158"">&nbsp;students to apply these methods and techniques presented to them in the context of an extended group-base</span><span id=""_COMPSCI40159"">d software development exercise;</span></p><p id=""_COMPSCI401510""><span id=""_COMPSCI401511"">M</span><span id=""_COMPSCI401512"">ake the students aware of the professional, social and ethical dimensions of software development</span><span id=""_COMPSCI401513"">;</span><span id=""_COMPSCI401514"">&nbsp;</span></p><p id=""_COMPSCI401515""><span id=""_COMPSCI401516"">I</span><span id=""_COMPSCI401517"">nstil in the students a professional attitude towards software development.</span></p><h2>content</h2><p id=""_COMPSCI401556""><span id=""_COMPSCI401557"">The aims of the course are to: </span></p><p id=""_COMPSCI401558""><span id=""_COMPSCI401559"">I</span><span id=""_COMPSCI401560"">ntroduce students to modern software development methods and techniqu</span><span id=""_COMPSCI401561"">es for building and maintaining </span><span id=""_COMPSCI401562"">large systems</span><span id=""_COMPSCI401563"">;</span></p><p id=""_COMPSCI401564""><span id=""_COMPSCI401565"">Prepare</span><span id=""_COMPSCI401566"">&nbsp;students to apply these methods and techniques presented to them in the context of an extended group-based software development exercise</span><span id=""_COMPSCI401567"">&nbsp;(Team Project (H));</span><span id=""_COMPSCI401568"">&nbsp;</span></p><p id=""_COMPSCI401569""><span id=""_COMPSCI401570"">M</span><span id=""_COMPSCI401571"">ake the students aware of the professional, social and ethical dimensions of software development</span><span id=""_COMPSCI401572"">;</span><span id=""_COMPSCI401573"">&nbsp;</span></p><p id=""_COMPSCI401574""><span id=""_COMPSCI401575"">I</span><span id=""_COMPSCI401576"">nstil in the students a professional attitude towards software development.</span></p><h2>ilo</h2><p id=""_COMPSCI401578""><span id=""_COMPSCI401579"">By the end of this course students will be able to:</span></p><p id=""_COMPSCI401580""><span id=""_COMPSCI401581"">1. </span><span id=""_COMPSCI401582"">Identify the main phases of software development and how they are related in contemporary development methods;</span></p><p id=""_COMPSCI401583""><span id=""_COMPSCI401584"">2. </span><span id=""_COMPSCI401585"">Maintain</span><span id=""_COMPSCI401586"">&nbsp;an existing medium to large-scale system according to supplied requirements (this will include modifying some of the system documentation);</span></p><p id=""_COMPSCI401587""><span id=""_COMPSCI401588"">3. </span><span id=""_COMPSCI401589"">Identify and discuss critically professional, social and ethical issues involved in large-scale software development;</span></p><p id=""_COMPSCI401590""><span id=""_COMPSCI401591"">4. </span><span id=""_COMPSCI401592"">Plan, organise and schedule </span><span id=""_COMPSCI401593"">a substantial team based</span><span id=""_COMPSCI401594"">&nbsp;project;</span></p><p id=""_COMPSCI401595""><span id=""_COMPSCI401596"">5. </span><span id=""_COMPSCI401597"">Capture and specify functional and non-functional requirements;</span></p><p id=""_COMPSCI401598""><span id=""_COMPSCI401599"">6. </span><span id=""_COMPSCI4015100"">Design, specify; implement and test a system which demonstrably meets project requirements;</span></p><p id=""_COMPSCI4015101""><span id=""_COMPSCI4015102"">7. </span><span id=""_COMPSCI4015103"">Maintain</span><span id=""_COMPSCI4015104"">&nbsp;appropriate, clear and accurate documentation;</span></p><p id=""_COMPSCI4015105""><span id=""_COMPSCI4015106"">8. </span><span id=""_COMPSCI4015107"">Use appropriate QA techniques</span><span id=""_COMPSCI4015108"">, including test suite planning</span><span id=""_COMPSCI4015109"">;</span></p><p id=""_COMPSCI4015110""><span id=""_COMPSCI4015111"">9. </span><span id=""_COMPSCI4015112"">Use appropriate configuration management tools and techniques;</span></p><p id=""_COMPSCI4015113""><span id=""_COMPSCI4015114"">10. </span><span id=""_COMPSCI4015115"">Deliver articulate and informative presentations on project topics;</span></p><p id=""_COMPSCI4015116""><span id=""_COMPSCI4015117"">11. </span><span id=""_COMPSCI4015118"">Communicate effectively within the project team;</span></p><p id=""_COMPSCI4015119""><span id=""_COMPSCI4015120"">12. </span><span id=""_COMPSCI4015121"">Work successfully within a team.</span></p> ",,"COMPSCI4015","Glasgow_Scotland","Professional Software Development (H) COMPSCI4015","SDF; SE","SEP; SDF","SE; SEP","SE; SDF",,,,,,
"Systems Programming (H) COMPSCI4081","<h2>title</h2>Systems Programming (H) COMPSCI4081<h2>summary</h2><p id=""_COMPSCI40810""><span id=""_COMPSCI40811"">This course aims to introduce students to low-level systems programming. It focusses on programming in an unmanaged environment, where data layout matters, and where performance is critical. This might include operating systems kernels, device drivers, low-level networking code, or other areas where the software-machine interface becomes critical. </span></p><p id=""_COMPSCI40812"">&nbsp;</p><p id=""_COMPSCI40813""><span id=""_COMPSCI40814"">The course will use a low-level systems programming language, for example C, to introduce these concepts. Students will be expected to learn the basics of this language in a self-study manner prior to entry, however a review of the major concepts will be provided at the start of the course.</span></p><p id=""_COMPSCI40815"">&nbsp;</p><p id=""_COMPSCI40816""><span id=""_COMPSCI40817"">This material is an essential prerequisite for the Operating Systems (H) and Networked Systems (H) courses.</span></p><h2>content</h2><p id=""_COMPSCI408133""><span id=""_COMPSCI408134"">■&nbsp;</span><span id=""_COMPSCI408135"">To introduce low-level systems programming concepts and develop the students' experience and understanding of programming in a systems language;</span></p><p id=""_COMPSCI408136""><span id=""_COMPSCI408137"">■&nbsp;</span><span id=""_COMPSCI408138"">To develop the ability to craft efficient and effective code in a pointer-rich language;</span></p><p id=""_COMPSCI408139""><span id=""_COMPSCI408140"">■&nbsp;</span><span id=""_COMPSCI408141"">To develop the ability to manage memory, and other resources, in a language/environment that lacks automatic storage management;</span></p><p id=""_COMPSCI408142""><span id=""_COMPSCI408143"">■&nbsp;</span><span id=""_COMPSCI408144"">To demonstrate the impact of data layout, caching, non-uniform memory access, virtual memory, and other machine specifics on the performance of systems code; </span></p><p id=""_COMPSCI408145""><span id=""_COMPSCI408146"">■&nbsp;</span><span id=""_COMPSCI408147"">To explore a variety of different concurrency control mechanisms, and develop practice programming concurrent code in a systems language; and</span></p><p id=""_COMPSCI408148""><span id=""_COMPSCI408149"">■&nbsp;</span><span id=""_COMPSCI408150"">To introduce students to the differences between hardware platforms and operating systems, and the impact these have on systems programming.</span></p><h2>ilo</h2><p id=""_COMPSCI408151""><span id=""_COMPSCI408152"">By the end of this course students should be able to:</span></p><p id=""_COMPSCI408153""><span id=""_COMPSCI408154"">■&nbsp;</span><span id=""_COMPSCI408155"">Demonstrate competence in low-level systems programming;</span></p><p id=""_COMPSCI408156""><span id=""_COMPSCI408157"">■&nbsp;</span><span id=""_COMPSCI408158"">Design, implement and explain the behaviour of low-level programs written in a systems language;</span></p><p id=""_COMPSCI408159""><span id=""_COMPSCI408160"">■&nbsp;</span><span id=""_COMPSCI408161"">Explain the concepts of stack and heap allocation, pointers, and memory ownership, including demonstrating an understanding of issues such as memory leaks, buffer overflows, use-after-free, and race conditions;</span></p><p id=""_COMPSCI408162""><span id=""_COMPSCI408163"">■&nbsp;</span><span id=""_COMPSCI408164"">Explain how data structures are represented, and how this interacts with caching and virtual memory, and to be able to demonstrate the performance impact of such issues;</span></p><p id=""_COMPSCI408165""><span id=""_COMPSCI408166"">■&nbsp;</span><span id=""_COMPSCI408167"">D</span><span id=""_COMPSCI408168"">iscuss and reason about concurrency, race conditions, and the system memory model; and</span></p><p id=""_COMPSCI408169""><span id=""_COMPSCI408170"">■&nbsp;</span><span id=""_COMPSCI408171"">Build well-structured concurrent systems programs of moderate size, using libraries and static analysis tools appropriately.</span></p> ",,"COMPSCI4081","Glasgow_Scotland","Systems Programming (H) COMPSCI4081","FPL","FPL; SF","FPL","OS; SF",,,,,"OS",
"Team Project Minor (H) COMPSCI4070","<h2>title</h2>Team Project Minor (H) COMPSCI4070<h2>summary</h2><p id=""_COMPSCI40700""><span id=""_COMPSCI40701"">This course gives students the experience of working on a substantial team bas</span><span id=""_COMPSCI40702"">ed software project.  The course provides the opportunity to apply the principles, practices and tools learned during the associated Professional Software Development (H) course.</span></p><h2>content</h2><p id=""_COMPSCI407054""><span id=""_COMPSCI407055"">To introduce students to the constraints and challenges of long lived software development projects.  To provide the opportunity to practice software industry standard practices and tools for managing the complexity of large scale </span><span id=""_COMPSCI407056"">software development.</span></p><h2>ilo</h2><p id=""_COMPSCI407057""><span id=""_COMPSCI407058"">By the end of this course students will be able to:</span></p><p id=""_COMPSCI407059""><span id=""_COMPSCI407060"">1. </span><span id=""_COMPSCI407061"">Manage a small scale team based software project in a disciplined and organised manner</span><span id=""_COMPSCI407062"">;</span></p><p id=""_COMPSCI407063""><span id=""_COMPSCI407064"">2. </span><span id=""_COMPSCI407065"">Work with a customer in a problem domain to elaborate, specify and refine requirements</span><span id=""_COMPSCI407066"">;</span></p><p id=""_COMPSCI407067""><span id=""_COMPSCI407068"">3. </span><span id=""_COMPSCI407069"">Select, and employ industry standard software practices and tools as appropriate within a software process</span><span id=""_COMPSCI407070"">;</span></p><p id=""_COMPSCI407071""><span id=""_COMPSCI407072"">4. </span><span id=""_COMPSCI407073"">Present project progress through short demonstrations</span><span id=""_COMPSCI407074"">;</span></p><p id=""_COMPSCI407075""><span id=""_COMPSCI407076"">5. </span><span id=""_COMPSCI407077"">Review, analyse and adapt project processes within a process improvement framework.</span></p> ",,"COMPSCI4070","Glasgow_Scotland","Team Project Minor (H) COMPSCI4070","FPL","SDF; SE","SE","SE",,,,,,
