Title,Text,[M] elective: ,[M] institution: ,[M] title: ,"[C] Barker, Lecia","[C] Bradley, Steven","[C] Hooshangi, Sara","[C] Kunkeler, Thom","[C] Lennon, Ruth","[C] Parkinson, Jack","[C] Sibia, Naaz (Naaz Sibia)",Annotations
COMP3421: COMPUTER SCIENCE INTO SCHOOLS,"<h2>title</h2>COMP3421: COMPUTER SCIENCE INTO SCHOOLS<h2>summary</h2>   <li>To develop a range of key skills in the student and to offer an early taste of teaching to those interested in pursuing it as a career or for other career pathways where public understanding of science is required.</li>   <li>To help students gain confidence in communicating Computer Science, develop strong organisational and interpersonal skills, and understand how to address the needs of individuals.</li>   <li>To learn to devise and develop Computer Science projects and teaching methods appropriate to engage the relevant age group they are working with.</li>   <li>To help inspire a new generation of Computer Scientists as prospective undergraduates by providing role models for school pupils.</li>   <li>To help teachers convey the excitement of their subject to pupils by showing them the long-term applications of school studies, especially the cross disciplinary relationships of Computer Science.</li>   <li>To help teachers by providing an assistant who can work with and support pupils at any point on the ability spectrum.</li>  <h2>content</h2>   <li>A competitive interview system will be used to match students with appropriate schools and a specific teacher in the local area, and each student selected will be given a chance to visit the school they will be working in before commencement of the placement.  </li>   <li>One day training course on working in schools and with pupils.  </li>   <li>Series of lectures on key transferable skills.  </li>   <li>The student will be required to spend half a day (approx 4hrs) a week in the school every week for at least 10 weeks.  </li>   <li>Tutorials which will provide an opportunity for students to share their experiences.  </li>   <li>The students will be involved in the following activities in support of their learning and teaching:  </li>   <li>Classroom observation and assistance: Initial contact with the teacher and pupils will be as a classroom assistant, watching how the teacher handles the class, observing the level being taught and the structure of the lesson, and offering practical support to the teacher.  </li>   <li>Teaching assistance: The teacher will assign the student with actual teaching tasks, which will vary dependent on specific needs and the student's own ability as it develops over the term. This could include for example offering problem-solving coaching to a smaller group of higher ability pupils, or taking the last ten minutes of the lesson for the whole class. The student will have to demonstrate an understanding of how the level of the knowledge of the pupils they are teaching fits in to their overall learning context in other subjects.  </li>   <li>Whole class teaching: Students will typically be offered, in collaboration with their teachers, at least one opportunity to undertake whole class teaching, albeit that it may be only for a small part of the lesson.  </li>   <li>University awareness: Students will represent and promote their academic discipline as a potential university choice to pupils across the social and academic range represented at their partner schools.  </li>   <li>Special projects: The student will devise a special Computer Science project on the basis of discussion with the teacher and module co-ordinator and their own assessment of what will interest the particular pupils they are working with. The student will implement the special project and evaluate it. The student will be required to show that they can analyse a specific teaching problem and devise and prepare appropriately targeted teaching materials, practical demonstrations and basis 'tests' where appropriate.  </li>   <li>Extra-curricular projects: The student may be supervised by the teacher in helping to run an out-of-timetable activity, such as a lunchtime club or special coaching periods for higher ability pupils. The student will have to demonstrate an ability to think laterally in order to formulate interesting ways to illustrate more difficult scientific concepts.  </li>   <li>Written reports: The student will keep a journal of their own progress in working in the classroom environment, and they will be asked to prepare a written report on the special project.  </li>   <li>The teachers will act as the main source of guidance in the schools but, in addition, the students will also be able to discuss progress with the module co-ordinator or a member of the Science Outreach and Engagement Team whenever necessary.</li>   <li>Solutional methods for computational problems.</li>  <h2>ilo</h2>    <li>On successful completion of this module students: </li>    <li>Will be able to assess and devise appropriate ways to communicate a difficult principle or concept.</li>    <li>Will have gained a broad understanding of many of the key aspects of teaching in schools.</li>    <li>Will have an advanced understanding of Computer Science through having to explain to others.</li>    <li>Will have an advanced understanding of the problems of public perception of science.  </li> ",COMP3421,Durham_England,COMP3421: COMPUTER SCIENCE INTO SCHOOLS,22; SEP,,22,SEP; 22,SDF; 22,22,22; SEP,
COMP3491: CODES AND CRYPTOGRAPHY,"<h2>title</h2>COMP3491: CODES AND CRYPTOGRAPHY<h2>summary</h2>   <li>To give an introduction to the fundamental steps of a digital communication system: compression/decompression, encryption/decryption, error control coding/decoding </li>   <li>To give an introduction to the theoretical limitations of those steps via information theory understand the information theoretic limitations of the three domains above  </li>  <h2>content</h2>   <li>Data compression: lossless compression such as Huffman and Lempel-Ziv, lossy compression such as transform coding and wavelet compression </li>   <li>Cryptography: block ciphers, hash functions, public key cryptography, signature schemes, lattice-based cryptography  </li>   <li>Error-correcting codes: linear codes including Hamming codes, BCH and Reed-Solomon codes, code-based cryptography</li>   <li>Information Theory: Entropy, channel capacity, data compression, information-theoretic cryptography </li>  <h2>ilo</h2>    <li>On completion of the module, students will be able to demonstrate: </li>    <li>an understanding of the theory and practice of data compression, cryptography, and error-correcting codes </li>    <li>an understanding of the main results of information theory  </li> ",COMP3491,Durham_England,COMP3491: CODES AND CRYPTOGRAPHY,SEC,,SEC; NC,SEC; DM; 10,SEC,NC; SEC,AL; SEC,"Annotation: I think this is security because of the encryption; however, I don't know what else to use. Data management? Architecture?; User: Lecia Barker; Timestamp: 6/24/2023 10:26:09 PM; Code(s): ; Trigger: coding/decoding, compression"
COMP3507: COMPUTATIONAL COMPLEXITY,"<h2>title</h2>COMP3507: COMPUTATIONAL COMPLEXITY<h2>summary</h2>   <li>The aim of the module is to equip students with the ability to ability to formalise and reason about the complexity of computational problems as well as to identify barriers to efficient computations.</li>  <h2>content</h2>   <li>The content will be chosen from the following topics:</li>   <li>Time complexity and space complexity of computational problems</li>   <li>Complexity of optimisation and approximation</li>   <li>Parameterised complexity</li>   <li>Circuit complexity</li>   <li>Complexity and cryptography</li>   <li>Complexity of randomised computation</li>   <li>Descriptive complexity</li>  <h2>ilo</h2>    <li>On completion of this module, students will be able to demonstrate:</li>    <li>an understanding of the inherent limitations of computation through appreciation of the topic areas;</li>    <li>an appreciation of different ways to measure and reason about the complexity of computation;</li>    <li>a knowledge about various important problem solving paradigms in the broad area of algorithms and complexity.</li> ",COMP3507,Durham_England,COMP3507: COMPUTATIONAL COMPLEXITY,AL,,AL,AL; 09,AL; SE,AL,AL,Annotation: Low confidence on this. Complexity seems to cut across a lot of areas.; User: Lecia Barker; Timestamp: 6/24/2023 10:29:27 PM; Code(s): ; Trigger: complexity
COMP3567: MULTIMEDIA AND GAME DEVELOPMENT,"<h2>title</h2>COMP3567: MULTIMEDIA AND GAME DEVELOPMENT<h2>summary</h2>   <li>To introduce students to the methods and techniques of effective game development and the principles and practices of modern multimedia technologies.</li>  <h2>content</h2>   <li>Game design and mechanics.</li>   <li>Game engine and programming.</li>   <li>Game physics and autonomous object motions.</li>   <li>Visual and audial media representations.</li>   <li>Media compression, quality optimisation and assessment.</li>  <h2>ilo</h2>    <li>On completion of the module, students will be able to demonstrate: </li>    <li>an understanding of the technologies used in developing different types of games.</li>    <li>an understanding of using suitable programming tools to implement games.</li>    <li>an understanding of the technologies used in representing, processing and optimizing multimedia contents.</li> ",COMP3567,Durham_England,COMP3567: MULTIMEDIA AND GAME DEVELOPMENT,GIT; SPD; 21,,GIT; HCI; 21,GIT; SPD; 21,SE; AL,GIT; SPD; 21,SPD; GIT; 21,
COMP3587: PROJECT MANAGEMENT,"<h2>title</h2>COMP3587: PROJECT MANAGEMENT<h2>summary</h2>   <li>To understand and practice well established project management techniques required for the development of a significant piece of software within a team environment</li>  <h2>content</h2>   <li>Project management frameworks and application</li>   <li>Leadership and innovation</li>   <li>Managing change</li>   <li>Practical management skills</li>  <h2>ilo</h2>    <li>On completion of the module, students will be able to: </li>    <li>Compose a project management plan</li>    <li>Assess project management frameworks and evaluate their appropriateness</li>    <li>Evaluate leadership success</li>    <li>   </li> ",COMP3587,Durham_England,COMP3587: PROJECT MANAGEMENT,SEP,,17,SEP; 17,SEP; 17,17,SE; 17,
COMP3607: RECOMMENDER SYSTEMS,"<h2>title</h2>COMP3607: RECOMMENDER SYSTEMS<h2>summary</h2>   <li>Have you ever wondered how Netflix, YouTube, Amazon or Spotify make suggestions for which content next to view? </li>   <li>In this module, we will look at the inner workings of recommender systems;</li>   <li>explore developing user profiles based on demographics, preferences, context, etc.;</li>   <li>and put to practice approaches to predict the ""best"" content to recommend to an individual user.</li>  <h2>content</h2>   <li>Non-personalised recommenders</li>   <li>Content-based filtering</li>   <li>Collaborative filtering</li>   <li>Context-aware recommenders</li>   <li>Other RS types, e.g.: hybrid and group</li>   <li>Evaluation methods</li>   <li>Ethical issues in recommender systems</li>  <h2>ilo</h2>    <li>On completion of the module, students will be able to demonstrate: </li>    <li>an understanding of the different types of recommender systems, their purpose and domains of application</li>    <li>an understanding of recommender system users: usage behaviour, demographics, preferences, contextual information</li>    <li>an in-depth knowledge of recommender system algorithms, specifically non-personalised, content-based and collaborative filtering, hybrid techniques and context-aware recommenders</li>    <li>an understanding of recommender system evaluation methods.</li> ",COMP3607,Durham_England,COMP3607: RECOMMENDER SYSTEMS,AI,,SPD; SEP,AL; AI; 10,SE; HCI,AI,AI,
COMP3617: VIRTUAL AND AUGMENTED REALITY,"<h2>title</h2>COMP3617: VIRTUAL AND AUGMENTED REALITY<h2>summary</h2>   <li>This course will introduce the principles of Virtual and Augmented Reality (VR/AR) technologies including optics, displays, rendering techniques, visual perception, tracking, interaction, current challenges, applications and major hardware and software platforms.</li>  <h2>content</h2>   <li>Introduction: history of VR/AR development, overview of computer graphics, the graphics pipeline, applications in education, communication, medical, entertainment, manufacturing, shopping.</li>   <li>VR/AR hardware: displays, physics of light, optics, electronics, microcontrollers, VR head-mounted displays, CAVEs, controllers, interfaces, major hardware platforms.</li>   <li>VR/AR software: stereo rendering for VR/AR, lens distortion shaders, auditory rendering, major software platforms.</li>   <li>Human perception: visual, auditory, vestibular, tactile.</li>   <li>Tracking: head-tracking, inertial measurement units, gyros, accelerometers, magnetometers, sensor fusion, complementary filter, etc.</li>   <li>Interaction and moving in VR: ergonomics, comfort, 3D interaction design, 3DUIs, perceptual requirements, affordances in VR, user input, physical navigation, redirected walking.</li>   <li>Presence: virtual embodiment.</li>   <li>Challenges in VR: simulator sickness, visual discomfort, realism, content, navigation, haptic feedback.</li>   <li>AR specific topics: object tracking, geolocation.</li>  <h2>ilo</h2>    <li>On completion of the module, students will be able to demonstrate: </li>    <li>An in-depth knowledge of theory and techniques driving the design of Virtual and Augmented Reality hardware and software. </li> ",COMP3617,Durham_England,COMP3617: VIRTUAL AND AUGMENTED REALITY,GIT,,HCI; GIT,GIT; SPD; 21,HCI; AR,GIT; HCI,GIT,
COMP3621: Public Engagement in Computer Science,"<h2>title</h2>COMP3621: Public Engagement in Computer Science<h2>summary</h2>   <li>This module is designed primarily for students studying Department of Computer Science or Natural Sciences degree programmes.</li>   <li>To provide experience of a research-led public engagement project in Computer Science.</li>   <li>To allow students to make an in-depth study of a particular topic in Computer Science, to undertake extensive independent research and to write at length on their chosen subject in the context of public engagement.</li>   <li>To develop a range of transferable skills in researching a topic in the context of public engagement and making oral and written presentations on their work.</li>   <li>To learn to devise and develop Computer Science projects and public engagement methods appropriate to the chosen topic and relevant audience(s).  </li>  <h2>content</h2>   <li>Project: A research-led public engagement project, set in collaboration with members of staff from the Department, and possibly with an external partner, allowing students to present the results of individual and independent work (note: an original contribution to scientific knowledge is not required or expected).</li>   <li>The student will implement and evaluate the project. The student will be required to show that they can analyse a specific public engagement problem and devise and develop an appropriate public engagement approach to address that specific problem.</li>   <li>Students will choose from a wide list of broad possible topics. Each student will be assigned a member of staff as supervisor. Students will devise their own approach to researching and communicating their subject with advice from their supervisor. As part of their work they will be expected to address some of the specific aspects of their subject with the agreement of the supervisor. Students will be expected to work independently, to manage the direction of their work and to employ a significant component of self-directed learning.</li>   <li>Reflective practice: The student will keep a reflective journal of activity and produce an executive summary of that journal, summarising and communicating their reflective practice in relation to their project.</li>   <li>Transferable skills including time-management, presentation, communication, organisation, prioritisation and negotiation skills.  </li>  <h2>ilo</h2>    <li>Having studied this module, students:</li>    <li>Will have formed a detailed appreciation of the science related to a particular topic.</li>    <li>Will be able to assess and devise appropriate ways to communicate a difficult principle or concept.</li>    <li>Will have gained a broad understanding of many of the key aspects of public engagement.  </li> ",COMP3621,Durham_England,COMP3621: Public Engagement in Computer Science,SEP,,SEP; 18,SEP; 15; 17,08; SEP,18,,Annotation: This seems like the independent projects; User: Naaz Sibia; Timestamp: 7/5/2023 1:07:59 PM; Code(s): ; Trigger: 
COMP3637: Compiler Design,"<h2>title</h2>COMP3637: Compiler Design<h2>summary</h2>   <li>To understand how a compiler for a high-level programming language works.</li>   <li>Develop implementation skills for writing practical components of a compiler, including parsing, analysis, code generation, and optimisation.</li>   <li>Appreciate how the design of programming languages is affected by compiler considerations.</li>   <li>Implement a compiler for a high-level programming language.</li>  <h2>content</h2>   <li>Compiler frontend: Foundations of compiler theory and techniques for lexical analysis,  syntax analysis and semantic analysis.</li>   <li>Compiler backend: Intermediate representations (IRs), optimisation on IRs, machine  code generation and register allocation.</li>  <h2>ilo</h2>    <li>An understanding of the theory and practice of compiler design.</li> ",COMP3637,Durham_England,COMP3637: Compiler Design,FPL,,OS; FPL,AR; 10,SF,FPL,FPL,
COMP3667: REINFORCEMENT LEARNING,"<h2>title</h2>COMP3667: REINFORCEMENT LEARNING<h2>summary</h2>   <li>To understand computational models of learning in dynamic environments.</li>   <li>Learning how to plan and design agents with intelligent behaviour, taking actions to control the environment and maximise cumulative future rewards. </li>  <h2>content</h2>   <li>Introduction to reinforcement learning.</li>   <li>Markov decision processes and planning by dynamic programming.</li>   <li>Model free prediction and control.</li>   <li>Value-based and policy-based reinforcement learning.</li>   <li>Scaling up reinforcement learning approaches with deep learning.</li>   <li>Integrating learning and planning, and balancing exploration/exploitation.</li>  <h2>ilo</h2>    <li>On completion of the module, students will be able to demonstrate: </li>    <li>an understanding of the key features of reinforcement learning and differences with non-interactive learning.</li>    <li>an understanding of state-of-the-art reinforcement learning algorithms. </li>    <li>an understanding of the issues faced in scaling reinforcement learning approaches using deep learning. </li> ",COMP3667,Durham_England,COMP3667: REINFORCEMENT LEARNING,AI,,AI,AI; 10,22; AL,AI,AI,
