Title,UnitId,[M] elective: ,[M] institution: ,[M] title: ,"[C] Altin, Rukiye (rukiye)","[C] Bradley, Steven","[C] Lennon, Ruth","[C] McNeill, Fiona","[C] Minguillón, Julià (Julià Minguillón)","[C] Sibia, Naaz (Naaz Sibia)",Annotations
Postgraduate Course: Computer Graphics (Level 11) (INFR11021),,cxinfr11220,Edinburgh_Scotland,Postgraduate Course: Computer Graphics (Level 11) (INFR11021),GIT,GIT; MSF,GIT,GIT,GIT,GIT,Annotation: 11220 or 11021? repeated?; User: Julià Minguillón; Timestamp: 8/29/2023 5:53:37 AM; Code(s): ; Trigger: 
Undergraduate Course: Introduction to Modern Cryptography (INFR11131),,cxinfr11221,Edinburgh_Scotland,Undergraduate Course: Introduction to Modern Cryptography (INFR11131),SEC,SEC; AL,SEC,SEC,SEC,SEC,
Postgraduate Course: Introduction to Quantum Computing (INFR11099),,cxinfr11222,Edinburgh_Scotland,Postgraduate Course: Introduction to Quantum Computing (INFR11099),09; AR,AR; MSF,AI,MSF; SPD,AL; 07,AR,
Undergraduate Course: Machine Learning Practical (INFR11132),,cxinfr11223,Edinburgh_Scotland,Undergraduate Course: Machine Learning Practical (INFR11132),AI,AI,AL,AI,AI,AI,
Undergraduate Course: Machine Learning Theory (INFR11202),,cxinfr11224,Edinburgh_Scotland,Undergraduate Course: Machine Learning Theory (INFR11202),AI; 09,AL; AI,AL,AI,AI,AI,
Postgraduate Course: Parallel Programming Languages and Systems (Level 11) (INFR11023),,cxinfr11226,Edinburgh_Scotland,Postgraduate Course: Parallel Programming Languages and Systems (Level 11) (INFR11023),PDC; FPL,PDC,PDC,FPL; PDC,PDC,PDC,
Undergraduate Course: Quantum Cyber Security (INFR11187),,cxinfr11227,Edinburgh_Scotland,Undergraduate Course: Quantum Cyber Security (INFR11187),SEC; 07,AR; SEC,SEC; AL,MSF; SEC,SEC; AL,AR,
Undergraduate Course: Security Engineering (INFR11208),,cxinfr11228,Edinburgh_Scotland,Undergraduate Course: Security Engineering (INFR11208),SEC,SEC,SEC,SEC,SEC,SEC,
Undergraduate Course: Text Technologies for Data Science (INFR11145),,cxinfr11229,Edinburgh_Scotland,Undergraduate Course: Text Technologies for Data Science (INFR11145),DM,AI,DM,AI; DM,FPL; AL,AI,
Postgraduate Course: Probabilistic Modelling and Reasoning (INFR11134),,cxinfr11235,Edinburgh_Scotland,Postgraduate Course: Probabilistic Modelling and Reasoning (INFR11134),MSF; AI,MSF,MSF; AI,MSF; AI,AI; 09,MSF,
Undergraduate Course: Blockchains and Distributed Ledgers (INFR11144),,cxinfr11238,Edinburgh_Scotland,Undergraduate Course: Blockchains and Distributed Ledgers (INFR11144),SEC,AL; SEC,SEC,SEC,AL; SEC,SEC,
Undergraduate Course: Principles and Design of IoT Systems (INFR11150),,cxinfr11239,Edinburgh_Scotland,Undergraduate Course: Principles and Design of IoT Systems (INFR11150),SPD,NC; SPD,SPD,SPD; NC,SPD,AI,
Postgraduate Course: Automatic Speech Recognition (INFR11033),,cxinfr11219,Edinburgh_Scotland,Postgraduate Course: Automatic Speech Recognition (INFR11033),MSF; AI,AI; MSF,AL,AI,AI,AI; 19,
"Undergraduate Course: Natural Language Understanding, Generation, and Machine Translation (INFR11157)",,cxinfr11225,Edinburgh_Scotland,"Undergraduate Course: Natural Language Understanding, Generation, and Machine Translation (INFR11157)",AL; AI,AI,AL,AI,AI,AI; 19,
Undergraduate Course: Automated Reasoning (INFR09042),,cxinfr09042,Edinburgh_Scotland,Undergraduate Course: Automated Reasoning (INFR09042),AL,FPL; MSF,AL,AI,AI,AL; MSF,
Undergraduate Course: Introductory Applied Machine Learning (INFR10069),,cxinfr10069,Edinburgh_Scotland,Undergraduate Course: Introductory Applied Machine Learning (INFR10069),AI,AI,AI; AL,AI,AI,AI,
Postgraduate Course: Computer Graphics (Level 11) (INFR11021),,cxinfr11021,Edinburgh_Scotland,Postgraduate Course: Computer Graphics (Level 11) (INFR11021),GIT,GIT,GIT,GIT,GIT,GIT,
Postgraduate Course: Robotics: Science and Systems (INFR11092),,cxinfr11092,Edinburgh_Scotland,Postgraduate Course: Robotics: Science and Systems (INFR11092),AR; SPD,SPD,SPD,AI,AI; 10,AR,
