institution,elective,coding
Durham_England,COMP3467,AR
Uppsala_Sweden,1DL301,DM
Uppsala_Sweden,1DL311,FPL
Uppsala_Sweden,1DT052,NC
Uppsala_Sweden,1TD403,AL;9
Uppsala_Sweden,1DL231,AL
Uppsala_Sweden,1DL321,FPL
Uppsala_Sweden,1DT072,SEC
Uppsala_Sweden,1DL481,AL
Uppsala_Sweden,1MD001,HCI
Uppsala_Sweden,1TD169,SPD
Uppsala_Sweden,1TD388,GIT
Uppsala_Sweden,1TD062,PDC
Uppsala_Sweden,1DL034,AI
Uppsala_Sweden,1MD004,SEP
Uppsala_Sweden,1DT075,SEC
Uppsala_Sweden,1DL550,PDC
Uppsala_Sweden,1DL251,SE;SF
Uppsala_Sweden,1MD300,AI;HCI
