Title,Text,[M] elective: ,[M] institution: ,[M] title: ,"[C] Altin, Rukiye (rukiye)","[C] Bradley, Steven","[C] McNeill, Fiona","[C] Minguillón, Julià (Julià Minguillón)","[C] Parker, Miranda","[C] Peltsverger, Svetlana"
COMP3477: ALGORITHMIC GAME THEORY,"<h2>title</h2>COMP3477: ALGORITHMIC GAME THEORY<h2>summary</h2>   <li> The aim of the module is to introduce the student to the notion of a game, relevant concepts, and other basic notions and tools of game theory, as well as the main applications where such concepts are used and applied. </li>  <h2>content</h2>   <li>Introduction to Game Theory: what is a game? Strategy, preferences, payoffs. </li>   <li>Bimatrix games: strategies and payoffs; Nash equilibria.  </li>   <li>Extensive games with Perfect Information.  </li>   <li>Mathematical and algorithmic foundations of market equilibria.  </li>   <li>Routing Games on Networks; Congestion Games.  </li>   <li>Mechanism design and Combinatorial Auctions.  </li>  <h2>ilo</h2>    <li>On completion of the module, students will be able to demonstrate: </li>    <li>An understanding of key game theoretic notions and ideas, and their connections to computer science and economics. </li>    <li>An understanding of the impact of game theory and mechanism design on contemporary applications.  </li> ",COMP3477,Durham_England,COMP3477: ALGORITHMIC GAME THEORY,GIT,AL; MSF; 15,AL; 04,AL; MSF; 13; 15,AL; 09,MSF; AL
COMP3487: BIOINFORMATICS,"<h2>title</h2>COMP3487: BIOINFORMATICS<h2>summary</h2>   <li>To introduce students to applications of Computer Science in Biology.</li>   <li>To introduce students to some important Statistical methods and algorithms.</li>  <h2>content</h2>   <li>Dynamic programming algorithms for sequence alignment.</li>   <li>Efficient heuristic algorithms for sequence alignment.</li>   <li>Markov Chains and Hidden Markov Models (HMM). </li>   <li>Expectation-Maximisation algorithm with an application to parameter-estimation in HMM. </li>   <li>Phylogenetic Trees as a model of Evolution.  </li>   <li>Maximum parsimony and character-based techniques for tree reconstruction.  </li>   <li>Distance-based tree reconstruction via neighbour-joining techniques.  </li>  <h2>ilo</h2>    <li>On completion of the module, students will be able to demonstrate: </li>    <li>an understanding of the basic computational problems in Biology. </li>    <li>an understanding of some fundamental statistical techniques.  </li>    <li>an understanding of basic tree-reconstruction algorithms.  </li> ",COMP3487,Durham_England,COMP3487: BIOINFORMATICS,AI; MSF,AL; MSF; 03,03; MSF,AI; MSF; 03,03; AL,AL; MSF; 03
COMP3517: COMPUTATIONAL MODELLING IN THE HUMANITIES AND SOCIAL SCIENCES,"<h2>title</h2>COMP3517: COMPUTATIONAL MODELLING IN THE HUMANITIES AND SOCIAL SCIENCES<h2>summary</h2>   <li>To enable students to understand and critically evaluate the application of computational modelling&nbsp;to problems in the humanities and social sciences.</li>   <li>To introduce students to algorithms and approaches relevant to the modelling of humanities and social science data.</li>  <h2>content</h2>   <li>Computational models of text and language</li>   <li>Text and data mining</li>   <li>Critical evaluation of computational models</li>  <h2>ilo</h2>    <li>On completion of the module, students will be able to demonstrate: </li>    <li>an understanding of how computational modelling can be applied to humanities and social science research</li>    <li>an understanding of computational approaches to modelling text</li>    <li>an understanding of data mining techniques.</li> ",COMP3517,Durham_England,COMP3517: COMPUTATIONAL MODELLING IN THE HUMANITIES AND SOCIAL SCIENCES,DM; 15,AI; 14; 15,14; 15; DM,AI; 14; 15,14; AL,AL; MSF; 15
COMP3527: COMPUTER VISION,"<h2>title</h2>COMP3527: COMPUTER VISION<h2>summary</h2>   <li>To enable students to critically evaluate the development of computer vision solutions across existing and emerging technology areas. </li>   <li>To enable students to understand and evaluate general image and video understanding themes across relevant application areas, focusing on relevant case studies.</li>   <li>To understand and apply the fundamental principles of applied computer vision solutions to a range of real world problems.</li>  <h2>content</h2>   <li>Themes will be chosen from contemporary areas of computer vision including the following:</li>   <li>edge features, contours and shape fitting. </li>   <li>feature points for object detection and classification. </li>   <li>stereo vision (3D point clouds and depth images). </li>   <li>object classification using distributions of gradient information. </li>   <li>background modelling and object tracking. </li>   <li>end-to-end image classification and real-time object detection via deep machine learning. </li>   <li>image and video mosaicking and 3D scene reconstruction. </li>   <li>visual odometry for autonomous navigation. </li>  <h2>ilo</h2>    <li>On completion of this module, students will be able to demonstrate an in-depth knowledge of the contemporary computer vision topics presented,     how these are applicable to relevant industrial problems and have future potential for emerging needs in both a research and industrial setting.    </li> ",COMP3527,Durham_England,COMP3527: COMPUTER VISION,GIT,AI,AI,GIT; AI,AI,AI; GIT
COMP3547: DEEP LEARNING,"<h2>title</h2>COMP3547: DEEP LEARNING<h2>summary</h2>   <li>To enable students to be able to approach complex ill-defined problems that require deep layers of learning, and understand how this relates to learning in nature.</li>   <li>To equip students with the ability to use modern deep learning libraries in order to effectively design, train, and test neural networks in different applications.</li>  <h2>content</h2>   <li>Foundations of deep learning and learning in nature</li>   <li>PyTorch programming</li>   <li>Designing deep neural network architectures</li>   <li>Adversarial models</li>   <li>Energy-based models and Flow models</li>   <li>Sequential models and Transformers</li>   <li>Implicit representations</li>   <li>Generalisation theory</li>   <li>Meta and manifold learning</li>  <h2>ilo</h2>    <li>On completion of the module, students will be able to demonstrate:</li>    <li>an understanding of state-of-the-art deep neural network architectures and neural network architecture components.</li>    <li>an understanding of statistical learning theory with deep learning approaches.</li>    <li>an understanding of the algorithms and approaches to design and evaluate deep neural networks.</li> ",COMP3547,Durham_England,COMP3547: DEEP LEARNING,AI,AI,AI; SDF,AI; SPD,AI,AI
COMP3557: DESIGN OF ALGORITHMS AND DATA STRUCTURES,"<h2>title</h2>COMP3557: DESIGN OF ALGORITHMS AND DATA STRUCTURES<h2>summary</h2>   <li>The aim of the module is to equip students with the ability to design and analyse efficient algorithms and data structures.</li>  <h2>content</h2>   <li> To be chosen from the following: </li>   <li> hashing (universal, perfect, Cuckoo, Bloom filters) </li>   <li> treaps </li>   <li> skip lists </li>   <li> splay trees </li>   <li> basic models and algorithms for sub-linear space (streaming) </li>   <li> basic models and algorithms for sub-linear time (e.g., property testing) </li>   <li> basic PRAM (shared-memory parallel) algorithms and techniques </li>  <h2>ilo</h2>    <li> On completion of the module, students will be able to demonstrate: </li>    <li> a knowledge about various important problem solving paradigms in the broad area of algorithmic design. </li>    <li> an understanding of how to measure, transfer and handle data </li>    <li> an ability to apply techniques and methods from the relevant topics to tackle fundamental algorithmic problems; </li>    <li> an ability to conduct review and self-study to further their knowledge beyond the taught material. </li> ",COMP3557,Durham_England,COMP3557: DESIGN OF ALGORITHMS AND DATA STRUCTURES,AL,AL,AL,AL,AL,AL
COMP3577: PARALLEL SCIENTIFIC COMPUTING I,"<h2>title</h2>COMP3577: PARALLEL SCIENTIFIC COMPUTING I<h2>summary</h2>   <li>Introduce scientific computing techniques for the numerical solution of problems in science and engineering</li>   <li>Introduce and familiarise students with parallel programming approaches in scientific computing</li>  <h2>content</h2>   <li>Fundamentals of numerical algorithms for ordinary differential equations.</li>   <li>Explicit time discretion techniques for ordinary differential equations.</li>   <li>Notions of error and stability analysis.</li>   <li>Approaches to programming for multiple processing units using shared memory.</li>   <li>Data parallel programming paradigms</li>  <h2>ilo</h2>    <li>On completion of the module, students will be able to demonstrate: </li>    <li>an understanding of typical approaches to the numerical solution of problems in science and engineering.</li>    <li>a knowledge and appreciation of some of the research challenges in scientific computing </li>    <li>understanding of basic parallelisation strategies and when to apply them</li> ",COMP3577,Durham_England,COMP3577: PARALLEL SCIENTIFIC COMPUTING I,PDC,PDC; 07; 10,PDC; MSF,PDC; 09,08; PDC; AL,PDC; MSF
COMP3647: Human-AI Interaction Design,"<h2>title</h2>COMP3647: Human-AI Interaction Design<h2>summary</h2>   <li>To discuss how the design of Human-AI interactions may affect user experience.</li>   <li>To introduce methods and tools for designing interactive AI systems.</li>   <li>To develop ethical and societal principles in the design of interactive AI systems.</li>  <h2>content</h2>   <li>AI and User Experience</li>   <li>Human-Centred AI Design</li>   <li>Human-AI Communication Channels</li>   <li>Inclusive Design and Digital Accessibility</li>   <li>Explainable AI and Building Trust</li>   <li>Privacy and Security Considerations</li>   <li>Affective Design for Interactive AI</li>   <li>Psychophysical Methods</li>   <li>Ambient Intelligence</li>   <li>Applications (e.g. gaming, healthcare, education, finance, automotive vehicles, etc.)  </li>  <h2>ilo</h2>    <li>An understanding of impacts of interactive AI system design on user experience.</li>    <li>An understanding of concepts and principles of Human-AI interaction design. </li> ",COMP3647,Durham_England,COMP3647: Human-AI Interaction Design,AI; HCI,AI; HCI,AI; HCI,HCI,HCI; AI,AI; HCI
COMP3657: Security Engineering,"<h2>title</h2>COMP3657: Security Engineering<h2>summary</h2>   <li>To understand security protocol design and analysis, security architectures, cryptographic protocols and security considerations in various environments such as software, web and hardware infrastructures.</li>  <h2>content</h2>   <li>Secure systems and architecture: principles of architecting a secure system.</li>   <li>System evaluation and assurance: threat models and ways to distinguish various attacks.</li>   <li>Cryptographic protocols: the role of cryptographic primitives in secure systems.</li>   <li>Security protocols: mechanisms that enforce policy using cryptography and structured human interaction together with verification and validation processes.</li>   <li>Secure communications: principles of secure networks together with mechanisms to maintain secrecy, integrity and authenticity in connected systems.</li>   <li>Software-based security: principles of secure coding, the origin of vulnerabilities, reverse-engineering and code obfuscation.</li>   <li>Hardware-based security: mechanisms to protect physical components in different platforms such as mobile, PC or IoT.  </li>  <h2>ilo</h2>    <li>An understanding of cryptographic primitives.</li>    <li>A basic understanding of various communication platforms (such as network, IoT, web, etc.).</li>    <li>An understanding of operating system principles.</li>    <li>An understanding of programming languages and compiler design.</li> ",COMP3657,Durham_England,COMP3657: Security Engineering,SEC; NC,SEC,SEC,SEC; SF,SEC,SEC
COMP4097: ADVANCED COMPUTER GRAPHICS AND VISUALISATION,"<h2>title</h2>COMP4097: ADVANCED COMPUTER GRAPHICS AND VISUALISATION<h2>summary</h2>   <li>The module focuses on modern, advanced techniques for realistic image synthesis and visualisation, presenting the theoretical background and practical, established algorithms for offline and real-time 3D graphics.</li>  <h2>content</h2>   <li>Introduction: basic image generation.</li>   <li>Physically-based shading.</li>   <li>Deferred shading, screen space methods.</li>   <li>Global illumination methods, BRDFs, ray tracing.</li>   <li>Path tracing, Monte Carlo integration, acceleration techniques, radiosity.</li>   <li>Tone mapping.</li>   <li>Shadows.</li>   <li>Procedural content generation and noise generation.</li>   <li>Animation.</li>   <li>Visualisation definitions and rationale, information visualisation, scientific visualisation. </li>   <li>Coordinate systems and axes, colour scales, etc. </li>   <li>Visualisation pipeline and visualisation architectures.</li>   <li>Visualisation approaches to scalar, vector and volume data. </li>   <li>Multi-scale, multimodal, multidimensional data, uncertain data.</li>   <li>Data types, signal filtering, major software platforms.</li>   <li>Perception. </li>  <h2>ilo</h2>    <li>On completion of this module, students will be able to demonstrate a systematic understanding of advanced computer graphics and visualisation algorithms and techniques, and a critical awareness of how they are applicable to both current and emerging needs within the industrial and research environment. </li> ",COMP4097,Durham_England,COMP4097: ADVANCED COMPUTER GRAPHICS AND VISUALISATION,GIT,GIT,GIT,GIT,GIT,GIT
