elective,institution,AL
CS4144,VirginiaTech_USA,1
COMP3507,Durham_England,1
COMP3557,Durham_England,1
COMP4087,Durham_England,1
COMPSCI4003,Glasgow_Scotland,1
CS4104,VirginiaTech_USA,1
CS4134,VirginiaTech_USA,1
cxinfr10052,Edinburgh_UK,1
cxinfr11201,Edinburgh_UK,1
COMP3477,Durham_England,1
COMP3677,Durham_England,1
COMP4127,Durham_England,1
Inf-CombWords,CAU_Germany,1
cxinfr11020,Edinburgh_UK,1
cxinfr11161,Edinburgh_UK,1
cxinfr11218,Edinburgh_UK,1
inf-EAeS,CAU_Germany,1
COMP4197,Durham_England,1
CS4124,VirginiaTech_USA,1
CS4884,VirginiaTech_USA,1
IT4603,Kennesaw_USA,0
inf-CI,CAU_Germany,1
1DL231,Uppsala_Sweden,1
5.579,UOC_Spain,1
COMP3487,Durham_England,0
COMP4117,Durham_England,1
COMP4137,Durham_England,1
COMP4187,Durham_England,0
COMPSCI4072,Glasgow_Scotland,0
CS3824,VirginiaTech_USA,0
CS4114,VirginiaTech_USA,1
CSC338H5,UofT_Canada,0
CSC375H5,UofT_Canada,1
Inf-DigSig,CAU_Germany,0
Inf-NumProg,CAU_Germany,1
cxinfr10059,Edinburgh_UK,0
cxinfr11088,Edinburgh_UK,1
cxinfr11099,Edinburgh_UK,1
cxinfr11144,Edinburgh_UK,1
cxinfr11160,Edinburgh_UK,0
inf-EnlOpt,CAU_Germany,1
1DT075,Uppsala_Sweden,0
22.4,UOC_Spain,0
COMP3517,Durham_England,1
CS3626,Kennesaw_USA,0
CS4265,Kennesaw_USA,1
Inf-GraphDraw,CAU_Germany,0
cxinfr11124,Edinburgh_UK,0
cxinfr11157,Edinburgh_UK,1
inf-TM,CAU_Germany,0
5.583,UOC_Spain,0
5.586,UOC_Spain,0
5.601,UOC_Spain,0
5.613,UOC_Spain,0
COMP3491,Durham_England,0
COMP3567,Durham_England,0
COMP3577,Durham_England,0
COMP3607,Durham_England,0
COMP3667,Durham_England,0
CS4412,Kennesaw_USA,0
CS4742,Kennesaw_USA,1
SWE4743,Kennesaw_USA,0
cxinfr10054,Edinburgh_UK,0
cxinfr10086,Edinburgh_UK,0
cxinfr10087,Edinburgh_UK,0
cxinfr11033,Edinburgh_UK,0
cxinfr11130,Edinburgh_UK,0
cxinfr11131,Edinburgh_UK,0
cxinfr11134,Edinburgh_UK,0
cxinfr11145,Edinburgh_UK,1
cxinfr11187,Edinburgh_UK,0
cxinfr11209,Edinburgh_UK,0
cxinfr11213,Edinburgh_UK,0
