elective,institution,DM
inf-EAeS,CAU_Germany,1
inf-TM,CAU_Germany,0
WInf-eBeM,CAU_Germany,0
COMP3491,Durham_England,0
COMP3517,Durham_England,0
COMP4157,Durham_England,0
COMP4177,Durham_England,0
cxinfr08033,Edinburgh_UK,0
cxinfr10075,Edinburgh_UK,0
cxinfr10080,Edinburgh_UK,1
cxinfr10083,Edinburgh_UK,0
cxinfr10084,Edinburgh_UK,0
cxinfr11088,Edinburgh_UK,0
cxinfr11124,Edinburgh_UK,0
cxinfr11145,Edinburgh_UK,1
cxinfr11199,Edinburgh_UK,1
cxinfr11215,Edinburgh_UK,1
cxinfr11217,Edinburgh_UK,1
COMPSCI4013,Glasgow_Scotland,1
COMPSCI4064,Glasgow_Scotland,1
COMPSCI4069,Glasgow_Scotland,0
COMPSCI4074,Glasgow_Scotland,0
COMPSCI4077,Glasgow_Scotland,0
COMPSCI4080,Glasgow_Scotland,0
COMPSCI4087,Glasgow_Scotland,0
CS4265,Kennesaw_USA,0
CS4412,Kennesaw_USA,0
CS4422,Kennesaw_USA,0
CS4524,Kennesaw_USA,0
CYBR3153,Kennesaw_USA,1
IT3503,Kennesaw_USA,0
IT3703,Kennesaw_USA,1
IT4153,Kennesaw_USA,1
IT4513,Kennesaw_USA,0
IT4733,Kennesaw_USA,1
IT4773,Kennesaw_USA,0
IT4793,Kennesaw_USA,1
IT4853,Kennesaw_USA,0
5.579,UOC_Spain,0
5.584,UOC_Spain,0
5.596,UOC_Spain,1
5.597,UOC_Spain,0
5.6,UOC_Spain,1
5.604,UOC_Spain,0
5.607,UOC_Spain,1
5.613,UOC_Spain,0
CS4104,VirginiaTech_USA,0
CS4504,VirginiaTech_USA,0
CS4604,VirginiaTech_USA,1
CS4624,VirginiaTech_USA,0
CS4884,VirginiaTech_USA,0
