elective,institution,FPL
cxinfr10061,Edinburgh_UK,1
cxinfr10065,Edinburgh_UK,1
cxinfr11114,Edinburgh_UK,1
COMPSCI4016,Glasgow_Scotland,1
COMPSCI4021,Glasgow_Scotland,1
5.58,UOC_Spain,1
CSC324H5,UofT_Canada,1
CSC488H5,UofT_Canada,1
COMP3637,Durham_England,1
COMPSCI4089,Glasgow_Scotland,1
1DL311,Uppsala_Sweden,1
cxinfr11023,Edinburgh_UK,1
COMPSCI4072,Glasgow_Scotland,1
CS4114,VirginiaTech_USA,1
CS4124,VirginiaTech_USA,1
cxinfr11129,Edinburgh_UK,1
CS4720,Kennesaw_USA,0
SWE4743,Kennesaw_USA,1
CSC309H5,UofT_Canada,0
1TD062,Uppsala_Sweden,1
inf-AuLearn,CAU_Germany,0
Inf-NumProg,CAU_Germany,0
cxinfr10052,Edinburgh_UK,0
cxinfr10057,Edinburgh_UK,0
cxinfr10059,Edinburgh_UK,0
cxinfr10078,Edinburgh_UK,0
cxinfr11088,Edinburgh_UK,0
cxinfr11098,Edinburgh_UK,1
cxinfr11145,Edinburgh_UK,0
COMPSCI4031,Glasgow_Scotland,0
COMPSCI4074,Glasgow_Scotland,0
COMPSCI4076,Glasgow_Scotland,0
CS4277,Kennesaw_USA,0
CS4522,Kennesaw_USA,1
CS4742,Kennesaw_USA,0
CSE1300,Kennesaw_USA,0
5.579,UOC_Spain,1
5.588,UOC_Spain,0
5.613,UOC_Spain,0
22.4,UOC_Spain,0
CSC367H5,UofT_Canada,1
CS4134,VirginiaTech_USA,0
