elective,institution,SEC
CS4264,VirginiaTech_USA,1
5.574,UOC_Spain,1
COMP3491,Durham_England,1
COMP3657,Durham_England,1
CS3626,Kennesaw_USA,1
CS4612,Kennesaw_USA,1
CS4626,Kennesaw_USA,1
CSC347H5,UofT_Canada,1
CYBR4833,Kennesaw_USA,1
CYBR4843,Kennesaw_USA,1
IT4833,Kennesaw_USA,1
IT4843,Kennesaw_USA,1
cxinfr11098,Edinburgh_UK,1
cxinfr11131,Edinburgh_UK,1
cxinfr11187,Edinburgh_UK,1
cxinfr11240,Edinburgh_UK,1
5.601,UOC_Spain,1
CYBR4883,Kennesaw_USA,1
IT4533,Kennesaw_USA,1
IT4863,Kennesaw_USA,1
IT4883,Kennesaw_USA,1
IT4893,Kennesaw_USA,1
cxinfr11158,Edinburgh_UK,1
cxinfr11208,Edinburgh_UK,1
COMP4137,Durham_England,1
CYBR4350,Kennesaw_USA,1
CYBR4853,Kennesaw_USA,1
IT4603,Kennesaw_USA,1
IT4853,Kennesaw_USA,1
1DT075,Uppsala_Sweden,1
5.604,UOC_Spain,1
CYBR4893,Kennesaw_USA,1
cxinfr11144,Edinburgh_UK,1
5.576,UOC_Spain,0
CS4284,VirginiaTech_USA,0
5.591,UOC_Spain,0
5.599,UOC_Spain,0
5.672,UOC_Spain,0
COMPSCI4012,Glasgow_Scotland,0
CS4254,VirginiaTech_USA,0
CYBR4333,Kennesaw_USA,0
IT4793,Kennesaw_USA,0
Inf-NNDL,CAU_Germany,0
cxinfr08033,Edinburgh_UK,0
cxinfr10074,Edinburgh_UK,0
cxinfr11129,Edinburgh_UK,0
cxinfr11132,Edinburgh_UK,0
inf-IoT,CAU_Germany,0
