elective,institution,SPD
cxinfr10085,Edinburgh_UK,1
cxinfr11213,Edinburgh_UK,1
CGDD2012L,Kennesaw_USA,0
CGDD4603,Kennesaw_USA,0
COMP3567,Durham_England,0
COMPSCI4076,Glasgow_Scotland,0
CS3714,VirginiaTech_USA,1
CS3754,VirginiaTech_USA,0
CS4322,Kennesaw_USA,1
CS4720,Kennesaw_USA,1
CSC309H5,UofT_Canada,0
CSC376H5,UofT_Canada,1
CSE3203,Kennesaw_USA,1
CYBR4893,Kennesaw_USA,1
IT4213,Kennesaw_USA,1
IT4403,Kennesaw_USA,1
IT4893,Kennesaw_USA,1
cxinfr11150,Edinburgh_UK,1
5.598,UOC_Spain,0
CS4524,Kennesaw_USA,1
CS4624,VirginiaTech_USA,0
CSC375H5,UofT_Canada,0
IT4123,Kennesaw_USA,0
IT4203,Kennesaw_USA,0
IT4523,Kennesaw_USA,0
IT4863,Kennesaw_USA,0
SWE3683,Kennesaw_USA,1
inf-IoT,CAU_Germany,0
5.594,UOC_Spain,1
5.597,UOC_Spain,0
5.599,UOC_Spain,0
5.604,UOC_Spain,0
COMPSCI4066,Glasgow_Scotland,0
COMPSCI4068,Glasgow_Scotland,0
CS4644,VirginiaTech_USA,0
IT4793,Kennesaw_USA,0
SWE4633,Kennesaw_USA,1
SWE4803,Kennesaw_USA,0
WInf-eBeM,CAU_Germany,0
cxinfr11088,Edinburgh_UK,0
5.581,UOC_Spain,0
5.595,UOC_Spain,0
COMP3547,Durham_England,0
COMP3607,Durham_England,0
COMP3617,Durham_England,0
COMPSCI4031,Glasgow_Scotland,0
COMPSCI4075,Glasgow_Scotland,0
COMPSCI4077,Glasgow_Scotland,0
CS4134,VirginiaTech_USA,0
CS4254,VirginiaTech_USA,0
CS4277,Kennesaw_USA,0
CYBR3223,Kennesaw_USA,0
IT3703,Kennesaw_USA,0
IT4513,Kennesaw_USA,0
IT4533,Kennesaw_USA,0
IT4733,Kennesaw_USA,0
cxinfr11077,Edinburgh_UK,0
