elective,Women3_x,Women3_x,Men3_x,Men3_x,Women3_y,Women3_y,Men3_y,Men3_y
1DL034,1306368.0,32508864.0,4541184.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
1DL231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1DL311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1DT075,684288.0,32508864.0,2550528.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
1TD062,1306368.0,32508864.0,4541184.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
1TD388,746496.0,32508864.0,2239488.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
22.4,870912.0,10836288.0,2550528.0,49674816.0,10836288.0,10836288.0,49674816.0,49674816.0
5.574,622080.0,32508864.0,8024832.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
5.576,746496.0,32508864.0,6407424.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
5.577,248832.0,32508864.0,2985984.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
5.578,311040.0,32508864.0,2426112.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
5.579,622080.0,32508864.0,6158592.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
5.58,559872.0,32508864.0,5349888.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
5.581,1057536.0,32508864.0,7153920.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
5.583,933120.0,32508864.0,7464960.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
5.584,1306368.0,32508864.0,13125888.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
5.586,1617408.0,32508864.0,12441600.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
5.587,1057536.0,32508864.0,8646912.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
5.588,684288.0,32508864.0,4976640.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
5.591,373248.0,32508864.0,4105728.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
5.592,248832.0,32508864.0,2052864.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
5.593,1430784.0,32508864.0,12192768.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
5.594,186624.0,32508864.0,3545856.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
5.595,746496.0,32508864.0,6842880.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
5.596,1492992.0,32508864.0,11384064.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
5.597,1306368.0,32508864.0,13125888.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
5.598,808704.0,32508864.0,7464960.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
5.599,933120.0,32508864.0,9020160.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
5.6,808704.0,32508864.0,7340544.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
5.601,746496.0,32508864.0,5785344.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
5.604,1181952.0,32508864.0,11819520.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
5.607,933120.0,32508864.0,8522496.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
5.613,1990656.0,32508864.0,14121216.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
5.614,7589376.0,32508864.0,47775744.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
5.672,248832.0,32508864.0,1492992.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
CGDD2012L,1057536.0,32508864.0,5909760.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
CGDD4113,311040.0,32508864.0,1555200.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
CGDD4603,186624.0,32508864.0,1057536.0,149024448.0,32508864.0,32508864.0,149024448.0,149024448.0
COMP3421,14406.0,126567.0,0.0,627690.0,126567.0,126567.0,627690.0,627690.0
COMP3477,115248.0,379701.0,525819.0,1883070.0,379701.0,379701.0,1883070.0,1883070.0
COMP3487,108045.0,379701.0,352947.0,1883070.0,379701.0,379701.0,1883070.0,1883070.0
COMP3491,93639.0,379701.0,424977.0,1883070.0,379701.0,379701.0,1883070.0,1883070.0
COMP3507,7203.0,253134.0,115248.0,1255380.0,253134.0,253134.0,1255380.0,1255380.0
COMP3517,129654.0,379701.0,338541.0,1883070.0,379701.0,379701.0,1883070.0,1883070.0
COMP3527,93639.0,379701.0,446586.0,1883070.0,379701.0,379701.0,1883070.0,1883070.0
COMP3547,165669.0,379701.0,705894.0,1883070.0,379701.0,379701.0,1883070.0,1883070.0
COMP3557,64827.0,379701.0,302526.0,1883070.0,379701.0,379701.0,1883070.0,1883070.0
COMP3567,72030.0,379701.0,403368.0,1883070.0,379701.0,379701.0,1883070.0,1883070.0
COMP3577,72030.0,379701.0,331338.0,1883070.0,379701.0,379701.0,1883070.0,1883070.0
COMP3587,43218.0,253134.0,86436.0,1255380.0,253134.0,253134.0,1255380.0,1255380.0
COMP3607,129654.0,379701.0,540225.0,1883070.0,379701.0,379701.0,1883070.0,1883070.0
COMP3617,72030.0,379701.0,410571.0,1883070.0,379701.0,379701.0,1883070.0,1883070.0
COMP3621,14406.0,253134.0,21609.0,1255380.0,253134.0,253134.0,1255380.0,1255380.0
COMP3637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COMP3647,72030.0,253134.0,187278.0,1255380.0,253134.0,253134.0,1255380.0,1255380.0
COMP3657,79233.0,253134.0,230496.0,1255380.0,253134.0,253134.0,1255380.0,1255380.0
COMP3667,50421.0,126567.0,201684.0,627690.0,126567.0,126567.0,627690.0,627690.0
COMP3677,28812.0,126567.0,129654.0,627690.0,126567.0,126567.0,627690.0,627690.0
COMP4087,3888.0,36936.0,42768.0,225504.0,36936.0,36936.0,225504.0,225504.0
COMP4097,7776.0,36936.0,89424.0,225504.0,36936.0,36936.0,225504.0,225504.0
COMP4107,19440.0,36936.0,97200.0,225504.0,36936.0,36936.0,225504.0,225504.0
COMP4117,7776.0,24624.0,77760.0,150336.0,24624.0,24624.0,150336.0,150336.0
COMP4127,0.0,12312.0,15552.0,75168.0,12312.0,12312.0,75168.0,75168.0
COMP4137,15552.0,36936.0,116640.0,225504.0,36936.0,36936.0,225504.0,225504.0
COMP4157,15552.0,36936.0,69984.0,225504.0,36936.0,36936.0,225504.0,225504.0
COMP4167,23328.0,36936.0,139968.0,225504.0,36936.0,36936.0,225504.0,225504.0
COMP4177,19440.0,36936.0,116640.0,225504.0,36936.0,36936.0,225504.0,225504.0
COMP4187,0.0,36936.0,42768.0,225504.0,36936.0,36936.0,225504.0,225504.0
COMP4197,11664.0,36936.0,73872.0,225504.0,36936.0,36936.0,225504.0,225504.0
COMPSCI4003,3888.0,33048.0,11664.0,119070.0,33048.0,33048.0,119070.0,119070.0
