MCode,Cohort,AcademicYearStart,Women3,Men3,Cap
COMP3421,3,2022,6,0,10
COMP3477,3,2022,27,69,
COMP3477,3,2020,15,96,
COMP3477,3,2021,6,54,
COMP3487,3,2022,21,39,
COMP3487,3,2020,15,69,
COMP3487,3,2021,9,39,
COMP3491,3,2022,18,30,
COMP3491,3,2020,18,105,
COMP3491,3,2021,3,42,
COMP3507,3,2020,3,33,
COMP3507,3,2021,0,15,
COMP3517,3,2022,27,45,
COMP3517,3,2020,21,66,
COMP3517,3,2021,6,30,
COMP3527,3,2022,21,63,
COMP3527,3,2020,15,90,
COMP3527,3,2021,3,33,
COMP3547,3,2020,24,123,
COMP3547,3,2021,9,69,
COMP3547,3,2022,36,102,
COMP3557,3,2022,12,33,
COMP3557,3,2020,12,63,
COMP3557,3,2021,3,30,
COMP3567,3,2022,15,45,
COMP3567,3,2020,12,84,
COMP3567,3,2021,3,39,
COMP3577,3,2022,15,33,
COMP3577,3,2020,12,69,
COMP3577,3,2021,3,36,
COMP3587,3,2022,15,21,
COMP3587,3,2021,3,15,
COMP3607,3,2022,27,75,
COMP3607,3,2020,18,105,
COMP3607,3,2021,9,45,
COMP3617,3,2022,18,66,
COMP3617,3,2020,9,69,
COMP3617,3,2021,3,36,
COMP3621,3,2020,3,6,10
COMP3621,3,2021,3,3,10
COMP3647,3,2021,6,30,
COMP3647,3,2022,24,48,
COMP3657,3,2021,6,39,
COMP3657,3,2022,27,57,
COMP3667,3,2022,21,84,
COMP3677,3,2022,12,54,
COMP4087,4,2022,0,9,
COMP4087,4,2020,0,12,
COMP4087,4,2021,3,12,
COMP4097,4,2022,0,12,
COMP4097,4,2020,3,21,
COMP4097,4,2021,3,36,
COMP4107,4,2022,3,12,
COMP4107,4,2020,6,21,
COMP4107,4,2021,6,42,
COMP4117,4,2022,0,15,
COMP4117,4,2021,6,45,
COMP4127,4,2020,0,12,
COMP4137,4,2022,0,15,
COMP4137,4,2020,6,30,
COMP4137,4,2021,6,45,
COMP4157,4,2022,0,15,
COMP4157,4,2020,6,18,
COMP4157,4,2021,6,21,
COMP4167,4,2022,3,21,
COMP4167,4,2020,6,33,
COMP4167,4,2021,9,54,
COMP4177,4,2022,3,21,
COMP4177,4,2020,6,24,
COMP4177,4,2021,6,45,
COMP4187,4,2022,0,3,
COMP4187,4,2020,0,12,
COMP4187,4,2021,0,18,
COMP4197,4,2022,3,15,
COMP4197,4,2020,3,21,
COMP4197,4,2021,3,21,
