MCode,Cohort,AcademicYear,Women3,Men3,Cap
cxinfr09042,3/4/5/,2020,18,42,
cxinfr09042,3/4/5/,2021,3,9,
cxinfr10052,3/4/5/,2020,9,48,
cxinfr10052,3/4/5/,2021,6,21,
cxinfr10052,3/4/5/,2022,6,30,
cxinfr10054,3/4/5/,2021,18,21,
cxinfr10054,3/4/5/,2022,9,12,
cxinfr10057,3/4/5/,2020,39,87,
cxinfr10057,3/4/5/,2021,36,90,
cxinfr10057,3/4/5/,2022,30,81,
cxinfr10059,3/4/5/,2021,12,24,
cxinfr10059,3/4/5/,2022,3,9,
cxinfr10061,3/4/5/,2022,3,21,
cxinfr10064,3/4/5/,2021,24,48,100
cxinfr10064,3/4/5/,2022,21,63,100
cxinfr10065,3/4/5/,2021,9,54,
cxinfr10065,3/4/5/,2022,21,114,
cxinfr10069,3/4/5/,2020,54,159,
cxinfr10069,3/4/5/,2021,54,147,
cxinfr10074,3/4/5/,2020,36,126,
cxinfr10074,3/4/5/,2021,33,129,
cxinfr10074,3/4/5/,2022,45,132,
cxinfr10076,3/4/5/,2021,9,27,60
cxinfr10076,3/4/5/,2022,3,36,60
cxinfr10077,3/4/5/,2020,9,21,
cxinfr10077,3/4/5/,2021,6,15,
cxinfr10077,3/4/5/,2022,9,21,
cxinfr10078,3/4/5/,2021,48,96,
cxinfr10078,3/4/5/,2022,36,84,
cxinfr10079,3/4/5/,2020,33,96,
cxinfr10079,3/4/5/,2021,9,63,
cxinfr10079,3/4/5/,2022,39,105,
cxinfr10080,3/4/5/,2020,54,120,
cxinfr10080,3/4/5/,2021,39,87,
cxinfr10080,3/4/5/,2022,18,57,
cxinfr10085,3/4/5/,2022,12,60,
cxinfr10086,3/4/5/,2022,30,93,
cxinfr10087,3/4/5/,2022,0,9,
cxinfr11017,3/4/5/,2020,18,63,
cxinfr11017,3/4/5/,2021,24,42,
cxinfr11017,3/4/5/,2022,21,27,
cxinfr11020,3/4/5/,2020,9,54,
cxinfr11020,3/4/5/,2021,9,36,
cxinfr11021,3/4/5/,2021,9,33,
cxinfr11023,3/4/5/,2021,3,18,
cxinfr11033,3/4/5/,2020,3,9,
cxinfr11033,3/4/5/,2021,6,15,
cxinfr11088,3/4/5/,2021,12,45,
cxinfr11088,3/4/5/,2022,9,24,
cxinfr11092,3/4/5/,2020,3,6,
cxinfr11092,3/4/5/,2021,0,3,
cxinfr11098,3/4/5/,2021,9,15,
cxinfr11098,3/4/5/,2022,3,15,
cxinfr11099,3/4/5/,2020,3,27,
cxinfr11099,3/4/5/,2021,3,21,
cxinfr11114,3/4/5/,2022,3,24,
cxinfr11130,3/4/5/,2020,12,63,
cxinfr11130,3/4/5/,2021,15,51,
cxinfr11130,3/4/5/,2022,9,24,
cxinfr11131,3/4/5/,2020,6,24,
cxinfr11131,3/4/5/,2021,3,9,
cxinfr11132,3/4/5/,2020,12,72,
cxinfr11132,3/4/5/,2021,18,60,
cxinfr11134,3/4/5/,2021,3,3,
cxinfr11144,3/4/5/,2020,6,63,
cxinfr11144,3/4/5/,2021,9,42,
cxinfr11145,3/4/5/,2020,12,60,
cxinfr11145,3/4/5/,2021,21,66,
cxinfr11150,3/4/5/,2020,6,18,
cxinfr11150,3/4/5/,2021,6,21,
cxinfr11157,3/4/5/,2020,12,33,
cxinfr11157,3/4/5/,2021,3,12,
cxinfr11160,3/4/5/,2020,12,24,
cxinfr11160,3/4/5/,2021,15,39,
cxinfr11160,3/4/5/,2022,21,51,
cxinfr11161,3/4/5/,2020,9,51,
cxinfr11161,3/4/5/,2021,6,15,
cxinfr11161,3/4/5/,2022,3,24,
cxinfr11187,3/4/5/,2021,0,6,
cxinfr11199,3/4/5/,2020,9,45,
cxinfr11199,3/4/5/,2021,15,27,
cxinfr11201,3/4/5/,2022,0,3,
cxinfr11202,3/4/5/,2021,3,18,
cxinfr11208,3/4/5/,2021,12,18,
cxinfr11209,3/4/5/,2022,3,12,
cxinfr11213,3/4/5/,2022,3,15,44
cxinfr11217,3/4/5/,2022,9,30,
cxinfr11218,3/4/5/,2022,6,21,
cxinfr11219,3/4/5/,2022,9,15,
cxinfr11220,3/4/5/,2022,12,57,
cxinfr11221,3/4/5/,2022,6,9,
cxinfr11222,3/4/5/,2022,3,12,
cxinfr11223,3/4/5/,2022,18,66,
cxinfr11224,3/4/5/,2022,9,15,
cxinfr11225,3/4/5/,2022,9,21,
cxinfr11226,3/4/5/,2022,3,15,
cxinfr11227,3/4/5/,2022,3,6,
cxinfr11228,3/4/5/,2022,15,30,
cxinfr11229,3/4/5/,2022,6,42,
cxinfr11235,3/4/5/,2022,3,9,
cxinfr11238,3/4/5/,2022,18,75,
cxinfr11239,3/4/5/,2022,12,45,
