MCode,Cohort,AcademicYearStart,Women3,Men3,Cap
COMPSCI4003,H,2020,9,39,
COMPSCI4004,H,2020,27,84,
COMPSCI4007,H,2020,0,21,
COMPSCI4011,H,2020,15,81,
COMPSCI4012,H,2020,24,126,
COMPSCI4013,H,2020,45,144,
COMPSCI4016,H,2020,27,102,
COMPSCI4021,H,2020,15,120,
COMPSCI4023,H,2020,18,69,
COMPSCI4031,H,2020,0,6,
COMPSCI4061,H,2020,15,60,
COMPSCI4066,H,2020,12,36,
COMPSCI4068,H,2020,45,105,
COMPSCI4069,H,2020,6,18,
COMPSCI4071,H,2020,6,33,
COMPSCI4072,H,2020,3,15,
COMPSCI4074,H,2020,15,69,
COMPSCI4075,H,2020,12,30,
COMPSCI4076,H,2020,18,78,
COMPSCI4077,H,2020,24,78,
COMPSCI4080,H,2020,15,27,
COMPSCI4082,H,2020,0,21,
COMPSCI4087,H,2020,24,99,
COMPSCI4089,H,2020,0,15,
COMPSCI4003,H,2021,30,63,
COMPSCI4004,H,2021,42,153,
COMPSCI4007,H,2021,21,81,
COMPSCI4011,H,2021,18,72,
COMPSCI4012,H,2021,27,90,
COMPSCI4013,H,2021,39,135,
COMPSCI4016,H,2021,27,132,
COMPSCI4021,H,2021,30,102,
COMPSCI4023,H,2021,24,81,
COMPSCI4031,H,2021,6,21,
COMPSCI4061,H,2021,33,114,
COMPSCI4064,H,2021,0,12,
COMPSCI4068,H,2021,54,150,
COMPSCI4069,H,2021,15,42,
COMPSCI4071,H,2021,6,39,
COMPSCI4072,H,2021,3,9,
COMPSCI4074,H,2021,27,78,
COMPSCI4075,H,2021,15,57,
COMPSCI4076,H,2021,39,150,
COMPSCI4077,H,2021,9,33,
COMPSCI4080,H,2021,21,57,
COMPSCI4087,H,2021,18,69,
COMPSCI4089,H,2021,9,36,
COMPSCI4091,H,2021,6,24,
COMPSCI4003,H,2022,9,42,
COMPSCI4004,H,2022,9,60,
COMPSCI4007,H,2022,3,30,
COMPSCI4011,H,2022,12,66,
COMPSCI4012,H,2022,27,108,
COMPSCI4013,H,2022,48,183,
COMPSCI4016,H,2022,27,126,
COMPSCI4021,H,2022,21,111,
COMPSCI4023,H,2022,24,69,
COMPSCI4031,H,2022,3,12,
COMPSCI4061,H,2022,18,75,
COMPSCI4064,H,2022,3,15,
COMPSCI4066,H,2022,15,39,
COMPSCI4068,H,2022,51,126,
COMPSCI4069,H,2022,9,36,
COMPSCI4071,H,2022,3,33,
COMPSCI4072,H,2022,6,21,
COMPSCI4074,H,2022,27,108,
COMPSCI4075,H,2022,15,60,
COMPSCI4076,H,2022,18,105,
COMPSCI4077,H,2022,6,21,
COMPSCI4080,H,2022,18,39,
COMPSCI4082,H,2022,6,30,
COMPSCI4087,H,2022,24,63,
COMPSCI4089,H,2022,6,24,
COMPSCI4091,H,2022,6,18,
