MCode,Cohort,AcademicYearStart,Women3,Men3,Cap
IT4733,1,2020,3,0,
IT4793,1,2021,3,0,
IT4733,1,2022,9,6,
IT4773,1,2022,6,3,
IT4533,1,2020,6,3,
IT4773,1,2021,3,3,
IT4513,1,2020,6,6,
IT4523,1,2020,6,6,
IT3503,1,2020,33,39,
IT3503,1,2022,27,33,
CS4626,1,2021,3,3,
IT3703,1,2020,9,12,
IT3703,1,2021,12,18,
CYBR3305,1,2021,21,30,
IT4603,1,2021,3,6,
IT3503,1,2021,24,39,
CYBR4350,1,2022,9,15,
IT4893,1,2021,6,9,
CS4422,1,2022,9,15,
CYBR4893,1,2020,6,15,
CSE4983,1,2020,12,27,
CS4524,1,2021,6,12,
CYBR4350,1,2021,12,27,
IT4863,1,2022,9,18,
CSE1300,1,2022,120,273,
CYBR3305,1,2020,18,39,
IT4203,1,2020,12,27,
CYBR4843,1,2020,12,33,
SWE4783,1,2022,18,48,
SWE4743,1,2022,6,15,
CSE4983,1,2021,18,48,
SWE4783,1,2021,18,51,
CYBR3153,1,2021,15,36,
CYBR4853,1,2022,21,57,
IT4893,1,2020,3,9,
CYBR3305,1,2022,18,48,
IT4883,1,2022,15,45,
CSE1300,1,2021,132,384,
IT4843,1,2022,27,81,
IT3703,1,2022,3,12,
IT4153,1,2021,12,33,
CSE1300,1,2020,111,342,
CYBR4843,1,2021,18,60,
CYBR3223,1,2021,6,15,
SWE4633,1,2021,9,33,
CYBR4893,1,2022,12,42,
IT4853,1,2022,12,42,
CYBR3153,1,2020,15,54,
CS4622,1,2020,3,9,
CYBR3223,1,2022,9,27,
CSE3203,1,2021,6,18,
CYBR3223,1,2020,6,18,
CYBR4883,1,2022,6,18,
IT4833,1,2020,24,84,
CYBR4853,1,2021,9,30,
IT4853,1,2020,24,87,
CGDD4113,1,2022,3,15,
IT4893,1,2022,3,15,
CS4720,1,2021,9,33,
IT4853,1,2021,27,96,
CS4622,1,2022,6,24,
SWE4783,1,2020,12,48,
IT4403,1,2022,3,15,
IT4423,1,2022,3,15,
IT4843,1,2021,21,75,
CSE4983,1,2022,9,33,
CYBR4833,1,2022,15,54,
IT4833,1,2022,15,60,
IT4423,1,2020,45,168,
CYBR4853,1,2020,15,54,
CGDD2012L,1,2022,24,99,
CS4422,1,2021,3,12,
IT4423,1,2021,24,96,
IT4843,1,2020,24,99,
IT4153,1,2022,6,21,
CGDD4603,1,2021,3,18,
CS3626,1,2021,21,84,
IT4863,1,2021,3,18,
CS4265,1,2022,6,30,
IT4883,1,2020,15,60,
CYBR4333,1,2022,9,42,
CYBR4843,1,2022,12,57,
CGDD4113,1,2020,6,27,
CS4720,1,2020,39,174,
IT4123,1,2020,36,153,
CS4265,1,2020,9,36,
CYBR4350,1,2020,3,18,
CGDD4603,1,2022,3,15,
CS4626,1,2022,3,15,
CS4732,1,2020,3,15,
SWE4633,1,2020,6,33,
CYBR4833,1,2021,9,39,
SWE4743,1,2020,3,18,
IT4203,1,2021,6,24,
CSE3203,1,2020,6,30,
CS4712,1,2020,18,90,
CYBR4333,1,2021,9,51,
CYBR4893,1,2021,9,45,
IT4333,1,2021,12,63,
CS4612,1,2022,6,27,
IT4403,1,2021,3,15,
CS3626,1,2022,27,150,
CGDD4113,1,2021,6,33,
CS4412,1,2021,12,72,
CS3626,1,2020,6,39,
CS4412,1,2022,6,39,
IT4833,1,2021,9,57,
CGDD4603,1,2020,3,18,
CS4524,1,2022,3,18,
CS4712,1,2022,6,33,
CYBR3153,1,2022,9,57,
CS4732,1,2021,3,24,
CS3642,1,2022,27,168,
CS3642,1,2021,30,189,
CS4524,1,2020,3,18,
CYBR4333,1,2020,3,18,
CS4412,1,2020,6,45,
CGDD2012L,1,2021,15,99,
IT4213,1,2020,3,21,
CS3642,1,2020,24,168,
CS4267,1,2021,6,48,
CGDD2012L,1,2020,12,87,
IT4883,1,2021,9,72,
CYBR4833,1,2020,3,21,
IT4333,1,2020,6,45,
CS4712,1,2021,3,30,
IT4333,1,2022,3,33,
CS4265,1,2021,3,36,
CS4322,1,2022,6,45,
SWE4633,1,2022,3,27,
IT4153,1,2020,6,48,
CS4267,1,2020,3,30,
CS4267,1,2022,3,45,
CS4277,1,2021,0,6,
CS4277,1,2022,0,27,
CS4522,1,2020,0,3,
CS4522,1,2021,0,9,
CS4522,1,2022,0,18,
CS4622,1,2021,0,6,
CS4732,1,2022,0,33,
CS4742,1,2021,0,6,
CS4742,1,2022,0,18,
CYBR3220,1,2021,0,3,
CYBR3220,1,2022,0,3,
CYBR4883,1,2020,0,12,
CYBR4883,1,2021,0,15,
IT4403,1,2020,0,12,
SWE3683,1,2020,0,9,
SWE4803,1,2021,0,3,
