MCode,Cohort,AcademicYearStart,Women3,Men3,Cap
5.574,1,2020,9,123,
5.574,1,2021,12,120,
5.574,1,2022,9,144,
5.576,1,2020,9,81,
5.576,1,2021,12,111,
5.576,1,2022,15,117,
5.577,1,2020,3,42,
5.577,1,2021,3,51,
5.577,1,2022,6,51,
5.578,1,2020,3,30,
5.578,1,2021,3,42,
5.578,1,2022,9,45,
5.579,1,2020,3,90,
5.579,1,2021,12,111,
5.579,1,2022,15,96,
5.58,1,2020,6,72,
5.58,1,2021,9,87,
5.58,1,2022,12,99,
5.581,1,2020,18,90,
5.581,1,2021,21,126,
5.581,1,2022,12,129,
5.583,1,2020,12,102,
5.583,1,2021,18,126,
5.583,1,2022,15,132,
5.584,1,2020,24,198,
5.584,1,2021,21,210,
5.584,1,2022,18,225,
5.586,1,2020,24,156,
5.586,1,2021,24,216,
5.586,1,2022,30,228,
5.587,1,2020,15,108,
5.587,1,2021,18,144,
5.587,1,2022,18,165,
5.588,1,2020,9,54,
5.588,1,2021,15,90,
5.588,1,2022,9,96,
5.591,1,2020,6,66,
5.591,1,2021,6,66,
5.591,1,2022,6,66,
5.592,1,2020,3,30,
5.592,1,2021,3,33,
5.592,1,2022,6,36,
5.593,1,2020,18,141,
5.593,1,2021,24,183,
5.593,1,2022,27,264,
5.594,1,2020,3,48,
5.594,1,2021,3,57,
5.594,1,2022,3,66,
5.595,1,2020,6,102,
5.595,1,2021,15,105,
5.595,1,2022,15,123,
5.596,1,2020,15,153,
5.596,1,2021,27,195,
5.596,1,2022,30,201,
5.597,1,2020,24,189,
5.597,1,2021,18,204,
5.597,1,2022,21,240,
5.598,1,2020,12,93,
5.598,1,2021,9,129,
5.598,1,2022,18,138,
5.599,1,2020,12,126,
5.599,1,2021,15,138,
5.599,1,2022,18,171,
5.6,1,2020,9,96,
5.6,1,2021,15,117,
5.6,1,2022,15,141,
5.601,1,2020,15,81,
5.601,1,2021,9,90,
5.601,1,2022,12,108,
5.604,1,2020,12,144,
5.604,1,2021,21,204,
5.604,1,2022,24,222,
5.607,1,2020,12,126,
5.607,1,2021,12,126,
5.607,1,2022,21,159,
5.613,1,2020,15,144,
5.613,1,2021,27,198,
5.613,1,2022,54,339,
5.614,1,2020,114,756,
5.614,1,2021,126,747,
5.614,1,2022,126,801,
5.672,1,2020,3,18,
5.672,1,2021,6,27,
5.672,1,2022,3,27,
22.4,1,2022,42,123,
