MCode,Cohort,AcademicYearStart,Women3,Men3,Cap
1DT052,1,2022,9,42,
1TD403,1,2022,15,57,
1DT072,1,2022,18,84,
1DL481,1,2022,3,27,
1MD001,1,2022,12,27,
1TD169,1,2022,12,36,
1TD388,1,2022,6,21,
1TD062,1,2022,12,57,
1DL034,1,2022,24,99,
1MD004,1,2022,18,15,
1DT075,1,2022,12,39,
1DL550,1,2022,3,33,
1DL251,1,2022,33,87,
1DL251,1,2022,9,24,
1MD300,1,2022,9,12,
1DT052,1,2021,12,42,
1TD403,1,2021,12,72,
1DT072,1,2021,15,66,
1DL481,1,2021,6,27,
1MD001,1,2021,24,24,
1TD169,1,2021,15,39,
1TD388,1,2021,15,30,
1TD062,1,2021,24,78,
1DL034,1,2021,15,54,
1MD004,1,2021,18,27,
1DT075,1,2021,9,42,
1DL550,1,2021,6,33,
1DL251,1,2021,30,66,
1DL251,1,2021,12,48,
1MD300,1,2021,6,9,
1DT052,1,2020,15,60,
1TD403,1,2020,6,39,
1DT072,1,2020,12,60,
1DL481,1,2020,3,33,
1MD001,1,2020,27,33,
1TD388,1,2020,15,57,
1TD062,1,2020,27,84,
1DL034,1,2020,24,66,
1MD004,1,2020,21,30,
1DT075,1,2020,12,42,
1DL550,1,2020,12,51,
1DL251,1,2020,42,66,
1DL251,1,2020,12,33,
