MCode,Cohort,AcademicYearStart,Women3,Men3,Cap
CS3704,1,2020,42,126,
CS3704,1,2021,27,147,
CS3704,1,2022,69,261,
CS3714,1,2020,24,117,
CS3714,1,2021,18,147,
CS3714,1,2022,36,168,
CS3724,1,2020,51,126,
CS3724,1,2021,81,177,
CS3724,1,2022,66,180,
CS3744,1,2020,27,120,
CS3744,1,2021,21,132,
CS3744,1,2022,51,183,
CS3754,1,2020,12,105,
CS3754,1,2021,21,105,
CS3754,1,2022,12,84,
CS3824,1,2020,6,30,
CS3824,1,2021,3,18,
CS3824,1,2022,3,12,
CS4104,1,2020,39,168,
CS4104,1,2021,54,279,
CS4104,1,2022,66,321,
CS4114,1,2020,33,105,
CS4114,1,2021,15,54,
CS4114,1,2022,18,63,
CS4124,1,2020,0,15,
CS4124,1,2021,0,12,
CS4124,1,2022,3,42,
CS4134,1,2020,3,30,
CS4144,1,2020,0,6,
CS4234,1,2020,0,12,
CS4234,1,2021,3,9,
CS4234,1,2022,3,15,
CS4254,1,2020,3,21,
CS4254,1,2021,6,27,
CS4254,1,2022,3,42,
CS4264,1,2020,24,108,
CS4264,1,2021,12,96,
CS4264,1,2022,21,135,
CS4284,1,2020,9,48,
CS4284,1,2021,6,27,
CS4284,1,2022,6,39,
CS4504,1,2020,0,9,
CS4504,1,2021,0,9,
CS4504,1,2022,3,9,
CS4604,1,2020,6,63,
CS4604,1,2021,18,63,
CS4604,1,2022,36,102,
CS4624,1,2020,9,54,
CS4624,1,2021,12,117,
CS4624,1,2022,30,123,
CS4644,1,2020,18,39,
CS4644,1,2021,15,21,
CS4644,1,2022,18,21,
CS4704,1,2020,30,117,
CS4704,1,2021,21,132,
CS4704,1,2022,30,186,
CS4784,1,2020,12,24,
CS4784,1,2021,18,27,
CS4784,1,2022,24,30,
CS4804,1,2020,6,42,
CS4804,1,2021,3,63,
CS4804,1,2022,3,54,
