Cohort,AcademicYearStart,Women3,Men3,MaxElectives,institution
3,2022,39,168,3,CAU_Germany
3,2020,30,153,10,Durham_England
3,2021,12,84,10,Durham_England
3,2022,54,123,10,Durham_England
4,2020,6,36,6,Durham_England
4,2021,9,63,6,Durham_England
4,2022,3,27,6,Durham_England
3/4/5/,2020,126,399,12,Edinburgh_Scotland
3/4/5/,2021,150,429,12,Edinburgh_Scotland
3/4/5/,2022,135,444,12,Edinburgh_Scotland
H,2020,120,447,24,Glasgow_Scotland
H,2021,159,519,24,Glasgow_Scotland
H,2022,129,504,26,Glasgow_Scotland
1,2020,411,1569,7,Kennesaw_USA
1,2021,438,1485,7,Kennesaw_USA
1,2022,408,1311,7,Kennesaw_USA
1,2020,234,1780,28,UOC_Spain
1,2021,268,1942,28,UOC_Spain
1,2022,306,2170,29,UOC_Spain
3,2020,75,387,10,UofT_Canada
3,2021,84,489,10,UofT_Canada
3,2022,75,426,9,UofT_Canada
4,2020,15,72,2,UofT_Canada
4,2021,15,87,2,UofT_Canada
4,2022,9,63,1,UofT_Canada
1,2022,39,132,7,Uppsala_Sweden
1,2021,44,131,7,Uppsala_Sweden
1,2020,46,131,7,Uppsala_Sweden
1,2020,207,1008,6,VirginiaTech_USA
1,2021,228,1155,6,VirginiaTech_USA
1,2022,273,1215,6,VirginiaTech_USA
