MCode,Cohort,AcademicYearStart,Women3,Men3,Cap,institution,Students3
Inf-NumProg,3,2022,0,6,,CAU_Germany,6
Inf-NNDL,3,2022,6,111,,CAU_Germany,117
inf-EnlOpt,3,2022,3,24,,CAU_Germany,27
inf-EAeS,3,2022,9,30,,CAU_Germany,39
Inf-GraphDraw,3,2022,0,15,,CAU_Germany,15
inf-TM,3,2022,9,33,,CAU_Germany,42
inf-AuLearn,3,2022,6,24,,CAU_Germany,30
inf-CI,3,2022,9,33,,CAU_Germany,42
Inf-DigSig,3,2022,3,24,,CAU_Germany,27
inf-IoT,3,2022,6,48,,CAU_Germany,54
Inf-CombWords,3,2022,9,24,,CAU_Germany,33
WInf-eBeM,3,2022,6,45,,CAU_Germany,51
inf-EERP,3,2022,15,51,,CAU_Germany,66
COMP3421,3,2022,6,0,10,Durham_England,6
COMP3467,3,2020,12,78,,Durham_England,90
COMP3467,3,2021,6,30,,Durham_England,36
COMP3477,3,2022,27,69,,Durham_England,96
COMP3477,3,2020,15,96,,Durham_England,111
COMP3477,3,2021,6,54,,Durham_England,60
COMP3487,3,2022,21,39,,Durham_England,60
COMP3487,3,2020,15,69,,Durham_England,84
COMP3487,3,2021,9,39,,Durham_England,48
COMP3491,3,2022,18,30,,Durham_England,48
COMP3491,3,2020,18,105,,Durham_England,123
COMP3491,3,2021,3,42,,Durham_England,45
COMP3507,3,2020,3,33,,Durham_England,36
COMP3507,3,2021,0,15,,Durham_England,15
COMP3517,3,2022,27,45,,Durham_England,72
COMP3517,3,2020,21,66,,Durham_England,87
COMP3517,3,2021,6,30,,Durham_England,36
COMP3527,3,2022,21,63,,Durham_England,84
COMP3527,3,2020,15,90,,Durham_England,105
COMP3527,3,2021,3,33,,Durham_England,36
COMP3547,3,2020,24,123,,Durham_England,147
COMP3547,3,2021,9,69,,Durham_England,78
COMP3547,3,2022,36,102,,Durham_England,138
COMP3557,3,2022,12,33,,Durham_England,45
COMP3557,3,2020,12,63,,Durham_England,75
COMP3557,3,2021,3,30,,Durham_England,33
COMP3567,3,2022,15,45,,Durham_England,60
COMP3567,3,2020,12,84,,Durham_England,96
COMP3567,3,2021,3,39,,Durham_England,42
COMP3577,3,2022,15,33,,Durham_England,48
COMP3577,3,2020,12,69,,Durham_England,81
COMP3577,3,2021,3,36,,Durham_England,39
COMP3587,3,2022,15,21,,Durham_England,36
COMP3587,3,2021,3,15,,Durham_England,18
COMP3607,3,2022,27,75,,Durham_England,102
COMP3607,3,2020,18,105,,Durham_England,123
COMP3607,3,2021,9,45,,Durham_England,54
COMP3617,3,2022,18,66,,Durham_England,84
COMP3617,3,2020,9,69,,Durham_England,78
COMP3617,3,2021,3,36,,Durham_England,39
COMP3621,3,2020,3,6,10,Durham_England,9
COMP3621,3,2021,3,3,10,Durham_England,6
COMP3647,3,2021,6,30,,Durham_England,36
COMP3647,3,2022,24,48,,Durham_England,72
COMP3657,3,2021,6,39,,Durham_England,45
COMP3657,3,2022,27,57,,Durham_England,84
COMP3667,3,2022,21,84,,Durham_England,105
COMP3677,3,2022,12,54,,Durham_England,66
COMP4087,4,2022,0,9,,Durham_England,9
COMP4087,4,2020,0,12,,Durham_England,12
COMP4087,4,2021,3,12,,Durham_England,15
COMP4097,4,2022,0,12,,Durham_England,12
COMP4097,4,2020,3,21,,Durham_England,24
COMP4097,4,2021,3,36,,Durham_England,39
COMP4107,4,2022,3,12,,Durham_England,15
COMP4107,4,2020,6,21,,Durham_England,27
COMP4107,4,2021,6,42,,Durham_England,48
COMP4117,4,2022,0,15,,Durham_England,15
COMP4117,4,2021,6,45,,Durham_England,51
COMP4127,4,2020,0,12,,Durham_England,12
COMP4137,4,2022,0,15,,Durham_England,15
COMP4137,4,2020,6,30,,Durham_England,36
COMP4137,4,2021,6,45,,Durham_England,51
COMP4157,4,2022,0,15,,Durham_England,15
