Cohort,AcademicYearStart,Women3,Men3,MaxElectives,institution,Students3,icy,cohort_id,module_count,enrolments_total,mu_modules
3,2022,39,168,3,CAU_Germany,207,CAU_Germany32022,0,13,549,2.652173913043478
3,2020,30,153,10,Durham_England,183,Durham_England32020,1,14,1245,6.80327868852459
3,2021,12,84,10,Durham_England,96,Durham_England32021,2,17,666,6.9375
3,2022,54,123,10,Durham_England,177,Durham_England32022,3,17,1206,6.813559322033898
4,2020,6,36,6,Durham_England,42,Durham_England42020,4,10,240,5.714285714285714
4,2021,9,63,6,Durham_England,72,Durham_England42021,5,10,387,5.375
4,2022,3,27,6,Durham_England,30,Durham_England42022,6,10,150,5.0
3/4/5/,2020,126,399,12,Edinburgh_Scotland,525,Edinburgh_Scotland3/4/5/2020,7,23,1695,3.2285714285714286
3/4/5/,2021,150,429,12,Edinburgh_Scotland,579,Edinburgh_Scotland3/4/5/2021,8,37,1956,3.378238341968912
3/4/5/,2022,135,444,12,Edinburgh_Scotland,579,Edinburgh_Scotland3/4/5/2022,9,42,2115,3.6528497409326426
H,2020,120,447,24,Glasgow_Scotland,567,Glasgow_ScotlandH2020,10,24,1851,3.2645502645502646
H,2021,159,519,24,Glasgow_Scotland,678,Glasgow_ScotlandH2021,11,24,2319,3.420353982300885
H,2022,129,504,26,Glasgow_Scotland,633,Glasgow_ScotlandH2022,12,26,2034,3.213270142180095
1,2020,411,1569,7,Kennesaw_USA,1980,Kennesaw_USA12020,13,53,3174,1.603030303030303
1,2021,438,1485,7,Kennesaw_USA,1923,Kennesaw_USA12021,14,54,2937,1.5273010920436818
1,2022,408,1311,7,Kennesaw_USA,1719,Kennesaw_USA12022,15,52,2703,1.5724258289703317
1,2020,234,1780,28,UOC_Spain,2014,UOC_Spain12020,16,28,3873,1.923038728897716
1,2021,268,1942,28,UOC_Spain,2210,UOC_Spain12021,17,28,4557,2.061990950226244
1,2022,306,2170,29,UOC_Spain,2476,UOC_Spain12022,18,29,5361,2.1651857835218093
3,2020,75,387,10,UofT_Canada,462,UofT_Canada32020,19,10,852,1.844155844155844
3,2021,84,489,10,UofT_Canada,573,UofT_Canada32021,20,9,1095,1.9109947643979057
3,2022,75,426,9,UofT_Canada,501,UofT_Canada32022,21,10,831,1.658682634730539
4,2020,15,72,2,UofT_Canada,87,UofT_Canada42020,22,1,66,0.7586206896551724
4,2021,15,87,2,UofT_Canada,102,UofT_Canada42021,23,2,90,0.8823529411764706
4,2022,9,63,1,UofT_Canada,72,UofT_Canada42022,24,2,111,1.5416666666666667
1,2020,46,131,7,Uppsala_Sweden,177,Uppsala_Sweden12020,25,15,861,4.864406779661017
1,2021,44,131,7,Uppsala_Sweden,175,Uppsala_Sweden12021,26,15,825,4.714285714285714
1,2022,39,132,7,Uppsala_Sweden,171,Uppsala_Sweden12022,27,15,897,5.245614035087719
1,2020,207,1008,6,VirginiaTech_USA,1215,VirginiaTech_USA12020,28,22,1839,1.5135802469135802
1,2021,228,1155,6,VirginiaTech_USA,1383,VirginiaTech_USA12021,29,20,2016,1.4577006507592192
1,2022,273,1215,6,VirginiaTech_USA,1488,VirginiaTech_USA12022,30,20,2571,1.7278225806451613
