MCode,Cohort,AcademicYearStart,Women3,Men3,Cap,institution,Students3,icy,cohort_id,icym,module_id
Inf-CombWords,3,2022,9,24,,CAU_Germany,33,CAU_Germany32022,0,CAU_Germany32022Inf-CombWords,0
Inf-DigSig,3,2022,3,24,,CAU_Germany,27,CAU_Germany32022,0,CAU_Germany32022Inf-DigSig,1
Inf-GraphDraw,3,2022,0,15,,CAU_Germany,15,CAU_Germany32022,0,CAU_Germany32022Inf-GraphDraw,2
Inf-NNDL,3,2022,6,111,,CAU_Germany,117,CAU_Germany32022,0,CAU_Germany32022Inf-NNDL,3
Inf-NumProg,3,2022,0,6,,CAU_Germany,6,CAU_Germany32022,0,CAU_Germany32022Inf-NumProg,4
WInf-eBeM,3,2022,6,45,,CAU_Germany,51,CAU_Germany32022,0,CAU_Germany32022WInf-eBeM,5
inf-AuLearn,3,2022,6,24,,CAU_Germany,30,CAU_Germany32022,0,CAU_Germany32022inf-AuLearn,6
inf-CI,3,2022,9,33,,CAU_Germany,42,CAU_Germany32022,0,CAU_Germany32022inf-CI,7
inf-EAeS,3,2022,9,30,,CAU_Germany,39,CAU_Germany32022,0,CAU_Germany32022inf-EAeS,8
inf-EERP,3,2022,15,51,,CAU_Germany,66,CAU_Germany32022,0,CAU_Germany32022inf-EERP,9
inf-EnlOpt,3,2022,3,24,,CAU_Germany,27,CAU_Germany32022,0,CAU_Germany32022inf-EnlOpt,10
inf-IoT,3,2022,6,48,,CAU_Germany,54,CAU_Germany32022,0,CAU_Germany32022inf-IoT,11
inf-TM,3,2022,9,33,,CAU_Germany,42,CAU_Germany32022,0,CAU_Germany32022inf-TM,12
COMP3467,3,2020,12,78,,Durham_England,90,Durham_England32020,1,Durham_England32020COMP3467,13
COMP3477,3,2020,15,96,,Durham_England,111,Durham_England32020,1,Durham_England32020COMP3477,14
COMP3487,3,2020,15,69,,Durham_England,84,Durham_England32020,1,Durham_England32020COMP3487,15
COMP3491,3,2020,18,105,,Durham_England,123,Durham_England32020,1,Durham_England32020COMP3491,16
COMP3507,3,2020,3,33,,Durham_England,36,Durham_England32020,1,Durham_England32020COMP3507,17
COMP3517,3,2020,21,66,,Durham_England,87,Durham_England32020,1,Durham_England32020COMP3517,18
COMP3527,3,2020,15,90,,Durham_England,105,Durham_England32020,1,Durham_England32020COMP3527,19
COMP3547,3,2020,24,123,,Durham_England,147,Durham_England32020,1,Durham_England32020COMP3547,20
COMP3557,3,2020,12,63,,Durham_England,75,Durham_England32020,1,Durham_England32020COMP3557,21
COMP3567,3,2020,12,84,,Durham_England,96,Durham_England32020,1,Durham_England32020COMP3567,22
COMP3577,3,2020,12,69,,Durham_England,81,Durham_England32020,1,Durham_England32020COMP3577,23
COMP3607,3,2020,18,105,,Durham_England,123,Durham_England32020,1,Durham_England32020COMP3607,24
COMP3617,3,2020,9,69,,Durham_England,78,Durham_England32020,1,Durham_England32020COMP3617,25
