,topic,pop_topic_all_mean,pop_topic_wm_diff_mean,pop_topic_all_rhat,pop_topic_wm_diff_rhat,pop_women,pop_men
22,AR,-782.54,149.804,1.09,1.07,-707.6379999999999,-857.442
30,PDC,-284.882,-55.1,1.13,1.08,-312.432,-257.332
13,22,-173.974,-2.721,1.0,1.02,-175.3345,-172.6135
21,AL,-118.475,-45.893,1.02,1.01,-141.42149999999998,-95.5285
35,SF,-138.728,-2.431,1.0,1.02,-139.9435,-137.51250000000002
12,21,-125.997,-7.981,1.0,1.01,-129.9875,-122.0065
25,GIT,-121.856,2.349,1.01,1.01,-120.6815,-123.03049999999999
24,FPL,-70.754,-8.935,1.11,1.05,-75.2215,-66.2865
29,OS,-62.452,-21.83,1.01,1.01,-73.36699999999999,-51.537
23,DM,-14.538,17.32,1.03,1.01,-5.878,-23.198
1,10,-1.648,-1.848,1.0,1.02,-2.572,-0.7239999999999999
11,20,-1.714,0.619,1.0,1.02,-1.4045,-2.0235
18,7,-1.568,0.658,1.0,1.02,-1.239,-1.897
16,5,0.146,-1.658,1.0,1.02,-0.6829999999999999,0.975
2,12,-1.001,1.076,1.0,1.02,-0.46299999999999986,-1.539
4,14,0.198,-1.192,1.0,1.02,-0.39799999999999996,0.794
34,SEP,-19.09,38.769,1.01,1.01,0.2944999999999993,-38.4745
8,18,1.089,-0.353,1.0,1.02,0.9125,1.2654999999999998
15,4,1.411,-0.481,1.0,1.02,1.1705,1.6515
17,6,1.109,1.209,1.0,1.02,1.7135,0.5045
9,19,1.252,0.976,1.0,1.02,1.74,0.764
3,13,1.445,0.989,1.0,1.02,1.9395,0.9505000000000001
0,1,2.273,0.974,1.0,1.02,2.7600000000000002,1.786
10,2,3.535,0.572,1.0,1.02,3.821,3.249
14,3,4.285,0.278,1.0,1.02,4.424,4.146
19,9,6.313,2.045,1.0,1.02,7.3355,5.2905
33,SEC,44.194,-11.613,1.01,1.01,38.3875,50.0005
5,15,37.464,4.928,1.0,1.01,39.928,35.0
20,AI,64.275,-45.957,1.01,1.01,41.29650000000001,87.2535
7,17,52.231,-11.137,1.01,1.01,46.6625,57.7995
36,SPD,38.29,18.777,1.07,1.04,47.6785,28.9015
32,SE,51.481,-6.425,1.0,1.01,48.2685,54.6935
28,NC,73.878,-28.773,1.01,1.01,59.4915,88.2645
27,MSF,92.994,-6.658,1.01,1.01,89.665,96.323
6,16,112.946,6.185,1.0,1.01,116.0385,109.8535
26,HCI,132.273,20.62,1.0,1.01,142.583,121.963
31,SDF,388.357,6.876,1.0,1.02,391.795,384.91900000000004
