,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_topic_all,244.788,40.42,174.532,321.948,1.918,1.357,430.0,8437.0,1.01
sigma_topic_women_men_diff,100.235,28.597,49.119,155.191,2.595,1.839,118.0,815.0,1.02
sigma_nontopic_women,280.006,9.449,262.019,297.61,1.409,1.003,45.0,130.0,1.05
sigma_nontopic_men,331.048,11.278,309.642,352.383,1.946,1.388,34.0,78.0,1.07
popularity_topic_all[0],-65.487,88.136,-231.265,100.361,0.379,0.268,54147.0,108001.0,1.0
popularity_topic_all[1],37.328,73.194,-100.847,174.795,7.702,5.464,90.0,887.0,1.03
popularity_topic_all[2],-41.32,91.144,-211.705,131.007,4.368,3.09,437.0,52167.0,1.01
popularity_topic_all[3],-357.886,172.366,-667.883,-22.948,4.875,3.448,1285.0,4417.0,1.0
popularity_topic_all[4],-155.773,70.658,-288.405,-23.171,14.246,10.196,25.0,136.0,1.1
popularity_topic_all[5],16.761,83.571,-140.928,173.466,0.358,0.253,54550.0,107321.0,1.0
popularity_topic_all[6],-36.456,43.317,-118.059,45.079,2.195,1.553,389.0,18530.0,1.01
popularity_topic_all[7],34.563,77.262,-109.694,180.797,0.345,0.244,50250.0,105144.0,1.0
popularity_topic_all[8],-298.853,79.767,-449.499,-149.566,10.993,8.076,53.0,155.0,1.04
popularity_topic_all[9],-94.339,31.776,-154.3,-34.742,5.739,4.098,31.0,168.0,1.08
popularity_topic_all[10],-302.582,33.834,-365.91,-238.556,3.186,2.259,113.0,945.0,1.02
popularity_topic_all[11],-299.484,61.274,-415.589,-185.03,2.072,1.466,874.0,59018.0,1.01
popularity_topic_all[12],-97.14,40.752,-172.318,-18.823,2.595,1.837,247.0,24396.0,1.01
popularity_topic_all[13],-555.31,46.419,-643.387,-468.422,9.901,7.112,22.0,74.0,1.11
popularity_topic_all[14],-119.699,43.709,-202.836,-38.353,0.591,0.418,5472.0,71874.0,1.0
popularity_topic_all[15],-45.69,46.926,-133.117,43.37,2.249,1.592,434.0,48063.0,1.01
popularity_topic_all[16],-139.521,53.682,-238.769,-41.782,18.107,13.254,9.0,68.0,1.35
popularity_topic_all[17],-116.114,41.123,-192.483,-38.04,2.197,1.554,350.0,10258.0,1.01
popularity_topic_all[18],-314.978,66.819,-441.437,-190.199,7.602,5.732,79.0,141.0,1.03
popularity_topic_all[19],-544.051,53.99,-645.529,-443.016,6.581,4.684,67.0,335.0,1.04
popularity_topic_all[20],274.591,102.329,83.287,468.742,0.4,0.283,65455.0,121376.0,1.0
popularity_topic_all[21],-43.901,41.077,-121.052,33.597,1.846,1.306,495.0,13639.0,1.01
popularity_topic_all[22],-32.876,31.596,-93.024,25.731,1.552,1.098,415.0,21877.0,1.01
popularity_topic_all[23],-67.149,36.39,-135.527,1.194,0.253,0.179,20718.0,63121.0,1.0
popularity_topic_all[24],-165.228,42.541,-245.653,-85.417,2.158,1.527,389.0,9628.0,1.01
popularity_topic_women_men_diff[0],56.858,92.266,-111.568,237.474,0.306,0.384,97987.0,120494.0,1.0
popularity_topic_women_men_diff[1],-8.515,83.121,-167.335,149.207,3.352,2.371,625.0,3450.0,1.01
popularity_topic_women_men_diff[2],21.007,89.576,-149.859,192.2,0.245,0.369,141542.0,93027.0,1.0
popularity_topic_women_men_diff[3],-55.275,105.359,-261.115,139.51,1.325,0.937,6481.0,28917.0,1.0
popularity_topic_women_men_diff[4],57.056,83.175,-97.638,217.509,9.428,6.691,77.0,456.0,1.03
popularity_topic_women_men_diff[5],7.065,87.116,-158.532,174.492,0.233,0.195,141682.0,164804.0,1.0
popularity_topic_women_men_diff[6],-10.576,62.962,-129.47,108.584,0.277,0.196,51839.0,91322.0,1.0
popularity_topic_women_men_diff[7],15.63,84.751,-144.587,178.274,0.247,0.228,119603.0,137287.0,1.0
popularity_topic_women_men_diff[8],43.282,86.811,-118.422,211.538,6.929,4.909,154.0,372.0,1.02
popularity_topic_women_men_diff[9],-38.81,46.905,-126.909,49.635,8.032,5.729,34.0,148.0,1.07
popularity_topic_women_men_diff[10],-39.553,50.941,-136.329,55.495,0.778,0.55,4281.0,80342.0,1.0
popularity_topic_women_men_diff[11],-35.236,75.095,-179.979,104.554,0.257,0.182,85968.0,131355.0,1.0
popularity_topic_women_men_diff[12],53.244,60.957,-59.612,170.026,3.992,2.826,235.0,55281.0,1.01
popularity_topic_women_men_diff[13],242.653,79.272,95.508,393.255,5.944,4.291,179.0,833.0,1.02
popularity_topic_women_men_diff[14],-67.034,62.057,-185.905,48.383,0.267,0.189,54246.0,97042.0,1.0
