,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_topic_all,272.664,55.987,179.832,378.829,18.917,13.849,9.0,48.0,1.36
sigma_topic_women_men_diff,190.595,46.906,108.818,278.611,12.518,9.042,14.0,106.0,1.2
sigma_nontopic_women,283.879,14.383,258.173,308.492,5.737,4.261,7.0,64.0,1.58
sigma_nontopic_men,317.442,25.271,270.286,353.24,11.782,8.925,5.0,27.0,1.98
popularity_topic_all[0],1.26,278.503,-517.564,544.318,1.958,8.408,20252.0,8686.0,1.01
popularity_topic_all[1],-83.119,94.302,-253.432,100.759,17.433,12.452,29.0,157.0,1.09
popularity_topic_all[2],-28.615,71.722,-158.371,108.876,1.276,0.903,3156.0,5708.0,1.01
popularity_topic_all[3],-251.25,181.157,-556.906,53.802,79.05,59.333,6.0,40.0,1.79
popularity_topic_all[4],-1.352,273.723,-525.348,512.095,1.958,3.647,19703.0,8815.0,1.01
popularity_topic_all[5],-1.773,276.97,-511.741,532.161,1.991,12.198,19575.0,8648.0,1.01
popularity_topic_all[6],-416.721,158.212,-717.453,-121.39,20.934,14.879,58.0,512.0,1.05
popularity_topic_all[7],2.771,278.854,-516.947,542.217,1.91,12.671,21449.0,6989.0,1.01
popularity_topic_all[8],1.182,281.542,-532.1,526.04,1.895,5.625,22163.0,10837.0,1.01
popularity_topic_all[9],3.574,276.514,-524.546,526.302,2.11,15.256,17265.0,1902.0,1.02
popularity_topic_all[10],0.409,273.54,-532.628,505.526,1.955,10.217,19803.0,8981.0,1.01
popularity_topic_all[11],95.342,130.461,-154.596,333.479,15.795,11.217,69.0,1725.0,1.04
popularity_topic_all[12],2.362,108.887,-186.463,193.403,43.37,32.21,7.0,120.0,1.57
popularity_topic_all[13],161.944,119.286,-62.524,373.617,43.078,31.701,8.0,40.0,1.45
popularity_topic_all[14],-50.992,78.18,-208.438,67.569,33.154,24.796,7.0,33.0,1.58
popularity_topic_all[15],0.811,282.126,-526.003,544.198,2.014,12.082,19755.0,9313.0,1.01
popularity_topic_all[16],0.123,274.527,-518.015,525.786,1.991,4.396,19310.0,9105.0,1.01
popularity_topic_all[17],0.469,279.415,-504.512,552.173,2.178,11.121,16603.0,8628.0,1.01
popularity_topic_all[18],-120.905,126.798,-325.758,127.259,50.612,37.597,8.0,30.0,1.47
popularity_topic_all[19],-866.632,252.059,-1292.64,-518.089,120.479,91.849,5.0,29.0,2.08
popularity_topic_all[20],-45.603,40.735,-123.044,26.984,14.709,10.824,8.0,35.0,1.45
popularity_topic_all[21],-170.059,79.986,-316.534,-49.421,36.633,28.051,6.0,26.0,1.95
popularity_topic_all[22],-266.37,65.745,-391.444,-143.585,12.021,8.584,30.0,347.0,1.09
popularity_topic_all[23],-49.635,51.802,-147.696,43.536,16.414,11.965,10.0,55.0,1.31
popularity_topic_all[24],-278.387,193.235,-603.011,-39.438,94.749,72.354,5.0,27.0,2.18
popularity_topic_all[25],-115.592,49.22,-206.658,-21.24,12.008,8.643,17.0,160.0,1.16
popularity_topic_all[26],21.877,62.14,-96.37,129.49,21.568,15.821,9.0,41.0,1.4
popularity_topic_all[27],-48.211,41.786,-128.76,28.628,2.696,1.949,239.0,3119.0,1.03
popularity_topic_all[28],-80.197,48.052,-168.577,9.896,14.083,10.219,12.0,70.0,1.25
popularity_topic_all[29],-172.75,124.239,-414.502,21.625,54.397,41.34,6.0,18.0,1.81
popularity_topic_all[30],-519.065,59.97,-634.81,-410.212,15.479,11.254,15.0,84.0,1.19
popularity_topic_all[31],10.998,167.325,-307.05,322.665,2.021,1.429,6851.0,8841.0,1.0
popularity_topic_all[32],-1.447,49.095,-98.961,86.453,14.423,10.467,12.0,60.0,1.26
popularity_topic_all[33],2.951,43.082,-77.237,78.803,15.324,11.263,8.0,41.0,1.42
popularity_topic_all[34],-257.681,117.662,-421.022,-56.397,56.155,42.692,5.0,31.0,2.11
popularity_topic_all[35],52.577,118.112,-172.122,270.236,3.234,2.287,1315.0,7048.0,1.01
popularity_topic_all[36],-118.682,53.189,-216.875,-20.656,16.943,12.354,10.0,56.0,1.32
popularity_topic_women_men_diff[0],-1.136,193.587,-361.109,378.927,1.394,6.949,19648.0,8396.0,1.01
popularity_topic_women_men_diff[1],182.07,143.248,-72.75,467.462,20.536,14.609,48.0,240.0,1.06
popularity_topic_women_men_diff[2],57.337,112.542,-155.781,269.979,1.816,1.284,3846.0,5579.0,1.01
popularity_topic_women_men_diff[3],106.195,182.794,-240.225,434.904,63.114,46.279,9.0,47.0,1.39
popularity_topic_women_men_diff[4],-2.774,194.63,-366.183,382.72,1.455,2.089,18193.0,8900.0,1.01
popularity_topic_women_men_diff[5],-1.793,199.168,-391.676,365.923,1.515,3.941,17555.0,8509.0,1.01
popularity_topic_women_men_diff[6],-179.745,181.284,-542.088,140.007,24.437,17.372,57.0,414.0,1.04
popularity_topic_women_men_diff[7],-1.385,197.33,-385.444,368.684,1.569,6.703,16206.0,7513.0,1.01
popularity_topic_women_men_diff[8],-0.127,195.411,-376.418,363.743,1.387,7.069,20203.0,8624.0,1.01
popularity_topic_women_men_diff[9],-1.727,199.404,-384.045,371.02,1.473,3.604,18649.0,7841.0,1.01
popularity_topic_women_men_diff[10],-0.961,194.071,-371.991,374.937,1.398,2.332,19493.0,9666.0,1.01
popularity_topic_women_men_diff[11],46.186,164.803,-267.443,358.802,21.218,15.077,61.0,348.0,1.04
popularity_topic_women_men_diff[12],126.714,122.769,-100.761,356.611,30.115,21.68,17.0,184.0,1.16
popularity_topic_women_men_diff[13],-63.81,138.391,-339.176,188.263,27.383,19.588,26.0,76.0,1.1
popularity_topic_women_men_diff[14],17.682,157.008,-206.624,338.849,69.362,52.146,7.0,27.0,1.64
popularity_topic_women_men_diff[15],0.529,194.645,-358.678,386.621,1.388,2.358,19778.0,8200.0,1.01
popularity_topic_women_men_diff[16],0.564,198.945,-385.857,362.545,1.51,2.224,17744.0,8502.0,1.01
popularity_topic_women_men_diff[17],-5.089,196.835,-373.832,368.36,1.468,6.772,18348.0,7596.0,1.01
popularity_topic_women_men_diff[18],199.955,180.321,-101.153,566.256,65.569,48.28,8.0,32.0,1.41
popularity_topic_women_men_diff[19],397.814,312.68,-47.482,989.741,142.768,107.819,5.0,33.0,1.96
popularity_topic_women_men_diff[20],-12.55,54.791,-118.988,87.55,10.016,7.153,30.0,210.0,1.09
popularity_topic_women_men_diff[21],-139.545,87.594,-298.481,22.761,33.175,24.516,7.0,39.0,1.54
popularity_topic_women_men_diff[22],-66.825,101.979,-260.133,122.306,10.076,7.145,103.0,3785.0,1.03
popularity_topic_women_men_diff[23],61.498,78.997,-85.803,207.372,17.009,12.194,22.0,242.0,1.13
popularity_topic_women_men_diff[24],49.669,168.864,-191.588,384.042,77.501,58.573,6.0,23.0,1.92
popularity_topic_women_men_diff[25],-62.865,74.167,-203.61,75.264,1.445,1.022,2633.0,4807.0,1.0
popularity_topic_women_men_diff[26],62.991,86.349,-111.868,213.79,15.516,11.077,31.0,215.0,1.09
popularity_topic_women_men_diff[27],-18.216,75.201,-160.448,122.269,8.606,6.109,77.0,2905.0,1.05
popularity_topic_women_men_diff[28],-13.444,72.195,-152.567,117.819,2.256,1.596,1017.0,3553.0,1.02
popularity_topic_women_men_diff[29],-37.611,155.934,-349.446,245.203,59.0,43.597,7.0,27.0,1.54
popularity_topic_women_men_diff[30],-16.397,128.186,-235.259,235.682,48.403,35.76,7.0,34.0,1.5
popularity_topic_women_men_diff[31],35.271,175.303,-289.153,380.771,1.598,3.054,12145.0,8081.0,1.01
popularity_topic_women_men_diff[32],-1.992,70.983,-133.936,133.29,5.917,4.192,144.0,3290.0,1.03
popularity_topic_women_men_diff[33],-25.575,58.251,-137.658,79.568,9.249,6.589,40.0,298.0,1.08
popularity_topic_women_men_diff[34],310.102,144.468,30.594,524.207,64.79,48.807,6.0,32.0,1.79
popularity_topic_women_men_diff[35],19.163,151.428,-270.896,301.363,1.745,1.614,7576.0,7589.0,1.0
popularity_topic_women_men_diff[36],-35.429,73.522,-169.44,106.193,8.013,5.685,84.0,3696.0,1.04
"popularity_module_non_topic_women[0, 0]",258.924,104.822,55.891,449.193,8.559,6.064,152.0,4538.0,1.03
"popularity_module_non_topic_women[0, 1]",-26.726,132.352,-279.878,216.494,2.038,1.441,4139.0,8052.0,1.01
"popularity_module_non_topic_women[0, 2]",-510.593,316.26,-1084.47,-45.888,7.887,6.145,2131.0,3452.0,1.01
"popularity_module_non_topic_women[0, 3]",7.575,109.74,-199.782,212.813,3.612,2.555,874.0,7307.0,1.01
"popularity_module_non_topic_women[0, 4]",-696.923,268.85,-1028.6,-88.789,7.086,5.011,1771.0,5193.0,1.01
"popularity_module_non_topic_women[0, 5]",-1.508,124.261,-231.89,236.912,21.939,15.657,32.0,244.0,1.08
"popularity_module_non_topic_women[0, 6]",6.885,110.103,-195.073,215.832,3.747,2.651,777.0,7368.0,1.01
"popularity_module_non_topic_women[0, 7]",308.277,112.356,89.684,510.356,19.962,14.247,32.0,406.0,1.08
"popularity_module_non_topic_women[0, 8]",276.023,118.298,53.49,500.089,16.308,11.596,53.0,689.0,1.05
"popularity_module_non_topic_women[0, 9]",164.292,113.538,-54.817,373.27,9.56,6.774,142.0,5725.0,1.03
"popularity_module_non_topic_women[0, 10]",103.746,135.337,-149.624,358.2,5.562,3.935,654.0,8328.0,1.01
"popularity_module_non_topic_women[0, 11]",41.152,114.538,-167.953,258.681,2.163,1.53,2762.0,8816.0,1.01
"popularity_module_non_topic_women[0, 12]",79.879,103.775,-120.286,266.026,4.326,4.253,563.0,6269.0,1.02
"popularity_module_non_topic_women[0, 13]",-0.233,283.771,-534.071,533.36,1.94,2.38,21400.0,11853.0,1.0
"popularity_module_non_topic_women[0, 14]",2.618,286.047,-539.897,534.535,1.907,2.433,22527.0,10985.0,1.0
"popularity_module_non_topic_women[0, 15]",1.482,284.447,-543.201,525.91,1.879,2.554,22948.0,11076.0,1.0
"popularity_module_non_topic_women[0, 16]",-4.711,284.325,-543.16,521.157,1.967,2.507,20900.0,11217.0,1.0
"popularity_module_non_topic_women[0, 17]",0.22,283.661,-534.277,527.391,2.025,2.395,19627.0,11623.0,1.0
"popularity_module_non_topic_women[0, 18]",0.006,286.442,-546.279,526.289,1.93,2.433,22001.0,11760.0,1.0
"popularity_module_non_topic_women[0, 19]",-2.729,286.524,-550.205,521.938,1.941,2.543,21789.0,10733.0,1.0
"popularity_module_non_topic_women[0, 20]",1.709,282.152,-552.074,504.343,2.035,2.388,19228.0,11176.0,1.0
"popularity_module_non_topic_women[0, 21]",-3.483,282.771,-519.34,538.956,1.903,2.455,22108.0,11530.0,1.0
"popularity_module_non_topic_women[0, 22]",0.838,282.046,-522.91,529.524,1.94,2.307,21131.0,12140.0,1.0
"popularity_module_non_topic_women[0, 23]",-0.823,282.288,-540.773,527.86,1.947,2.4,21028.0,11216.0,1.0
"popularity_module_non_topic_women[0, 24]",-0.597,284.829,-532.088,535.327,1.972,2.424,20858.0,12180.0,1.0
"popularity_module_non_topic_women[0, 25]",-2.245,282.458,-551.498,495.791,1.976,2.363,20437.0,11971.0,1.0
"popularity_module_non_topic_women[0, 26]",0.446,286.407,-529.668,542.233,1.982,2.534,20913.0,10588.0,1.0
"popularity_module_non_topic_women[0, 27]",3.244,289.349,-543.982,546.111,1.91,2.524,22986.0,11291.0,1.0
"popularity_module_non_topic_women[0, 28]",1.042,285.305,-551.221,518.411,1.867,2.328,23333.0,12793.0,1.0
"popularity_module_non_topic_women[0, 29]",-1.391,282.8,-534.772,538.415,1.977,2.354,20460.0,12183.0,1.0
"popularity_module_non_topic_women[0, 30]",0.793,286.779,-531.745,547.012,1.955,2.557,21517.0,11344.0,1.0
"popularity_module_non_topic_women[0, 31]",0.687,284.247,-535.496,532.23,1.914,2.359,22098.0,11984.0,1.0
"popularity_module_non_topic_women[0, 32]",1.226,281.583,-523.735,540.227,1.889,2.429,22216.0,11233.0,1.0
"popularity_module_non_topic_women[0, 33]",0.578,283.733,-540.794,525.369,1.87,2.607,23041.0,10556.0,1.0
"popularity_module_non_topic_women[0, 34]",-2.264,284.864,-543.223,522.014,1.899,2.427,22599.0,12104.0,1.0
"popularity_module_non_topic_women[0, 35]",2.129,282.833,-530.572,531.041,1.968,2.399,20680.0,11833.0,1.0
"popularity_module_non_topic_women[0, 36]",-2.104,285.275,-521.514,547.419,1.975,2.431,20858.0,11483.0,1.0
"popularity_module_non_topic_women[0, 37]",1.553,285.918,-545.271,538.646,1.906,2.462,22533.0,11856.0,1.0
"popularity_module_non_topic_women[0, 38]",-1.134,285.456,-534.728,544.176,1.824,2.56,24521.0,11712.0,1.0
"popularity_module_non_topic_women[0, 39]",1.532,283.856,-513.68,557.723,1.977,2.44,20632.0,11516.0,1.0
"popularity_module_non_topic_women[0, 40]",2.488,286.92,-558.045,525.951,1.868,2.661,23609.0,10649.0,1.0
"popularity_module_non_topic_women[0, 41]",0.693,282.253,-521.117,528.247,1.9,2.424,22066.0,12449.0,1.0
"popularity_module_non_topic_women[0, 42]",-0.69,285.553,-529.944,545.291,1.839,2.451,24144.0,11760.0,1.0
"popularity_module_non_topic_women[0, 43]",-1.146,279.886,-517.301,544.568,1.918,2.389,21308.0,11614.0,1.0
"popularity_module_non_topic_women[0, 44]",0.919,286.508,-541.771,532.503,1.933,2.438,21999.0,11740.0,1.0
"popularity_module_non_topic_women[0, 45]",-0.705,285.62,-540.757,539.851,1.934,2.428,21807.0,11472.0,1.0
"popularity_module_non_topic_women[0, 46]",1.112,284.673,-513.153,549.379,2.039,2.34,19491.0,12112.0,1.0
"popularity_module_non_topic_women[0, 47]",-1.202,285.189,-542.51,522.875,1.841,2.494,24007.0,11559.0,1.0
"popularity_module_non_topic_women[0, 48]",-3.808,282.362,-529.737,531.838,1.896,2.533,22162.0,11069.0,1.0
"popularity_module_non_topic_women[0, 49]",-2.612,285.183,-535.163,541.107,1.865,2.452,23395.0,11359.0,1.0
"popularity_module_non_topic_women[0, 50]",2.034,285.065,-538.908,537.661,1.843,2.558,23895.0,11430.0,1.0
"popularity_module_non_topic_women[0, 51]",-0.772,285.818,-521.869,560.283,2.037,2.418,19754.0,11322.0,1.0
"popularity_module_non_topic_women[0, 52]",-3.058,282.708,-558.32,513.733,1.942,2.6,21112.0,10351.0,1.0
"popularity_module_non_topic_women[1, 0]",153.788,114.706,-57.866,370.04,2.393,1.692,2294.0,5283.0,1.01
"popularity_module_non_topic_women[1, 1]",127.965,117.362,-91.998,349.936,3.398,2.403,1188.0,6311.0,1.01
"popularity_module_non_topic_women[1, 2]",8.728,122.155,-209.642,243.496,1.854,1.311,4344.0,7118.0,1.0
"popularity_module_non_topic_women[1, 3]",-56.269,92.926,-231.508,115.08,1.561,1.104,3541.0,6088.0,1.0
"popularity_module_non_topic_women[1, 4]",-143.136,126.45,-378.21,92.887,17.482,12.431,52.0,891.0,1.05
"popularity_module_non_topic_women[1, 5]",65.849,154.321,-220.883,361.01,2.177,1.54,5012.0,7903.0,1.0
"popularity_module_non_topic_women[1, 6]",95.592,103.196,-98.364,289.95,7.783,5.512,176.0,3687.0,1.02
"popularity_module_non_topic_women[1, 7]",34.51,89.224,-136.189,198.276,1.501,1.062,3531.0,6032.0,1.0
"popularity_module_non_topic_women[1, 8]",95.576,104.322,-93.04,294.577,18.068,12.889,34.0,322.0,1.09
"popularity_module_non_topic_women[1, 9]",27.7,143.79,-233.299,304.48,39.631,28.668,13.0,114.0,1.21
"popularity_module_non_topic_women[1, 10]",374.379,115.078,161.912,591.48,17.964,12.794,41.0,667.0,1.06
"popularity_module_non_topic_women[1, 11]",-15.274,90.486,-185.51,154.795,1.479,1.046,3743.0,6575.0,1.0
"popularity_module_non_topic_women[1, 12]",-43.777,104.645,-249.644,142.982,1.669,1.18,3937.0,6811.0,1.0
"popularity_module_non_topic_women[1, 13]",-717.408,123.185,-943.616,-481.858,12.878,9.136,91.0,637.0,1.04
"popularity_module_non_topic_women[1, 14]",-1.198,283.218,-527.133,532.327,1.974,2.414,20598.0,11868.0,1.0
"popularity_module_non_topic_women[1, 15]",2.423,283.966,-549.035,521.294,1.927,2.407,21715.0,11822.0,1.0
"popularity_module_non_topic_women[1, 16]",-3.11,289.644,-555.448,532.948,2.031,2.496,20339.0,10687.0,1.0
"popularity_module_non_topic_women[1, 17]",-0.445,282.54,-527.265,540.319,1.943,2.395,21161.0,11645.0,1.0
"popularity_module_non_topic_women[1, 18]",-1.544,285.794,-536.239,543.897,1.891,2.478,22872.0,11458.0,1.0
"popularity_module_non_topic_women[1, 19]",0.431,285.819,-535.644,537.254,1.894,2.513,22762.0,10867.0,1.0
"popularity_module_non_topic_women[1, 20]",0.074,288.319,-545.497,534.655,2.019,2.582,20415.0,11113.0,1.0
"popularity_module_non_topic_women[1, 21]",2.091,284.883,-515.65,552.216,1.968,2.325,20924.0,11631.0,1.0
"popularity_module_non_topic_women[1, 22]",-2.117,282.908,-541.871,521.067,2.058,2.349,18921.0,11062.0,1.0
"popularity_module_non_topic_women[1, 23]",-2.111,284.763,-540.891,531.382,1.879,2.528,22963.0,11203.0,1.0
"popularity_module_non_topic_women[1, 24]",0.159,289.298,-559.172,533.541,1.965,2.466,21675.0,11925.0,1.0
"popularity_module_non_topic_women[1, 25]",-3.29,283.744,-515.473,554.689,1.9,2.446,22280.0,12009.0,1.0
"popularity_module_non_topic_women[1, 26]",3.676,286.257,-534.181,534.81,2.031,2.523,19858.0,11421.0,1.0
"popularity_module_non_topic_women[1, 27]",-0.047,286.479,-522.956,549.271,1.929,2.483,22077.0,11014.0,1.0
"popularity_module_non_topic_women[1, 28]",-0.459,284.743,-541.362,526.825,2.051,2.429,19278.0,11430.0,1.0
"popularity_module_non_topic_women[1, 29]",-1.856,280.771,-521.787,537.898,1.897,2.459,21927.0,10979.0,1.0
"popularity_module_non_topic_women[1, 30]",-3.718,285.866,-539.414,538.822,1.999,2.559,20450.0,10655.0,1.0
"popularity_module_non_topic_women[1, 31]",0.269,282.693,-536.896,519.129,2.048,2.354,19044.0,11804.0,1.0
"popularity_module_non_topic_women[1, 32]",-2.053,284.572,-530.238,537.035,1.832,2.657,24137.0,10652.0,1.0
"popularity_module_non_topic_women[1, 33]",0.645,282.844,-537.226,522.172,1.877,2.495,22766.0,11453.0,1.0
"popularity_module_non_topic_women[1, 34]",-0.171,286.104,-544.629,525.159,1.84,2.421,24186.0,11779.0,1.0
"popularity_module_non_topic_women[1, 35]",-5.66,281.725,-545.08,516.773,2.009,2.33,19650.0,11084.0,1.0
"popularity_module_non_topic_women[1, 36]",-0.168,286.686,-515.694,566.505,1.996,2.459,20648.0,11329.0,1.0
"popularity_module_non_topic_women[1, 37]",2.856,286.091,-540.119,525.588,2.025,2.388,19972.0,11617.0,1.0
"popularity_module_non_topic_women[1, 38]",0.635,279.66,-548.489,508.252,1.994,2.314,19707.0,12242.0,1.0
"popularity_module_non_topic_women[1, 39]",-0.276,283.036,-528.861,530.426,1.883,2.604,22629.0,10969.0,1.0
"popularity_module_non_topic_women[1, 40]",0.248,283.089,-535.105,531.602,1.947,2.568,21139.0,11485.0,1.0
"popularity_module_non_topic_women[1, 41]",0.55,287.221,-543.627,537.161,1.955,2.581,21578.0,11076.0,1.0
"popularity_module_non_topic_women[1, 42]",-0.008,283.898,-537.383,526.406,1.902,2.414,22287.0,11913.0,1.0
"popularity_module_non_topic_women[1, 43]",-3.213,283.064,-532.063,529.194,1.905,2.494,22055.0,11211.0,1.0
"popularity_module_non_topic_women[1, 44]",-0.201,285.679,-549.695,524.187,1.941,2.456,21581.0,10615.0,1.0
"popularity_module_non_topic_women[1, 45]",-3.125,288.847,-533.613,548.263,2.08,2.727,19321.0,10915.0,1.0
"popularity_module_non_topic_women[1, 46]",1.082,278.922,-523.218,519.294,2.003,2.276,19354.0,12307.0,1.0
"popularity_module_non_topic_women[1, 47]",1.361,286.186,-515.842,551.584,2.039,2.499,19721.0,10951.0,1.0
"popularity_module_non_topic_women[1, 48]",-0.67,280.663,-503.307,545.616,1.817,2.53,23864.0,10821.0,1.0
"popularity_module_non_topic_women[1, 49]",2.002,289.448,-550.285,540.449,1.945,2.415,22150.0,11523.0,1.0
"popularity_module_non_topic_women[1, 50]",-1.519,282.195,-532.201,533.62,1.908,2.346,21870.0,11498.0,1.0
"popularity_module_non_topic_women[1, 51]",0.18,285.098,-547.853,525.317,1.877,2.406,23109.0,11313.0,1.0
"popularity_module_non_topic_women[1, 52]",-1.691,282.188,-528.171,514.571,1.886,2.519,22422.0,11803.0,1.0
