,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_topic_all,245.671,248.948,0.209,727.576,42.264,30.14,34.0,89.0,1.1
sigma_topic_women_men_diff,225.442,223.726,1.793,644.865,29.099,20.679,83.0,78.0,1.04
sigma_nontopic_women,206.787,208.919,0.174,602.516,24.243,17.21,102.0,159.0,1.03
sigma_nontopic_men,181.148,173.631,0.418,480.484,13.481,9.549,158.0,303.0,1.02
popularity_topic_all[0],63.421,391.62,-787.365,873.025,57.855,51.235,73.0,38.0,1.1
popularity_topic_all[1],75.717,354.574,-623.011,897.104,59.093,43.946,52.0,37.0,1.07
popularity_topic_women_men_diff[0],30.193,367.846,-742.692,777.709,72.921,52.165,58.0,23.0,1.07
popularity_topic_women_men_diff[1],20.676,284.457,-628.72,574.636,30.719,24.85,107.0,78.0,1.05
"popularity_module_non_topic_women[0, 0]",39.781,283.319,-497.75,514.493,47.675,40.058,88.0,28.0,1.04
"popularity_module_non_topic_women[0, 1]",11.584,260.414,-511.983,620.374,26.432,22.583,127.0,72.0,1.03
"popularity_module_non_topic_men[0, 0]",-10.914,201.143,-404.866,438.334,20.552,14.577,120.0,147.0,1.04
"popularity_module_non_topic_men[0, 1]",3.583,234.937,-520.282,368.519,27.379,19.824,111.0,88.0,1.03
