,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_topic_all,275.833,41.04,198.207,348.219,11.841,8.585,12.0,57.0,1.26
sigma_topic_women_men_diff,195.84,63.005,105.069,316.112,28.975,21.904,5.0,22.0,2.24
sigma_nontopic_women,146.482,28.229,86.015,188.095,10.913,8.58,6.0,11.0,1.95
sigma_nontopic_men,221.371,15.846,191.745,249.654,6.758,5.082,6.0,17.0,1.93
popularity_topic_all[0],57.852,82.933,-71.078,221.226,29.406,21.608,8.0,32.0,1.46
popularity_topic_all[1],-106.144,40.98,-174.697,-29.545,17.437,13.046,6.0,28.0,1.83
popularity_topic_all[2],-221.892,327.107,-845.324,76.441,161.831,123.769,4.0,11.0,3.32
popularity_topic_all[3],-53.312,98.437,-242.907,103.391,46.94,35.682,5.0,15.0,2.98
popularity_topic_all[4],-58.11,136.534,-351.998,123.211,60.695,45.668,5.0,14.0,2.13
popularity_topic_all[5],73.749,177.252,-153.548,393.473,84.26,64.019,5.0,16.0,2.36
popularity_topic_all[6],-372.166,58.832,-453.75,-240.805,20.19,14.798,9.0,22.0,1.42
popularity_topic_all[7],6.164,112.733,-193.924,222.112,43.964,32.581,7.0,16.0,1.58
popularity_topic_all[8],1.4,160.964,-334.311,246.87,72.26,54.442,5.0,12.0,2.19
popularity_topic_all[9],-13.414,105.537,-219.193,133.209,46.361,34.828,6.0,36.0,1.85
popularity_topic_all[10],-36.304,132.298,-261.684,184.0,57.767,43.362,6.0,11.0,1.92
popularity_topic_all[11],-93.474,627.696,-1139.195,692.028,310.716,237.659,4.0,11.0,3.88
popularity_topic_all[12],-188.756,155.856,-363.331,81.363,75.997,57.979,5.0,15.0,2.52
popularity_topic_all[13],0.157,35.384,-58.963,64.472,15.515,11.653,5.0,20.0,2.07
popularity_topic_all[14],-57.001,29.417,-101.441,-3.871,13.591,10.282,5.0,15.0,2.37
popularity_topic_all[15],-48.956,126.35,-320.626,196.135,56.47,42.519,5.0,17.0,2.3
popularity_topic_all[16],-21.997,107.469,-225.31,141.264,45.959,34.409,6.0,22.0,1.9
popularity_topic_all[17],13.951,154.632,-272.963,247.73,69.989,52.791,5.0,19.0,2.06
popularity_topic_all[18],-4.796,31.72,-69.5,53.334,12.611,9.364,6.0,14.0,1.71
popularity_topic_all[19],-244.118,39.287,-306.351,-179.208,16.632,12.437,6.0,22.0,1.81
popularity_topic_all[20],-109.426,35.683,-166.081,-48.173,17.304,13.189,4.0,11.0,3.38
popularity_topic_all[21],-329.377,36.728,-380.876,-270.278,16.907,12.783,5.0,13.0,2.26
popularity_topic_all[22],-354.593,57.161,-440.084,-253.002,27.274,20.734,5.0,12.0,2.47
popularity_topic_all[23],-106.692,33.405,-162.16,-44.779,14.724,11.066,5.0,14.0,2.03
popularity_topic_all[24],-724.821,78.172,-855.226,-604.174,32.121,23.936,5.0,22.0,2.13
popularity_topic_all[25],-141.495,18.938,-175.372,-108.284,7.644,5.685,6.0,22.0,1.71
popularity_topic_all[26],-103.338,28.808,-160.315,-60.883,13.272,10.036,5.0,14.0,2.5
popularity_topic_all[27],-70.39,80.699,-172.788,66.404,39.696,30.33,5.0,12.0,3.11
popularity_topic_all[28],-141.365,24.949,-185.244,-101.44,11.364,8.58,5.0,11.0,2.32
popularity_topic_all[29],-424.317,37.966,-484.053,-349.243,16.896,12.715,5.0,12.0,2.1
popularity_topic_all[30],-705.999,42.351,-776.175,-629.201,17.841,13.366,6.0,22.0,1.86
popularity_topic_all[31],269.861,51.657,190.068,357.918,23.606,17.882,5.0,28.0,2.07
popularity_topic_all[32],-91.34,32.929,-138.824,-35.811,15.57,11.82,5.0,14.0,2.42
popularity_topic_all[33],-72.385,34.226,-138.849,-18.791,16.078,12.288,5.0,21.0,2.49
popularity_topic_all[34],-88.913,15.926,-112.047,-58.534,6.996,5.256,6.0,34.0,1.89
popularity_topic_all[35],24.69,64.332,-72.191,146.373,28.753,21.65,5.0,11.0,2.16
popularity_topic_all[36],-193.286,35.433,-246.242,-131.95,16.964,12.903,5.0,16.0,2.68
popularity_topic_women_men_diff[0],-108.218,109.374,-286.167,99.197,48.235,36.254,5.0,23.0,2.1
popularity_topic_women_men_diff[1],228.348,79.693,81.428,375.773,33.635,25.141,6.0,20.0,1.89
popularity_topic_women_men_diff[2],-152.123,429.686,-951.81,342.698,211.975,162.039,4.0,11.0,3.33
popularity_topic_women_men_diff[3],157.604,106.9,13.935,386.291,49.244,37.237,5.0,14.0,2.14
popularity_topic_women_men_diff[4],34.065,142.899,-188.689,272.864,64.874,48.953,5.0,37.0,2.11
popularity_topic_women_men_diff[5],-49.828,128.605,-368.17,144.888,54.692,40.919,5.0,15.0,2.04
popularity_topic_women_men_diff[6],-0.594,73.848,-129.923,164.634,25.087,18.373,9.0,15.0,1.41
popularity_topic_women_men_diff[7],-100.682,105.864,-263.335,126.753,39.52,29.167,8.0,11.0,1.43
popularity_topic_women_men_diff[8],-77.85,123.138,-283.925,128.627,54.563,41.036,5.0,37.0,2.1
popularity_topic_women_men_diff[9],-76.812,103.425,-242.936,129.023,44.355,33.22,6.0,17.0,1.9
popularity_topic_women_men_diff[10],-44.249,87.557,-202.981,116.905,31.726,23.354,8.0,15.0,1.43
popularity_topic_women_men_diff[11],608.506,603.129,-140.539,1622.567,298.12,227.968,4.0,11.0,3.55
popularity_topic_women_men_diff[12],-199.033,252.353,-646.832,163.648,122.129,93.059,5.0,13.0,3.15
popularity_topic_women_men_diff[13],28.041,74.939,-89.659,152.741,33.573,25.288,6.0,29.0,1.91
popularity_topic_women_men_diff[14],-17.979,37.0,-84.788,46.55,14.902,11.08,7.0,27.0,1.61
popularity_topic_women_men_diff[15],-29.602,163.683,-394.953,177.784,74.592,56.317,5.0,16.0,2.07
popularity_topic_women_men_diff[16],11.71,83.231,-127.589,164.694,26.727,19.498,10.0,29.0,1.38
popularity_topic_women_men_diff[17],-5.883,98.963,-178.515,165.215,40.45,30.125,7.0,46.0,1.69
popularity_topic_women_men_diff[18],59.04,38.035,-19.678,120.949,13.543,9.954,8.0,21.0,1.44
popularity_topic_women_men_diff[19],7.957,81.186,-120.185,139.096,36.518,27.521,5.0,37.0,2.04
popularity_topic_women_men_diff[20],-17.676,23.786,-64.935,31.163,9.441,7.009,6.0,23.0,1.68
popularity_topic_women_men_diff[21],47.89,60.986,-34.529,169.81,27.456,20.693,6.0,13.0,1.95
popularity_topic_women_men_diff[22],-34.476,49.547,-115.747,60.281,21.272,15.934,6.0,40.0,1.85
popularity_topic_women_men_diff[23],72.675,43.438,-0.324,160.282,18.954,14.323,6.0,13.0,1.96
popularity_topic_women_men_diff[24],185.238,97.903,-12.097,322.426,33.404,31.165,6.0,36.0,1.82
popularity_topic_women_men_diff[25],-50.54,27.332,-97.463,-1.886,10.342,7.642,7.0,48.0,1.53
popularity_topic_women_men_diff[26],103.338,41.866,41.095,181.236,16.764,12.457,7.0,48.0,1.66
popularity_topic_women_men_diff[27],-77.833,121.873,-253.047,128.395,59.699,45.581,5.0,18.0,2.7
popularity_topic_women_men_diff[28],-16.688,46.748,-115.932,48.55,21.632,16.369,6.0,12.0,1.97
popularity_topic_women_men_diff[29],-14.543,45.315,-98.818,63.804,14.434,10.525,10.0,18.0,1.35
popularity_topic_women_men_diff[30],-54.979,108.212,-187.834,155.805,48.132,36.218,5.0,16.0,2.01
popularity_topic_women_men_diff[31],43.809,65.643,-54.35,166.84,28.709,21.741,6.0,21.0,1.94
popularity_topic_women_men_diff[32],-1.268,45.933,-75.728,67.938,20.857,15.739,5.0,24.0,2.05
popularity_topic_women_men_diff[33],-3.412,28.747,-49.611,52.786,10.528,7.757,8.0,16.0,1.49
popularity_topic_women_men_diff[34],59.298,50.076,-16.132,155.293,23.15,17.583,5.0,17.0,2.13
popularity_topic_women_men_diff[35],1.121,73.943,-111.227,140.16,32.194,24.157,6.0,29.0,1.92
popularity_topic_women_men_diff[36],-27.612,36.507,-100.97,37.879,15.345,11.465,6.0,18.0,1.85
"popularity_module_non_topic_women[0, 0]",165.613,102.33,-4.629,320.038,40.195,29.809,7.0,29.0,1.58
"popularity_module_non_topic_women[0, 1]",-77.45,76.105,-199.082,59.199,22.01,15.96,12.0,36.0,1.28
"popularity_module_non_topic_women[0, 2]",-281.122,301.292,-921.868,-9.435,137.911,104.426,6.0,12.0,1.81
"popularity_module_non_topic_women[0, 3]",20.361,83.066,-147.831,161.003,26.924,19.654,10.0,31.0,1.39
"popularity_module_non_topic_women[0, 4]",-536.335,273.717,-977.065,-153.593,123.808,93.959,5.0,13.0,2.09
"popularity_module_non_topic_women[0, 5]",1.078,104.038,-175.011,185.964,40.998,30.415,7.0,16.0,1.64
"popularity_module_non_topic_women[0, 6]",14.127,71.04,-119.252,127.928,26.067,19.208,8.0,25.0,1.48
"popularity_module_non_topic_women[0, 7]",212.941,150.343,-97.763,421.993,55.281,44.541,7.0,16.0,1.63
"popularity_module_non_topic_women[0, 8]",197.513,145.227,-127.666,417.249,53.545,39.474,8.0,17.0,1.43
"popularity_module_non_topic_women[0, 9]",219.404,84.481,71.823,374.668,31.768,23.461,7.0,26.0,1.67
"popularity_module_non_topic_women[0, 10]",-108.005,313.316,-693.738,269.389,151.469,115.395,5.0,15.0,2.59
"popularity_module_non_topic_women[0, 11]",33.196,76.801,-123.868,164.558,29.453,21.792,7.0,18.0,1.57
"popularity_module_non_topic_women[0, 12]",90.011,73.44,-18.944,238.048,28.91,21.445,7.0,35.0,1.59
"popularity_module_non_topic_women[0, 13]",33.831,81.384,-120.48,173.798,32.914,24.484,6.0,35.0,1.75
"popularity_module_non_topic_women[0, 14]",-0.321,98.261,-160.588,177.005,39.801,29.612,7.0,30.0,1.63
"popularity_module_non_topic_women[0, 15]",12.479,86.32,-147.484,166.226,30.02,22.024,9.0,27.0,1.42
"popularity_module_non_topic_women[0, 16]",-6.881,104.764,-210.821,144.422,41.961,32.21,7.0,13.0,1.58
"popularity_module_non_topic_women[0, 17]",23.312,169.287,-238.727,305.422,79.29,60.105,5.0,13.0,2.65
"popularity_module_non_topic_women[0, 18]",44.829,146.964,-223.566,312.37,67.428,50.957,5.0,12.0,2.57
"popularity_module_non_topic_women[0, 19]",-28.727,143.761,-283.901,216.638,61.293,45.872,6.0,12.0,1.88
