,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_topic_all,344.271,56.856,241.235,450.739,7.429,5.279,56.0,111.0,1.06
sigma_topic_women_men_diff,35.118,25.028,0.044,79.002,2.217,1.571,124.0,181.0,1.02
sigma_nontopic_women,291.357,27.597,241.883,344.027,3.341,2.373,68.0,232.0,1.03
sigma_nontopic_men,397.114,39.904,329.005,477.52,8.898,6.537,21.0,57.0,1.13
popularity_topic_all[0],-325.548,122.091,-568.527,-105.602,14.079,9.994,76.0,192.0,1.03
popularity_topic_all[1],-793.691,261.493,-1265.932,-296.017,32.69,23.221,63.0,155.0,1.05
popularity_topic_all[2],-166.005,84.128,-315.695,-4.162,18.279,13.282,22.0,51.0,1.13
popularity_topic_all[3],153.703,192.893,-207.475,519.059,29.202,20.789,44.0,118.0,1.09
popularity_topic_all[4],87.076,187.287,-241.396,440.334,22.467,15.954,70.0,182.0,1.03
popularity_topic_all[5],-11.563,124.153,-254.165,212.58,12.644,8.968,95.0,195.0,1.04
popularity_topic_all[6],33.941,189.751,-316.668,407.491,22.033,15.642,74.0,82.0,1.07
popularity_topic_all[7],-118.646,212.833,-484.842,323.162,24.458,17.362,77.0,148.0,1.04
popularity_topic_all[8],-40.885,371.594,-750.05,684.734,43.27,30.718,75.0,108.0,1.05
popularity_topic_all[9],204.018,131.725,-34.858,447.212,18.136,12.895,53.0,71.0,1.04
popularity_topic_all[10],254.724,112.082,55.987,472.006,17.726,12.627,41.0,221.0,1.09
popularity_topic_all[11],33.353,343.589,-645.537,660.754,43.176,30.671,64.0,114.0,1.06
popularity_topic_all[12],36.205,114.116,-174.324,246.451,13.216,9.382,74.0,245.0,1.02
popularity_topic_all[13],4.531,374.526,-713.505,746.602,43.123,30.611,76.0,114.0,1.05
popularity_topic_all[14],277.23,115.494,57.707,501.195,12.729,9.033,83.0,128.0,1.05
popularity_topic_all[15],-465.99,186.966,-811.324,-119.89,20.845,14.793,81.0,216.0,1.03
popularity_topic_all[16],522.465,171.201,196.832,829.719,25.729,18.314,45.0,108.0,1.08
popularity_topic_all[17],381.662,201.601,18.44,755.949,31.033,22.097,40.0,66.0,1.08
popularity_topic_all[18],-602.761,143.885,-890.084,-323.808,22.601,16.097,42.0,55.0,1.06
popularity_topic_all[19],-29.018,84.853,-177.604,141.629,10.557,7.499,65.0,114.0,1.05
popularity_topic_all[20],38.784,146.518,-235.466,316.64,17.416,12.366,71.0,177.0,1.04
popularity_topic_all[21],-397.256,135.062,-684.862,-160.608,17.311,12.3,61.0,89.0,1.06
popularity_topic_all[22],-82.71,76.437,-228.68,49.775,13.671,9.759,33.0,155.0,1.12
popularity_topic_all[23],-180.735,97.346,-349.674,10.86,9.821,6.965,98.0,227.0,1.05
popularity_topic_all[24],-40.094,228.154,-475.472,391.491,28.922,20.547,63.0,93.0,1.06
popularity_topic_all[25],-531.184,171.622,-865.31,-215.869,47.106,34.07,13.0,30.0,1.26
popularity_topic_all[26],201.085,107.584,2.881,401.818,13.699,9.733,66.0,136.0,1.07
popularity_topic_all[27],210.253,225.059,-204.063,654.36,33.388,23.762,45.0,139.0,1.06
popularity_topic_all[28],-614.732,65.226,-734.309,-491.628,7.849,5.574,69.0,235.0,1.07
popularity_topic_all[29],-302.913,243.64,-737.828,174.168,22.146,15.698,122.0,247.0,1.04
popularity_topic_all[30],148.525,95.413,-20.474,336.666,11.921,8.468,65.0,182.0,1.05
popularity_topic_all[31],-97.805,117.009,-303.986,137.981,23.216,16.609,26.0,68.0,1.13
popularity_topic_all[32],69.456,148.227,-214.213,335.658,13.337,9.453,124.0,258.0,1.02
popularity_topic_all[33],218.633,106.045,24.785,412.853,16.521,11.765,41.0,196.0,1.09
popularity_topic_all[34],5.986,341.486,-639.013,682.078,71.697,51.364,23.0,77.0,1.13
popularity_topic_all[35],234.448,98.907,57.936,421.023,9.367,6.658,113.0,192.0,1.04
popularity_topic_all[36],-108.625,101.95,-297.566,87.578,9.206,9.32,123.0,83.0,1.05
popularity_topic_all[37],4.602,309.501,-581.368,582.104,50.086,35.691,39.0,166.0,1.1
popularity_topic_all[38],79.375,133.023,-170.201,321.548,14.298,10.145,86.0,157.0,1.02
popularity_topic_women_men_diff[0],6.227,41.735,-75.298,93.176,1.502,1.386,1214.0,584.0,1.01
popularity_topic_women_men_diff[1],0.399,39.548,-80.332,82.325,0.921,1.157,2169.0,1279.0,1.01
popularity_topic_women_men_diff[2],-2.584,36.979,-79.242,71.905,1.834,1.487,549.0,462.0,1.02
popularity_topic_women_men_diff[3],0.491,40.726,-76.304,87.986,1.213,1.274,1333.0,886.0,1.01
popularity_topic_women_men_diff[4],-0.294,41.996,-81.068,85.539,1.196,1.277,1550.0,936.0,1.01
popularity_topic_women_men_diff[5],1.171,41.564,-84.915,87.358,1.33,1.384,1216.0,849.0,1.01
popularity_topic_women_men_diff[6],-1.576,42.479,-91.241,83.181,1.196,1.415,1632.0,676.0,1.01
popularity_topic_women_men_diff[7],-1.041,42.679,-84.907,87.541,1.203,1.402,1624.0,920.0,1.01
popularity_topic_women_men_diff[8],1.103,42.511,-85.778,86.454,1.066,1.433,2777.0,958.0,1.01
popularity_topic_women_men_diff[9],-2.063,40.687,-91.269,76.244,1.456,1.377,946.0,748.0,1.01
popularity_topic_women_men_diff[10],4.297,38.676,-70.112,87.971,1.404,1.346,1035.0,707.0,1.01
popularity_topic_women_men_diff[11],-0.579,42.24,-84.946,86.33,1.136,1.267,2013.0,902.0,1.01
popularity_topic_women_men_diff[12],-1.499,43.433,-87.884,87.632,2.136,1.641,525.0,472.0,1.01
popularity_topic_women_men_diff[13],-0.601,42.61,-87.354,84.592,0.969,1.416,2600.0,1042.0,1.01
popularity_topic_women_men_diff[14],-0.897,43.154,-88.007,83.232,1.629,1.848,894.0,705.0,1.01
popularity_topic_women_men_diff[15],1.676,41.986,-85.103,86.455,1.1,1.298,1729.0,1189.0,1.01
popularity_topic_women_men_diff[16],-3.578,45.217,-94.357,80.831,2.052,1.993,939.0,406.0,1.01
popularity_topic_women_men_diff[17],1.247,42.151,-83.157,87.54,1.523,1.359,1010.0,787.0,1.01
popularity_topic_women_men_diff[18],1.377,40.534,-84.165,82.446,1.19,1.375,1382.0,907.0,1.01
popularity_topic_women_men_diff[19],-3.042,39.671,-84.985,74.545,2.062,1.459,472.0,502.0,1.01
popularity_topic_women_men_diff[20],-2.458,41.997,-88.38,80.99,1.295,1.408,1423.0,763.0,1.01
popularity_topic_women_men_diff[21],-0.625,42.821,-87.967,88.614,1.637,1.449,841.0,696.0,1.01
popularity_topic_women_men_diff[22],10.957,39.818,-63.415,100.049,1.915,1.472,504.0,559.0,1.01
popularity_topic_women_men_diff[23],3.872,40.624,-81.125,85.124,1.731,1.629,695.0,453.0,1.01
popularity_topic_women_men_diff[24],0.94,41.663,-76.704,87.38,1.211,1.375,1784.0,929.0,1.01
popularity_topic_women_men_diff[25],-0.946,44.367,-94.867,77.889,2.271,2.111,666.0,357.0,1.01
