,module,numWomen,numMen,wScore,propWomen
0,MODCcmzrktSt4,27,129,-186.10844659877392,0.17307692307692307
1,MODRVSLv48QwF,41,147,-2.579946107793612,0.21808510638297873
2,MODe4FrW7s3VX,29,135,-123.28263772302489,0.17682926829268292
3,MODTsN0Xh8TRl,23,123,-159.79394414518362,0.15753424657534246
4,MODyaMYRLGHti,41,199,65.79197882322136,0.17083333333333334
5,MODb9PVYw1NNx,4,2,-433.57570297102006,0.6666666666666666
6,MODxlEL8WrFU2,45,225,333.765400758255,0.16666666666666666
7,MODxbWsB9yqo0,45,220,242.7035496433961,0.16981132075471697
8,MODLSNAw6Vybh,13,53,-270.4756026726539,0.19696969696969696
9,MODXhxniIiyQX,4,41,-378.560799730749,0.08888888888888889
10,MODvPCJKja7Yj,9,40,-430.1509858636206,0.1836734693877551
11,MODZU8gavCGJT,1,11,-353.10319686511514,0.08333333333333333
12,MODwdavbfKCQ8,9,15,-179.18872906188062,0.375
13,MODnlFN8mYDHq,22,59,-81.37894130518788,0.2716049382716049
14,MODN2dXRZm8xW,50,164,136.0844598483632,0.2336448598130841
15,MODef0EKhZb6L,28,90,-27.772053029257837,0.23728813559322035
16,MODOyqoNiL7jm,29,85,20.712547759454075,0.2543859649122807
17,MOD3AkIzhWwnJ,51,181,179.85517780425408,0.21982758620689655
18,MODS7qzPDIRQT,8,26,-226.23027272417806,0.23529411764705882
19,MODO1WXMCQ2qx,0,1,-770.9010609526099,0.0
20,MOD3zEckc0DMS,48,177,160.6257888749525,0.21333333333333335
21,MODcfXbpK6dsJ,12,52,-366.43007224808827,0.1875
22,MODyjrKKsbIVU,28,159,-145.3802077611832,0.1497326203208556
23,MOD1kjuGexLJu,35,153,-101.82295258867572,0.18617021276595744
24,MOD886qonc0o0,38,171,36.77238622563597,0.18181818181818182
25,MODUIWxKsJo5m,21,80,-189.46372823630583,0.2079207920792079
26,MODclwkQ47m6n,29,87,-171.00770951011214,0.25
