elective,title,Women3_x,Men3_x,Women3_y,Men3_y,Students3_x
1DL034,Introduction to Machine Learning,57.0,219.0,129.0,394.0,276.0
1DL251,Software Engineering and Project Management,129.0,327.0,258.0,788.0,456.0
1DL481,Algorithms and Data Structures III,12.0,75.0,129.0,394.0,87.0
1DL550,Low-Level Parallel Programming,12.0,102.0,129.0,394.0,114.0
1DT052,Computer Networks I,36.0,144.0,129.0,394.0,180.0
1DT072,Secure Computer Systems I,45.0,210.0,129.0,394.0,255.0
1DT075,Cryptology,27.0,129.0,129.0,394.0,156.0
1MD001,Advanced Interaction Design,60.0,75.0,129.0,394.0,135.0
1MD004,"IT, Ethics and Organisation",57.0,63.0,129.0,394.0,120.0
1MD300,Social Robotics and Human-Robot Interaction,21.0,27.0,129.0,394.0,48.0
1TD062,High Performance Programming,54.0,201.0,129.0,394.0,255.0
1TD169,Data Engineering I,45.0,159.0,129.0,394.0,204.0
1TD388,Computer Graphics,21.0,75.0,129.0,394.0,96.0
1TD403,Numerical Methods and Simulation,33.0,168.0,129.0,394.0,201.0
22.4,Computational thinking,42.0,123.0,306.0,2170.0,165.0
5.574,Computer networks security,30.0,387.0,808.0,5892.0,417.0
5.576,Computer networks design,36.0,309.0,808.0,5892.0,345.0
5.577,Operating systems design,12.0,144.0,808.0,5892.0,156.0
5.578,Computers architecture,15.0,117.0,808.0,5892.0,132.0
5.579,Automata and grammars,30.0,297.0,808.0,5892.0,327.0
5.58,Compilers,27.0,258.0,808.0,5892.0,285.0
5.581,Knowledge representation,51.0,345.0,808.0,5892.0,396.0
5.583,Machine learning,45.0,360.0,808.0,5892.0,405.0
5.584,Data mining,63.0,633.0,808.0,5892.0,696.0
5.586,Analysis and design with patterns,78.0,600.0,808.0,5892.0,678.0
5.587,Software engineering of components and distributed systems,51.0,417.0,808.0,5892.0,468.0
5.588,Software developement project,33.0,240.0,808.0,5892.0,273.0
5.591,Computer networks structure,18.0,198.0,808.0,5892.0,216.0
5.592,Advanced computers architecture,12.0,99.0,808.0,5892.0,111.0
5.593,Requirements engineering,69.0,588.0,808.0,5892.0,657.0
5.594,Embedded systems,9.0,171.0,808.0,5892.0,180.0
5.595,Enterpreneurship,36.0,330.0,808.0,5892.0,366.0
5.596,Foundations of information systems,72.0,549.0,808.0,5892.0,621.0
5.597,Information systems integration,63.0,633.0,808.0,5892.0,696.0
5.598,Use of information systems in organizations,39.0,360.0,808.0,5892.0,399.0
5.599,Functional management of IS/IT services,45.0,435.0,808.0,5892.0,480.0
5.6,Planning and strategic use of IS,39.0,354.0,808.0,5892.0,393.0
5.601,Cryptography,36.0,279.0,808.0,5892.0,315.0
5.604,Electronic commerce,57.0,570.0,808.0,5892.0,627.0
5.607,Databases architecture,45.0,411.0,808.0,5892.0,456.0
5.613,Data structures design,96.0,681.0,808.0,5892.0,777.0
5.614,Introduction to mathematics for engineering,366.0,2304.0,808.0,5892.0,2670.0
5.672,Business practice,12.0,72.0,808.0,5892.0,84.0
CGDD2012L,Fundamentals of Game Design Lab,51.0,285.0,1257.0,4365.0,336.0
CGDD4113,3D Modeling and Animation,15.0,75.0,1257.0,4365.0,90.0
CGDD4603,Production Pipeline and Asset Management,9.0,51.0,1257.0,4365.0,60.0
COMP3421,COMP3421: COMPUTER SCIENCE INTO SCHOOLS,6.0,0.0,54.0,123.0,6.0
COMP3467,COMP3467: ADVANCED COMPUTER SYSTEMS,18.0,108.0,42.0,237.0,126.0
COMP3477,COMP3477: ALGORITHMIC GAME THEORY,48.0,219.0,96.0,360.0,267.0
COMP3487,COMP3487: BIOINFORMATICS,45.0,147.0,96.0,360.0,192.0
COMP3491,COMP3491: CODES AND CRYPTOGRAPHY,39.0,177.0,96.0,360.0,216.0
COMP3507,COMP3507: COMPUTATIONAL COMPLEXITY,3.0,48.0,42.0,237.0,51.0
COMP3517,COMP3517: COMPUTATIONAL MODELLING IN THE HUMANITIES AND SOCIAL SCIENCES,54.0,141.0,96.0,360.0,195.0
COMP3527,COMP3527: COMPUTER VISION,39.0,186.0,96.0,360.0,225.0
COMP3547,COMP3547: DEEP LEARNING,69.0,294.0,96.0,360.0,363.0
COMP3557,COMP3557: DESIGN OF ALGORITHMS AND DATA STRUCTURES,27.0,126.0,96.0,360.0,153.0
COMP3567,COMP3567: MULTIMEDIA AND GAME DEVELOPMENT,30.0,168.0,96.0,360.0,198.0
COMP3577,COMP3577: PARALLEL SCIENTIFIC COMPUTING I,30.0,138.0,96.0,360.0,168.0
COMP3587,COMP3587: PROJECT MANAGEMENT,18.0,36.0,66.0,207.0,54.0
COMP3607,COMP3607: RECOMMENDER SYSTEMS,54.0,225.0,96.0,360.0,279.0
COMP3617,COMP3617: VIRTUAL AND AUGMENTED REALITY,30.0,171.0,96.0,360.0,201.0
COMP3621,COMP3621: Public Engagement in Computer Science,6.0,9.0,42.0,237.0,15.0
COMP3647,COMP3647: Human-AI Interaction Design,30.0,78.0,66.0,207.0,108.0
COMP3657,COMP3657: Security Engineering,33.0,96.0,66.0,207.0,129.0
COMP3667,COMP3667: REINFORCEMENT LEARNING,21.0,84.0,54.0,123.0,105.0
COMP3677,COMP3677: NATURAL COMPUTING ALGORITHMS,12.0,54.0,54.0,123.0,66.0
COMP4087,COMP4087: ADVANCED ALGORITHMS,3.0,33.0,18.0,126.0,36.0
COMP4097,COMP4097: ADVANCED COMPUTER GRAPHICS AND VISUALISATION,6.0,69.0,18.0,126.0,75.0
COMP4107,COMP4107: ADVANCED COMPUTER VISION,15.0,75.0,18.0,126.0,90.0
COMP4117,COMP4117: QUANTUM COMPUTING,6.0,60.0,12.0,90.0,66.0
COMP4127,COMP4127: AUTOMATED REASONING AND VERIFICATION,0.0,12.0,6.0,36.0,12.0
COMP4137,COMP4137: BLOCKCHAIN AND CRYPTOCURRENCIES,12.0,90.0,18.0,126.0,102.0
COMP4157,COMP4157: LEARNING ANALYTICS,12.0,54.0,18.0,126.0,66.0
COMP4167,COMP4167: NATURAL LANGUAGE PROCESSING,18.0,108.0,18.0,126.0,126.0
COMP4177,COMP4177: NETWORKS AND THEIR STRUCTURE,15.0,90.0,18.0,126.0,105.0
COMP4187,COMP4187: PARALLEL SCIENTIFIC COMPUTING II,0.0,33.0,18.0,126.0,33.0
COMP4197,COMP4197: RANDOMISED ALGORITHMS AND PROBABILISTIC METHODS,9.0,57.0,18.0,126.0,66.0
COMPSCI4003,Algorithmics II (H) COMPSCI4003,48.0,144.0,408.0,1470.0,192.0
COMPSCI4004,Artificial Intelligence (H) COMPSCI4004,78.0,297.0,408.0,1470.0,375.0
COMPSCI4007,Computer Architecture (H) COMPSCI4007,24.0,132.0,408.0,1470.0,156.0
COMPSCI4011,Operating Systems (H) COMPSCI4011,45.0,219.0,408.0,1470.0,264.0
COMPSCI4012,Networked Systems (H) COMPSCI4012,78.0,324.0,408.0,1470.0,402.0
COMPSCI4013,Database Systems (H) COMPSCI4013,132.0,462.0,408.0,1470.0,594.0
COMPSCI4016,Programming Languages (H) COMPSCI4016,81.0,360.0,408.0,1470.0,441.0
COMPSCI4021,Functional Programming (H) COMPSCI4021,66.0,333.0,408.0,1470.0,399.0
COMPSCI4023,Human-Computer Interaction (H) COMPSCI4023,66.0,219.0,408.0,1470.0,285.0
COMPSCI4031,Modelling Reactive Systems (H) COMPSCI4031,9.0,39.0,408.0,1470.0,48.0
COMPSCI4061,Machine Learning (H) COMPSCI4061,66.0,249.0,408.0,1470.0,315.0
COMPSCI4064,"Big Data: Systems, Programming, and Management (H) COMPSCI4064",3.0,27.0,288.0,1023.0,30.0
COMPSCI4066,Computer Vision Methods and Applications (H) COMPSCI4066,27.0,75.0,249.0,951.0,102.0
